column,dtype,non_null_count,missing_rate,coverage_pct,example_values,is_numeric,is_candidate_feature
Flt_mgkg,float64,112,0.9959,0.41,1.3 | 0.091 | 0.071,True,True
Flt_ngg,float64,190,0.993,0.7,288.0 | 203.0 | 8900.0,True,True
Flu_mgkg,float64,99,0.9963,0.37,2e-05 | 290.0 | 0.0005,True,True
Flu_ngg,float64,724,0.9732,2.68,4.32400110606958 | 8.957952432941875 | 37.127884655934906,True,True
G_HCH_ngg,float64,59,0.9978,0.22,31.0 | 44.9 | 15050.0,True,True
Ga_mgkg,float64,11,0.9996,0.04,10.24 | 20.1 | 27.76,True,False
Glucosinolate_umol_g,float64,0,1.0,0.0,,True,False
HBB_ngg,float64,5,0.9998,0.02,0.37 | 0.1,True,False
HMWPAH_ngg,float64,55,0.998,0.2,2.9 | 13.0 | 10.0,True,True
Ind_mgkg,float64,98,0.9964,0.36,0.49 | 0.052 | 0.064,True,True
Ind_ngg,float64,122,0.9955,0.45,4300.0 | 4700.0 | 1265.0,True,True
K_mgkg,float64,496,0.9817,1.83,17630.0 | 202.32 | 19500.0,True,True
LMWPAH_ngg,float64,55,0.998,0.2,43.0 | 200.0 | 120.0,True,True
MAP_mm,object,1966,0.9273,7.27,2190.0 | 535.0 | 1232.0,False,False
Mg_mgkg,float64,263,0.9903,0.97,4893.0 | 8205.0 | 8592.0,True,True
Mn_mgkg,float64,1106,0.9591,4.09,651.68 | 590.0 | 760.0,True,True
Nap_mgkg,float64,79,0.9971,0.29,0.0005 | 0.02 | 24.6,True,True
Nap_ngg,float64,739,0.9727,2.73,51.26381949641955 | 48.03954354158875 | 41.08179783996839,True,True
Note,float64,0,1.0,0.0,,True,False
Notes,object,6611,0.7554,24.46,HongYiCun | DiaoChang Town HeJiaZhuang | AnNingQu LiuJiaBao Town XiMenCun,False,False
PBEB_ngg,float64,1,1.0,0.0,0.01,True,False
PCB101_ugkg,float64,0,1.0,0.0,,True,False
PCB118_ugkg,float64,0,1.0,0.0,,True,False
PCB138_ugkg,float64,0,1.0,0.0,,True,False
PCB153_ugkg,float64,0,1.0,0.0,,True,False
PCB180_ugkg,float64,2,0.9999,0.01,1.92 | 1.22,True,False
PCB28_ugkg,float64,0,1.0,0.0,,True,False
PCB52_ugkg,float64,2,0.9999,0.01,0.6 | 10.32,True,False
P_mgkg,float64,37,0.9986,0.14,825.0 | 75.16 | 1910.0,True,True
Phe_mgkg,float64,145,0.9946,0.54,0.66 | 2e-05 | 5e-05,True,True
Phe_ngg,float64,791,0.9707,2.93,16.11400139913771 | 26.76289758154536 | 35.032706738483284,True,True
Pyr_mgkg,float64,137,0.9949,0.51,0.79 | 0.053 | 3e-05,True,True
Pyr_ngg,float64,771,0.9715,2.85,2.58916048581234 | 8.987168284733576 | 29.19303858675891,True,True
References,float64,0,1.0,0.0,,True,False
Region,object,5990,0.7784,22.16,安吉 | 浑太河流域 | 丹江口水库,False,False
Sb_mgkg,float64,93,0.9966,0.34,171.0 | 6.47 | 0.5,True,True
Se_mgkg,float64,86,0.9968,0.32,372.52 | 215.28 | 5.75,True,True
SiltClay_ratio,float64,110,0.9959,0.41,3.535 | 0.2439 | 0.2431,True,True
Sn_mgkg,float64,24,0.9991,0.09,5.0 | 18.7 | 79.5,True,False
SoilSource,float64,0,1.0,0.0,,True,False
Sr_mgkg,float64,77,0.9972,0.28,20.0 | 30.0 | 28.8,True,True
SumAntibiotics_ugkg,float64,47,0.9983,0.17,132.88 | 633.53 | 181.64,True,True
SumDDTs_ngg,float64,655,0.9758,2.42,96.48 | 68.5 | 24.3,True,True
SumHCHs_ngg,float64,601,0.9778,2.22,16.2 | 9.8 | 5.661250322025071,True,True
SumOCP_ngg,float64,168,0.9938,0.62,266.18 | 73.67 | 47.69,True,True
SumPAE_ugkg,float64,114,0.9958,0.42,1015.0 | 3230.0 | 822.0,True,True
SumPBDE_ngg,float64,179,0.9934,0.66,58.591 | 51.224 | 280.0,True,True
SumPCB_ngg,float64,219,0.9919,0.81,0.2 | 0.1 | 120.0,True,True
SumPFAS_ngg,float64,71,0.9974,0.26,7.459 | 10.372 | 4.167,True,True
Sum_PAH_mgkg,float64,234,0.9913,0.87,0.264 | 115958.0 | 6.95,True,True
Sum_PAH_ngg,object,2777,0.8973,10.27,651.68 | 367.58 | 475.51,False,False
SynDP_ngg,float64,7,0.9997,0.03,3.66 | 0.23 | 1.12,True,False
TBB_ngg,float64,0,1.0,0.0,,True,False
TBE_ngg,float64,0,1.0,0.0,,True,False
TBPH_ngg,float64,2,0.9999,0.01,0.03,True,False
TN_gkg,float64,989,0.9634,3.66,1.4 | 0.73 | 0.77,True,True
TPH_ngg,float64,18,0.9993,0.07,1850000.0 | 17.05 | 12.6,True,False
TP_gkg,float64,369,0.9863,1.37,0.848 | 0.861 | 0.19,True,True
TotalPCB_ugg,float64,120,0.9956,0.44,24.2 | 10.8 | 0.0275512620447874,True,True
TotalPHC_mgkg,float64,327,0.9879,1.21,4.5 | 11.8 | 7.6,True,True
Treatment,float64,0,1.0,0.0,,True,False
V_mgkg,float64,194,0.9928,0.72,113.6 | 59.32 | 71.482,True,True
WaterSolubleSalt_gkg,float64,41,0.9985,0.15,0.0065 | 0.00569 | 0.04244,True,True
extraction_notes,object,56,0.9979,0.21,"Data aggregated from the site description and Table 1 in the paper; all values represent site-wide averages or composite measurements for 27 samples collected from Marble Bar. TPH reported in mg/kg was converted to ng/g for TPH_ngg. Heavy metals and TPH values inferred from text and methods. Soil properties (texture, pH, OC, BD) described in Methods section. Elevation estimated from public data for Marble Bar; not explicitly stated in paper. | All values are mean concentrations from Table 1. Trace metals are in mg/kg dry weight. OCPs are in μg/kg wet weight (converted to ng/g by multiplying by 1000: e.g., 0.11 μg/kg = 0.11 ng/g). SumOCP_ngg calculated by summing all OCP concentrations from Table 1 (excluding ND values) after conversion to ng/g. Sampling location coordinates are approximate range of study area (25.4°–25.7° N, 108.85°–108.55° W). Note: The paper reports fish tissue contamination, not soil data. This extraction is included because it contains pollutant concentration data from the same environmental system, but it should be noted that these are not soil measurements. | Mean values from Table 1 for 97 soil samples. Latitude/longitude approximated from study area coordinates (36°12'–36°19'5N, 103°24'–103°25'E). Mean values used as individual site data not provided in extracted text.",False,False
o_p_DDT_ngg,float64,56,0.9979,0.21,5.85 | 970.0 | 0.0289,True,True
p_p_DDD_ngg,float64,68,0.9975,0.25,0.0132 | 0.11 | 13010.0,True,True
p_p_DDE_ngg,float64,69,0.9974,0.26,0.111 | 0.12 | 22140.0,True,True
p_p_DDT_ngg,float64,75,0.9972,0.28,0.0822 | 0.0 | 4020.0,True,True
ANT_ngg_median,float64,0,1.0,0.0,,True,False
As_mgkg_median,float64,0,1.0,0.0,,True,False
As_residual_pct,float64,0,1.0,0.0,,True,False
BaA_ngg_median,float64,0,1.0,0.0,,True,False
BaP_ngg_median,float64,0,1.0,0.0,,True,False
BbF_ngg_median,float64,0,1.0,0.0,,True,False
BghiP_ngg_median,float64,0,1.0,0.0,,True,False
BkF_ngg_median,float64,0,1.0,0.0,,True,False
Co_mgkg_median,float64,0,1.0,0.0,,True,False
Cr_mgkg_median,float64,0,1.0,0.0,,True,False
Cu_mgkg_median,float64,0,1.0,0.0,,True,False
FLT_ngg_median,float64,0,1.0,0.0,,True,False
FLU_ngg_median,float64,0,1.0,0.0,,True,False
NAP_ngg_median,float64,0,1.0,0.0,,True,False
Ni_mgkg_median,float64,0,1.0,0.0,,True,False
PHE_ngg_median,float64,0,1.0,0.0,,True,False
PYR_ngg_median,float64,0,1.0,0.0,,True,False
Pb_mgkg_median,float64,0,1.0,0.0,,True,False
Sr_mgkg_median,float64,0,1.0,0.0,,True,False
Sum_PAH_ngg_max,float64,0,1.0,0.0,,True,False
Sum_PAH_ngg_median,float64,0,1.0,0.0,,True,False
Sum_PAH_ngg_min,float64,0,1.0,0.0,,True,False
Sum_PAH_range_mgkg,float64,0,1.0,0.0,,True,False
V_mgkg_median,float64,0,1.0,0.0,,True,False
Zn_mgkg_median,float64,0,1.0,0.0,,True,False
AOX_mgkg,float64,0,1.0,0.0,,True,False
BC_ugg,float64,165,0.9939,0.61,4.35 | 1.2049973220687205 | 2.2450873068943213,True,True
BGP_ngg,float64,0,1.0,0.0,,True,False
BaPeq_range_ngg_max,float64,1,1.0,0.0,931000.0,True,False
BaPeq_range_ngg_min,float64,1,1.0,0.0,300.0,True,False
Benz_a_anthracene_ngg,float64,11,0.9996,0.04,4900.0 | 5300.0 | 1275.0,True,False
Benz_a_pyrene_ngg,float64,11,0.9996,0.04,5300.0 | 5800.0 | 1348.0,True,False
Benz_b_fluoranthene_ngg,float64,11,0.9996,0.04,5900.0 | 6300.0 | 2160.0,True,False
Benz_e_pyrene_ngg,float64,11,0.9996,0.04,2290.0 | 2510.0 | 841.0,True,False
Benz_ghi_perylene_ngg,float64,11,0.9996,0.04,3800.0 | 4100.0 | 1110.0,True,False
Benz_k_fluoranthene_ngg,float64,11,0.9996,0.04,2650.0 | 2900.0 | 871.0,True,False
CN_ratio,float64,2,0.9999,0.01,24.6 | 17.1,True,False
Cd_Pi,float64,0,1.0,0.0,,True,False
Cl_content_gkg,float64,0,1.0,0.0,,True,False
Climate,float64,0,1.0,0.0,,True,False
Cr_Pi,float64,0,1.0,0.0,,True,False
Cu_Pi,float64,0,1.0,0.0,,True,False
DEHP_mgkg,float64,4,0.9999,0.01,0.04 | 1.04,True,False
Elevation_m_max,float64,1,1.0,0.0,2900.0,True,False
Elevation_m_min,float64,1,1.0,0.0,1230.0,True,False
HMW_PAH_pct,float64,1,1.0,0.0,64.7,True,False
ICP_ngg,float64,521,0.9807,1.93,12.48084667161 | 10.0613819851298 | 11.3263633398,True,True
LAS_mgkg,float64,0,1.0,0.0,,True,False
LMW_PAH_pct,float64,1,1.0,0.0,35.3,True,False
LandUse_enc,object,1687,0.9376,6.24,Forest | Urban | Residential,False,False
Latitude_range,object,1,1.0,0.0,26.7667 to 27.4667,False,False
