column,dtype,non_null_count,missing_rate,coverage_pct,example_values,is_numeric,is_candidate_feature
SOC_gkg,float64,4,0.9999,0.01,106.71 | 54.97 | 7.53,True,False
AK_mgkg,float64,3,0.9999,0.01,35.03 | 86.2 | 76.1,True,False
AN_mgkg,float64,3,0.9999,0.01,44.28 | 186.94 | 122.4,True,False
Ce_mgkg,float64,3,0.9999,0.01,18.81 | 39.56 | 62.96,True,False
La_mgkg,float64,3,0.9999,0.01,24.77 | 50.01 | 30.45,True,False
Li_mgkg,float64,3,0.9999,0.01,40.64 | 53.35 | 49.43,True,False
Sc_mgkg,float64,3,0.9999,0.01,11.01 | 12.57 | 13.12,True,False
Th_mgkg,float64,3,0.9999,0.01,6.76 | 10.32 | 13.22,True,False
Sum_PCB_mgkg,float64,2,0.9999,0.01,14.2,True,False
Tl_mgkg,float64,4,0.9999,0.01,1.68 | 28.82 | 3.48,True,False
Cd_treatment_mgkg,float64,3,0.9999,0.01,0.0 | 100.0 | 500.0,True,False
O3_treatment,object,3,0.9999,0.01,Ambient Air (40 µg/m³),False,False
Bi_mgkg,float64,0,1.0,0.0,,True,False
U_mgkg,float64,0,1.0,0.0,,True,False
AcPy_ngg,float64,0,1.0,0.0,,True,False
Acp_ngg,float64,0,1.0,0.0,,True,False
SiteID,float64,0,1.0,0.0,,True,False
B_mgkg,float64,0,1.0,0.0,,True,False
Sum16PAH_mgkg,float64,10,0.9996,0.04,11.5 | 8.52 | 171.4,True,False
ParticlePorosity_pct,float64,0,1.0,0.0,,True,False
C_N_ratio,float64,0,1.0,0.0,,True,False
Sum15PAH_ngg,float64,0,1.0,0.0,,True,False
ChloroalkanesC10_13_ngg,float64,0,1.0,0.0,,True,False
PAH4_mgkg,float64,2,0.9999,0.01,0.1061 | 0.1352,True,False
SoilOrganicMatter_mgg,float64,0,1.0,0.0,,True,False
Sum_PAH_range_ngg,float64,0,1.0,0.0,,True,False
TotalDioxins_TEQ_ngkg,float64,0,1.0,0.0,,True,False
Cl_pct,float64,0,1.0,0.0,,True,False
S_pct,float64,0,1.0,0.0,,True,False
Si_pct,float64,0,1.0,0.0,,True,False
Br_pct,float64,0,1.0,0.0,,True,False
P_pct,float64,0,1.0,0.0,,True,False
Sn_pct,float64,0,1.0,0.0,,True,False
PeCBz_ngkg,float64,0,1.0,0.0,,True,False
HxCBz_ngkg,float64,0,1.0,0.0,,True,False
Methomyl_mgkg,float64,1,1.0,0.0,0.11,True,False
Triazophos_mgkg,float64,1,1.0,0.0,0.02,True,False
Aldrin_mgkg,float64,0,1.0,0.0,,True,False
Dieldrin_mgkg,float64,0,1.0,0.0,,True,False
Endrinketone_mgkg,float64,0,1.0,0.0,,True,False
ExtractableK_mgkg,float64,0,1.0,0.0,,True,False
ExtractableCa_mgkg,float64,0,1.0,0.0,,True,False
ExtractableMg_mgkg,float64,0,1.0,0.0,,True,False
OlsenP_ugg,float64,0,1.0,0.0,,True,False
SulphateS_mgg,float64,0,1.0,0.0,,True,False
WaterSolubleAs_mgL,float64,0,1.0,0.0,,True,False
Heptachlor_ngg,float64,1,1.0,0.0,55.0,True,False
EndrinCHO_ngg,float64,0,1.0,0.0,,True,False
EndosulfanII_ngg,float64,0,1.0,0.0,,True,False
NH4_N_mgkg,float64,0,1.0,0.0,,True,False
P2O5_mgkg,float64,0,1.0,0.0,,True,False
Heptachlor_mgkg,float64,0,1.0,0.0,,True,False
Endrin_mgkg,float64,0,1.0,0.0,,True,False
EndosulfanII_mgkg,float64,0,1.0,0.0,,True,False
TotalOCP_mgkg,float64,0,1.0,0.0,,True,False
D_BHC_mgkg,float64,0,1.0,0.0,,True,False
Moisture_pct,float64,0,1.0,0.0,,True,False
SoilRespiration_mgCO2g,float64,0,1.0,0.0,,True,False
Chloride_mgL,float64,0,1.0,0.0,,True,False
TotalHardness_mgL,float64,0,1.0,0.0,,True,False
Isopropylamine_mgkg,float64,0,1.0,0.0,,True,False
HCB_mgkg,float64,0,1.0,0.0,,True,False
Endosulfan_mgkg,float64,0,1.0,0.0,,True,False
DDT_mgkg,float64,0,1.0,0.0,,True,False
t-nonachlor_mgkg,float64,0,1.0,0.0,,True,False
Carbofuran_mgkg,float64,0,1.0,0.0,,True,False
Dichlorvos_mgkg,float64,0,1.0,0.0,,True,False
g-chlordane_mgkg,float64,0,1.0,0.0,,True,False
Lindane_mgkg,float64,0,1.0,0.0,,True,False
DichloroBiphenyl_mgkg,float64,0,1.0,0.0,,True,False
Chlorpyrifos_mgkg,float64,0,1.0,0.0,,True,False
Profenofos_mgkg,float64,0,1.0,0.0,,True,False
Gravel_pct,float64,3,0.9999,0.01,1.1 | 0.0 | 1.3,True,False
TOC_pct,float64,4,0.9999,0.01,4.4 | 4.7 | 4.9,True,False
Ptot_mgkg,float64,3,0.9999,0.01,233.4 | 258.1 | 251.7,True,False
Ntot_mgkg,float64,3,0.9999,0.01,237.7 | 284.5 | 267.5,True,False
Region_category,object,3,0.9999,0.01,Portoferraio,False,False
Is_China,float64,21297,0.2121,78.79,1.0 | 0.0,True,True
Region_Flag,object,21297,0.2121,78.79,china_coord | non_china_coord,False,False
PCB77_ngg,float64,1,1.0,0.0,0.0,True,False
PCB81_ngg,float64,0,1.0,0.0,,True,False
PCB105_ngg,float64,0,1.0,0.0,,True,False
PCB114_ngg,float64,0,1.0,0.0,,True,False
PCB123_ngg,float64,0,1.0,0.0,,True,False
PCB126_ngg,float64,1,1.0,0.0,0.195,True,False
PCB156_ngg,float64,0,1.0,0.0,,True,False
PCB157_ngg,float64,0,1.0,0.0,,True,False
PCB167_ngg,float64,1,1.0,0.0,0.008,True,False
PCB169_ngg,float64,0,1.0,0.0,,True,False
PCB189_ngg,float64,0,1.0,0.0,,True,False
SumPAE_ngg,float64,0,1.0,0.0,,True,False
SumPBB_ngg,float64,0,1.0,0.0,,True,False
PBDE209_ngg,float64,0,1.0,0.0,,True,False
PCDD_Fs_Total_pg_g,float64,5,0.9998,0.02,2.48 | 2.96 | 3.83,True,False
PCNs_Total_pg_g,float64,5,0.9998,0.02,22.5 | 29.0 | 21.2,True,False
Sum47PAH_ngg,float64,0,1.0,0.0,,True,False
Sum26alkylPAH_ngg,float64,0,1.0,0.0,,True,False
DMEP_ugkg,float64,4,0.9999,0.01,158.0 | 146.0 | 0.0,True,False
DPP_ugkg,float64,3,0.9999,0.01,91.0 | 0.0,True,False
DPHP_ugkg,float64,6,0.9998,0.02,240.0 | 71.0 | 57.0,True,False
DNP_ugkg,float64,5,0.9998,0.02,8.0 | 6.0 | 15.0,True,False
DCHP_ugkg,float64,3,0.9999,0.01,93.0 | 272.0,True,False
PFBA_ngg,float64,0,1.0,0.0,,True,False
PFPeA_ngg,float64,0,1.0,0.0,,True,False
PFHxA_ngg,float64,0,1.0,0.0,,True,False
PFHpA_ngg,float64,0,1.0,0.0,,True,False
PFOA_ngg,float64,36,0.9987,0.13,0.00152 | 0.00179 | 0.00253,True,True
PFNA_ngg,float64,0,1.0,0.0,,True,False
PFDA_ngg,float64,0,1.0,0.0,,True,False
PFBS_ngg,float64,0,1.0,0.0,,True,False
PFHxS_ngg,float64,0,1.0,0.0,,True,False
PFOS_ngg,float64,2,0.9999,0.01,0.00222 | 0.00266,True,False
RAP_mgkg,float64,8,0.9997,0.03,330.0 | 210.0 | 320.0,True,False
SOM_gkg,float64,8,0.9997,0.03,20.0 | 6.32 | 11.9,True,False
BAF,float64,0,1.0,0.0,,True,False
c_HCH_ngg,float64,0,1.0,0.0,,True,False
In_mgkg,float64,0,1.0,0.0,,True,False
Cs_mgkg,float64,0,1.0,0.0,,True,False
DOP_ugkg,float64,2,0.9999,0.01,9.0 | 8.0,True,False
A_HCH_pct_total,float64,0,1.0,0.0,,True,False
D_HCH_pct_total,float64,0,1.0,0.0,,True,False
Province_City,float64,0,1.0,0.0,,True,False
BgP_ngg,float64,0,1.0,0.0,,True,False
InP_ngg,float64,1,1.0,0.0,83.2,True,False
HCBD_ngg,float64,0,1.0,0.0,,True,False
CaO_pct,float64,0,1.0,0.0,,True,False
SiO2_pct,float64,0,1.0,0.0,,True,False
Al2O3_pct,float64,0,1.0,0.0,,True,False
Fe2O3_pct,float64,0,1.0,0.0,,True,False
MgO_pct,float64,0,1.0,0.0,,True,False
K2O_pct,float64,0,1.0,0.0,,True,False
Na2O_pct,float64,0,1.0,0.0,,True,False
DiBP_mgkg,float64,4,0.9999,0.01,0.16 | 0.58,True,False
DnBP_mgkg,float64,4,0.9999,0.01,0.14 | 0.55,True,False
DEP_mgkg,float64,4,0.9999,0.01,0.01 | 0.08,True,False
BBP_mgkg,float64,4,0.9999,0.01,0.005 | 0.02,True,False
DMP_mgkg,float64,4,0.9999,0.01,0.005 | 0.0,True,False
DnOP_mgkg,float64,4,0.9999,0.01,0.0,True,False
TownOrTownship,object,4,0.9999,0.01,Xingzi | Dalubian,False,False
Self_defined_SoilDensity_gcm3,float64,0,1.0,0.0,,True,False
Self_defined_WC_pct,float64,0,1.0,0.0,,True,False
Self_defined_TVN_pct,float64,0,1.0,0.0,,True,False
Self_defined_SOM_gkg,float64,0,1.0,0.0,,True,False
Self_defined_TK_pct,float64,0,1.0,0.0,,True,False
Self_defined_AN_mgkg,float64,0,1.0,0.0,,True,False
Self_defined_AP_mgkg,float64,0,1.0,0.0,,True,False
Number_of_Samples,float64,0,1.0,0.0,,True,False
PBT_ngg,float64,1,1.0,0.0,0.01,True,False
TTHQ,float64,0,1.0,0.0,,True,False
ExtractionNote,object,3,0.9999,0.01,"CK: untreated control; heavy metal values from text, other treatments not available in numbers. | CS: conditioner+straw, no plants; heavy metals computed from CK and percentage reduction from text. | Original copper tailings bulk properties from Table 1; EC converted from µS/cm to mS/cm.",False,False
Mineral,float64,0,1.0,0.0,,True,False
SumPFAAs_ngg,float64,1,1.0,0.0,1339.0,True,False
SumAlternatives_ngg,float64,1,1.0,0.0,208.0,True,False
SumPFAS_max_ngg,float64,0,1.0,0.0,,True,False
PFUnDA_ngg,float64,0,1.0,0.0,,True,False
PFDoDA_ngg,float64,0,1.0,0.0,,True,False
HFPO_DA_ngg,float64,0,1.0,0.0,,True,False
F53B_ngg,float64,0,1.0,0.0,,True,False
6_2FTS_ngg,float64,0,1.0,0.0,,True,False
3-ClFlu_ngg,float64,0,1.0,0.0,,True,False
8-ClFlu_ngg,float64,0,1.0,0.0,,True,False
1-ClPyr_ngg,float64,0,1.0,0.0,,True,False
7-ClBaA_ngg,float64,0,1.0,0.0,,True,False
6-ClBaP_ngg,float64,0,1.0,0.0,,True,False
"3,9-Cl2Phe_ngg",float64,0,1.0,0.0,,True,False
9-ClPhe_ngg,float64,0,1.0,0.0,,True,False
"9,10-Cl2Phe_ngg",float64,0,1.0,0.0,,True,False
"9,10-Cl2Ant_1,9-Cl2Phe_ngg",float64,0,1.0,0.0,,True,False
9-ClAnt_ngg,float64,0,1.0,0.0,,True,False
p_p_DDE_min,float64,0,1.0,0.0,,True,False
p_p_DDE_max,float64,0,1.0,0.0,,True,False
p_p_DDD_max,float64,0,1.0,0.0,,True,False
o_p_DDT_max,float64,0,1.0,0.0,,True,False
p_p_DDT_min,float64,0,1.0,0.0,,True,False
p_p_DDT_max,float64,0,1.0,0.0,,True,False
o_p_DDE_max,float64,0,1.0,0.0,,True,False
o_p_DDD_max,float64,0,1.0,0.0,,True,False
SumDDTs_min,float64,0,1.0,0.0,,True,False
SumDDTs_max,float64,0,1.0,0.0,,True,False
OCP_SumHCH_ngg,float64,0,1.0,0.0,,True,False
OCP_SumDDT_ngg,float64,0,1.0,0.0,,True,False
SumAntibiotics_SA_ngg,float64,0,1.0,0.0,,True,False
SumAntibiotics_QU_ngg,float64,0,1.0,0.0,,True,False
SumAntibiotics_TC_ngg,float64,0,1.0,0.0,,True,False
SumPAE_DEHP_ngg,float64,0,1.0,0.0,,True,False
SumPAE_DnBP_ngg,float64,0,1.0,0.0,,True,False
Endrin aldehyde_mgkg,float64,0,1.0,0.0,,True,False
Endosulfan_II_mgkg,float64,0,1.0,0.0,,True,False
TC_gkg,float64,12,0.9996,0.04,12.28 | 16.2 | 13.95,True,False
TS_gkg,float64,4,0.9999,0.01,1.51 | 0.73 | 0.59,True,False
NumberSamples,float64,0,1.0,0.0,,True,False
Lake,float64,0,1.0,0.0,,True,False
Sum_ngg_APAH,float64,0,1.0,0.0,,True,False
Sea,float64,0,1.0,0.0,,True,False
Aldrin_ngg,float64,1,1.0,0.0,13.9,True,False
Endrin_ngg,float64,1,1.0,0.0,88.1,True,False
Endosulfan_I_ngg,float64,0,1.0,0.0,,True,False
Endosulfan_II_ngg,float64,0,1.0,0.0,,True,False
Methoxychlor_ngg,float64,1,1.0,0.0,19.4,True,False
Heptachlor_epoxide_ngg,float64,0,1.0,0.0,,True,False
Mapping_mm,float64,2,0.9999,0.01,1545.0,True,False
Species,object,2,0.9999,0.01,Pinus thunbergii | Hypnum plumaeforme,False,False
TOC_gkg,float64,0,1.0,0.0,,True,False
SumHCH_ngg,float64,0,1.0,0.0,,True,False
SumDDT_ngg,float64,0,1.0,0.0,,True,False
Any_ngg,float64,0,1.0,0.0,,True,False
IcdP_ngg,float64,2,0.9999,0.01,2350.0 | 3.31,True,False
NH4_mgkg,float64,8,0.9997,0.03,5.427 | 1.0 | 30.102,True,False
Saltness_mgkg,float64,8,0.9997,0.03,0.092 | 0.131 | 0.147,True,False
Phase7Prefix,object,283,0.9895,1.05,SI_new_phase7_ | hermes_new_ | latest_,False,False
ExtractionMethod,object,283,0.9895,1.05,pdfplumber+claude | docx+llm,False,False
Phase7RawJson,object,283,0.9895,1.05,SI_new_phase7_10.1007_s10653-021-00974-3_72 | SI_new_phase7_10.1007_s11270-014-2145-0_215 | SI_new_phase7_10.1007_s11270-018-3857-3_13,False,False
EmissionSource,float64,0,1.0,0.0,,True,False
DataQualityFlag,object,6,0.9998,0.02,possible_non_soil:leaf | possible_non_soil:snow,False,False
SumPAH_ngg,float64,1,1.0,0.0,690.1,True,False
Slope_pct,float64,1,1.0,0.0,0.23,True,False
OM_gkg,float64,3,0.9999,0.01,43.0 | 56.75,True,False
extraction_notes_summary,float64,0,1.0,0.0,,True,False
Dieldrin_ngg,float64,1,1.0,0.0,42.6,True,False
SumDRINs_ngg,float64,0,1.0,0.0,,True,False
CisChlordane_ngg,float64,0,1.0,0.0,,True,False
TransChlordane_ngg,float64,0,1.0,0.0,,True,False
SumChlordanes_ngg,float64,0,1.0,0.0,,True,False
AlphaEndosulfan_ngg,float64,0,1.0,0.0,,True,False
BetaEndosulfan_ngg,float64,0,1.0,0.0,,True,False
SumEndosulfans_ngg,float64,0,1.0,0.0,,True,False
PCB66_ngg,float64,1,1.0,0.0,0.043,True,False
PCB70_ngg,float64,1,1.0,0.0,0.022,True,False
PCB74_ngg,float64,1,1.0,0.0,0.039,True,False
PCB87_ngg,float64,1,1.0,0.0,0.014,True,False
PCB99_ngg,float64,1,1.0,0.0,0.03,True,False
PCB141_ngg,float64,1,1.0,0.0,0.01,True,False
PCB185_ngg,float64,1,1.0,0.0,0.069,True,False
PCB194_ngg,float64,1,1.0,0.0,0.017,True,False
PCB44_ngg,float64,0,1.0,0.0,,True,False
TPH_mgkg,float64,1,1.0,0.0,491.65,True,False
THg_ngg_midpoint,float64,0,1.0,0.0,,True,False
PM25_bound,object,2,0.9999,0.01,True,False,False
Season,object,2,0.9999,0.01,Pre-heating season (25 Oct – 14 Nov 2019) | Heating season (16 Nov 2019 – 10 Jan 2020),False,False
PM25_concentration_ugm3,float64,2,0.9999,0.01,69.1 | 125.0,True,False
PAH_volume_concentration_ngm3,float64,2,0.9999,0.01,8.09 | 26.2,True,False
PAH_mass_content_ugg,float64,2,0.9999,0.01,168.0 | 234.0,True,False
W_mgkg,float64,0,1.0,0.0,,True,False
OM_pct,float64,0,1.0,0.0,,True,False
extraction_notes_group_summary,object,1,1.0,0.0,"Mean values from 36 surface soil samples (0-10 cm) collected March 2024 in Datun, Gejiu, Yunnan Province. Individual site-level data (Table S1) is in supplementary material not provided in the extracted text. Soil pH inferred as <6.5 from the standard applied; midpoint 6.25 used for modeling. Background SOC, bulk density, CEC, and texture not reported in the paper. Elevation averaged from range 1533-2580 m. MAP averaged from range 800-1000 mm. See also crop concentration data in Table 4 of the paper.",False,False
C/N,float64,0,1.0,0.0,,True,False
SampleSize,float64,0,1.0,0.0,,True,False
extraction_notes_hint,object,5,0.9998,0.02,DDT residue at day 49: 73.8% of initial 10 mg/kg = 7.38 mg/kg converted to 7380 ng/g. Only DDT parent compound quantified from Fig.1; metabolites not extracted separately for this matrix. | DDT residue at day 49: 72.0% of initial 10 mg/kg = 7.20 mg/kg converted to 7200 ng/g. | DDT residue at day 49: 45.7% of initial = 4.57 mg/kg = 4570 ng/g. DDE final = 12.9% = 1.29 mg/kg = 1290 ng/g from text. Sum includes only DDT and DDE; DDD and DDMU not quantified at final time. Soil pH from text (4.44±0.01). OC not reported separately.,False,False
MeanValues,float64,0,1.0,0.0,,True,False
SumcPAH_ngg,float64,0,1.0,0.0,,True,False
ILCR,float64,0,1.0,0.0,,True,False
District,float64,0,1.0,0.0,,True,False
State,float64,0,1.0,0.0,,True,False
Prefecture,float64,0,1.0,0.0,,True,False
DTPA_Pb_mgkg,float64,1,1.0,0.0,16.3,True,False
Distance_m,float64,0,1.0,0.0,,True,False
Y_mgkg,float64,1,1.0,0.0,29.77,True,False
Group,float64,0,1.0,0.0,,True,False
SoilDepth,float64,0,1.0,0.0,,True,False
PublicationYear,float64,0,1.0,0.0,,True,False
HousingEstate,object,20,0.9993,0.07,Jana III Sobieskiego 18 | Jana III Sobieskiego 2 | Jana III Sobieskiego 24,False,False
Flo_ngg,float64,1,1.0,0.0,0.463,True,False
p_H,float64,1,1.0,0.0,6.7,True,False
Depth_cm,float64,0,1.0,0.0,,True,False
Month,float64,0,1.0,0.0,,True,False
OrgMatter_gkg,float64,0,1.0,0.0,,True,False
SiltClay_pct,float64,0,1.0,0.0,,True,False
BOD_mgL,float64,0,1.0,0.0,,True,False
COD_mgL,float64,0,1.0,0.0,,True,False
ExtractionSeason,object,4,0.9999,0.01,dry | wet,False,False
Station,object,15,0.9994,0.06,A-1 | A-M1 | A-2,False,False
SumDDTs_mgkg,float64,0,1.0,0.0,,True,False
SumHCHs_mgkg,float64,0,1.0,0.0,,True,False
SaltContent_pct,float64,0,1.0,0.0,,True,False
DBP_mgkg,float64,0,1.0,0.0,,True,False
DNOP_mgkg,float64,0,1.0,0.0,,True,False
SumPAE_mgkg,float64,0,1.0,0.0,,True,False
Dep_mgkg,float64,0,1.0,0.0,,True,False
SamplingDepth_note,object,2,0.9999,0.01,"Peak concentration value at surface soil layer (0.005m) under first pesticide application method, value in mg/L reported; converted assuming 1 L ≈ 1 kg soil for mg/kg equivalence. This is a simulated peak value, not a measured sample. | Peak concentration value at 0.035m depth under first pesticide application method, value from mg/L converted assuming 1 L ≈ 1 kg soil. Simulated peak value.",False,False
Heptachlor_endo_epoxide_ngg,float64,1,1.0,0.0,101.0,True,False
A_Endosulfan_ngg,float64,1,1.0,0.0,19.5,True,False
B_Endosulfan_ngg,float64,1,1.0,0.0,16.3,True,False
Endosulfan_sulfate_ngg,float64,1,1.0,0.0,15.8,True,False
Endrin_ketone_ngg,float64,1,1.0,0.0,39.5,True,False
HumusType,object,2,0.9999,0.01,mor | mull,False,False
MeanAnnualTemperature_C,float64,2,0.9999,0.01,7.8,True,False
C_pct,float64,2,0.9999,0.01,35.98 | 8.11,True,False
N_pct,float64,2,0.9999,0.01,1.47 | 0.46,True,False
Y_cmolkg,float64,2,0.9999,0.01,71.13 | 16.97,True,False
Ca_cmolkg,float64,2,0.9999,0.01,4.91 | 2.04,True,False
K_cmolkg,float64,2,0.9999,0.01,0.69 | 0.38,True,False
Mg_cmolkg,float64,2,0.9999,0.01,0.95 | 0.41,True,False
Na_cmolkg,float64,2,0.9999,0.01,0.09 | 0.03,True,False
BC_cmolkg,float64,2,0.9999,0.01,6.65 | 2.87,True,False
DHA_umolTPF_kgh,float64,2,0.9999,0.01,7.99 | 41.12,True,False
pHKCl,float64,2,0.9999,0.01,2.9 | 3.26,True,False
Sum_PAH_ugg,float64,2,0.9999,0.01,14.0 | 3.5,True,False
TSS_mgkg,float64,2,0.9999,0.01,2000.0 | 4800.0,True,False
LOI_mgkg,float64,2,0.9999,0.01,310.0 | 320.0,True,False
BTBPE_ngg,float64,1,1.0,0.0,0.03,True,False
Sum7PAH_mgkg,float64,0,1.0,0.0,,True,False
SumBPAH_mgkg,float64,0,1.0,0.0,,True,False
TC_ngg,float64,0,1.0,0.0,,True,False
CC_ngg,float64,0,1.0,0.0,,True,False
EndosulfanSulfate_ngg,float64,0,1.0,0.0,,True,False
IP_mgkg,float64,1,1.0,0.0,0.1153,True,False
DOC_mgkg,float64,8,0.9997,0.03,201.0 | 141.0 | 75.4,True,False
LocationDetails,object,1,1.0,0.0,"Mechanic site at Bodija, Ibadan",False,False
WaterDepth_m,float64,1,1.0,0.0,6.0,True,False
SumDDTs_ngg_range_min,float64,1,1.0,0.0,3.6,True,False
SumDDTs_ngg_range_max,float64,1,1.0,0.0,31.0,True,False
SumDDTs_ngg_average,float64,1,1.0,0.0,17.6,True,False
SumHCHs_ngg_range_min,float64,1,1.0,0.0,1.7,True,False
SumHCHs_ngg_range_max,float64,1,1.0,0.0,11.2,True,False
SumHCHs_ngg_average,float64,1,1.0,0.0,5.9,True,False
DDT_inventory_ng_cm2,float64,1,1.0,0.0,695.3,True,False
HCH_inventory_ng_cm2,float64,1,1.0,0.0,226.3,True,False
DnHP_ugkg,float64,0,1.0,0.0,,True,False
Available_N_mgkg,float64,2,0.9999,0.01,69.7,True,False
Available_P_mgkg,float64,2,0.9999,0.01,32.4,True,False
Available_K_mgkg,float64,2,0.9999,0.01,265.95,True,False
SumOPEs_ngg,float64,0,1.0,0.0,,True,False
Benzene_ugkg,float64,0,1.0,0.0,,True,False
C10_40_mgkg,float64,0,1.0,0.0,,True,False
DCM_ugkg,float64,0,1.0,0.0,,True,False
6_OH_BDE_47_ngg,float64,0,1.0,0.0,,True,False
NA_ngg,float64,0,1.0,0.0,,True,False
PCB149_ngg,float64,0,1.0,0.0,,True,False
PCB170_ngg,float64,0,1.0,0.0,,True,False
PCB31_ngg,float64,0,1.0,0.0,,True,False
PCB18_ngg,float64,0,1.0,0.0,,True,False
PCB20_ngg,float64,0,1.0,0.0,,True,False
DnBP_ugkg,float64,0,1.0,0.0,,True,False
MnBP_ugkg,float64,0,1.0,0.0,,True,False
MEHP_ugkg,float64,0,1.0,0.0,,True,False
Extraction_note,float64,0,1.0,0.0,,True,False
TCA_mgkg,float64,0,1.0,0.0,,True,False
Xyl_ngg,float64,1,1.0,0.0,70.0,True,False
OC_pct_calculated_by,float64,0,1.0,0.0,,True,False
FOSA_ngg,float64,0,1.0,0.0,,True,False
Total_Bicyclic_Aromatics_mgkg,float64,0,1.0,0.0,,True,False
Total_Tricyclic_Aromatics_mgkg,float64,0,1.0,0.0,,True,False
Total_Tetracyclic_Aromatics_mgkg,float64,0,1.0,0.0,,True,False
Total_Pentacyclic_Aromatics_mgkg,float64,0,1.0,0.0,,True,False
ANAPs_ngg,float64,7,0.9997,0.03,2561000.0 | 1011000.0 | 324000.0,True,False
APHEs_ngg,float64,7,0.9997,0.03,2065000.0 | 1229000.0 | 429000.0,True,False
2MANT_ngg,float64,7,0.9997,0.03,33000.0 | 36000.0 | 12000.0,True,False
C1FLU_ngg,float64,7,0.9997,0.03,93000.0 | 48000.0 | 17000.0,True,False
C1FLA_ngg,float64,7,0.9997,0.03,147000.0 | 104000.0 | 24000.0,True,False
C1PYR_ngg,float64,7,0.9997,0.03,207000.0 | 158000.0 | 43000.0,True,False
7MBaP_ngg,float64,7,0.9997,0.03,68000.0 | 47000.0 | 10000.0,True,False
SumAPAH_ngg,float64,8,0.9997,0.03,5313000.0 | 2696000.0 | 872000.0,True,False
Sum_ngg,float64,0,1.0,0.0,,True,False
TFA_ngg,float64,0,1.0,0.0,,True,False
HFIP_ngg,float64,0,1.0,0.0,,True,False
NTf2_ngg,float64,0,1.0,0.0,,True,False
6:2 FTAB_ngg,float64,0,1.0,0.0,,True,False
R_HCH_ngg,float64,0,1.0,0.0,,True,False
SumPBDD_F_ngg,float64,0,1.0,0.0,,True,False
Tph_mgkg,float64,1,1.0,0.0,3830.0,True,False
TotalTSS_mgl,float64,2,0.9999,0.01,2000.0 | 4800.0,True,False
LOI_mgl,float64,2,0.9999,0.01,310.0 | 320.0,True,False
Conductivity_mScm,float64,2,0.9999,0.01,21.0 | 180.0,True,False
Chloride_mgl,float64,2,0.9999,0.01,66.0 | 725.0,True,False
Pb_total_ugl,float64,2,0.9999,0.01,41.9 | 165.0,True,False
Cu_total_ugl,float64,2,0.9999,0.01,303.0 | 905.0,True,False
Zn_total_ugl,float64,2,0.9999,0.01,817.0 | 3150.0,True,False
Cd_total_ugl,float64,2,0.9999,0.01,0.43 | 1.87,True,False
Pb_dissolved_ugl,float64,2,0.9999,0.01,0.14 | 0.011,True,False
Cu_dissolved_ugl,float64,2,0.9999,0.01,20.7 | 6.08,True,False
Zn_dissolved_ugl,float64,2,0.9999,0.01,28.6 | 61.3,True,False
Cd_dissolved_ugl,float64,2,0.9999,0.01,0.01 | 0.058,True,False
Cu_trulydissolved_ugl,float64,2,0.9999,0.01,14.7 | 4.5,True,False
Zn_trulydissolved_ugl,float64,2,0.9999,0.01,21.5 | 57.9,True,False
Cd_trulydissolved_ugl,float64,2,0.9999,0.01,0.01 | 0.06,True,False
SumCarc_ngg,float64,2,0.9999,0.01,880.0 | 3240.0,True,False
SumLMWPAH_ngg,float64,2,0.9999,0.01,90.0 | 140.0,True,False
SumMMWPAH_ngg,float64,2,0.9999,0.01,1540.0 | 5460.0,True,False
SumHMWPAH_ngg,float64,2,0.9999,0.01,1090.0 | 4040.0,True,False
BDE197_ngg,float64,0,1.0,0.0,,True,False
BDE7_ngg,float64,0,1.0,0.0,,True,False
BDE15_ngg,float64,0,1.0,0.0,,True,False
BDE28_33_ngg,float64,0,1.0,0.0,,True,False
BDE49_ngg,float64,0,1.0,0.0,,True,False
BDE66_ngg,float64,0,1.0,0.0,,True,False
BDE77_ngg,float64,0,1.0,0.0,,True,False
BDE85_ngg,float64,0,1.0,0.0,,True,False
BDE119_ngg,float64,0,1.0,0.0,,True,False
e_waste_activity,float64,0,1.0,0.0,,True,False
BDE203_ngg,float64,0,1.0,0.0,,True,False
BDE3_ngg,float64,0,1.0,0.0,,True,False
BDE71_ngg,float64,0,1.0,0.0,,True,False
BDE126_ngg,float64,0,1.0,0.0,,True,False
AnnualTemp_C,float64,5,0.9998,0.02,21.9,True,False
MMWPAH_ngg,float64,0,1.0,0.0,,True,False
Cr_max_mgkg,float64,0,1.0,0.0,,True,False
Ni_max_mgkg,float64,0,1.0,0.0,,True,False
Cu_max_mgkg,float64,0,1.0,0.0,,True,False
Zn_max_mgkg,float64,0,1.0,0.0,,True,False
As_max_mgkg,float64,0,1.0,0.0,,True,False
Cd_max_mgkg,float64,0,1.0,0.0,,True,False
Hg_max_mgkg,float64,0,1.0,0.0,,True,False
Pb_max_mgkg,float64,0,1.0,0.0,,True,False
extraction_notes_field,object,1,1.0,0.0,after harvest,False,False
BackgroundSOC_gkg,float64,1,1.0,0.0,28.3667,True,False
VegetationType,object,36,0.9987,0.13,Coniferous and broad-leaved mixed forest | Temperate grassland | Deciduous broad-leaved forest,False,False
extraction_notes_inline,float64,0,1.0,0.0,,True,False
Latitude,float64,27031,0.0,100.0,31.139045993204235 | 37.47880822719191 | 36.11059395289943,True,True
Longitude,float64,27031,0.0,100.0,100.6790183221801 | 112.19064478545334 | 95.54735589795884,True,True
