paper_id,stem,tbl_idx,title,category,extract_status,extract_note
P11188,2020_刘玉峰_Unknown_null,7,Table 2.6 Pollutant screening value,conc_like,no_header,未找到含污染物信号的表头行
P11188,2020_刘玉峰_Unknown_null,8,Table 2.7 Initial sampling results,summary_conc,no_header,未找到含污染物信号的表头行
P11188,2020_刘玉峰_Unknown_null,9,Table 2.8 Statistical table of pollutants exceeding standards,summary_conc,no_header,未找到含污染物信号的表头行
P11188,2020_刘玉峰_Unknown_null,11,Table 3.2 Test soil properties,conc_like,ok_samples,"sample 2点, 1条, type=OP"
P11188,2020_刘玉峰_Unknown_null,12,Table 3.3 Benzo[alpyrene test results,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11188,2020_刘玉峰_Unknown_null,13,"r><td rowspan=""3"">9</td><td>P3-3</td><td>3.5</td><td></td></tr><tr><td>P4-1 P4-2",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11188,2020_刘玉峰_Unknown_null,14,Table 3.4 Benzo (a) pyrene degradation rate in pH test group,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11550,2024_朱敬涛_土壤_null,2,表 2.2 土样元素物质含量,sample_conc,no_data_rows,type=sample samples=0
P04672,10_3390_toxics13040249Toxics2025,0,Table 1. Concentrations of PCBs in soil around the world $( \mu \mathrm { g } / ,sample_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04721,10.3390_w17152246,0,Table 1. Summary of PFAS distribution in soils across different provinces in Chi,summary_conc,no_pollutant_columns,无列可解析为污染物
P09467,2025_Wen X et al_PLoSONE_10.1371-journal.pone.0328246,1,Table 2. Semi-variational model and fitting parameters for soil organic carbon c,summary_conc,no_header,未找到含污染物信号的表头行
P11342,2022_Unknown_Agriculture_null,1,Table 2-1 Physic-chemical properties of tested soils,conc_like,no_pollutant_columns,无列可解析为污染物
P11342,2022_Unknown_Agriculture_null,12,Table 3-3Regression equation between soil fluorescein diacetate hydrolase $V _ {,conc_like,no_pollutant_columns,无列可解析为污染物
P11363,2022_苏满_Unknown_null,9,表2-9 16种PAHs平均加标回收率及相对标准偏差,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
