sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DIF_ngg,x_measured_ENRO_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OCP_total_ngg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMP_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TC_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P00217_CK,,,,0.19,40.0,4.0,,,,190.0,15.8,,30.6,,,,,,,,,,7.09,P00217,P00217,soil,mining,Sichuan,6,1,False,,
P00217_S1,,,,0.24,140.0,6.89,,,,320.0,51.5,,49.3,,,,,,,,,,19.4,P00217,P00217,soil,mining,Sichuan,6,1,False,,
P00217_S2,,,,0.21,110.0,5.9,,,,280.0,55.1,,49.7,,,,,,,,,,17.7,P00217,P00217,soil,mining,Sichuan,6,1,False,,
P00217_S3,,,,0.25,80.0,5.53,,,,240.0,52.7,,44.3,,,,,,,,,,18.7,P00217,P00217,soil,mining,Sichuan,6,1,False,,
P00217_S4,,,,0.2,60.0,4.73,,,,220.0,48.4,,44.8,,,,,,,,,,16.0,P00217,P00217,soil,mining,Sichuan,6,1,False,,
P00217_S5,,,,0.21,60.0,4.3,,,,220.0,16.5,,42.1,,,,,,,,,,14.0,P00217,P00217,soil,mining,Sichuan,6,1,False,,
P00242_A,,7.12,,1.34,12.2,28.4,,,,,,,144.8,,,,,,27.5,6.7,128.0,,121.5,P00242,P00242,soil,e_waste,Hong Kong,5,4,True,5 composite samples场地均值(e_waste Hong Kong),
P00242_EW(DW),,202.3,,4.72,1717.0,755.6,,,,,,,1380.0,,,,,,6875.0,16.6,2305.0,,1717.0,P00242,P00242,soil,e_waste,Hong Kong,5,4,True,5 composite samples场地均值(e_waste Hong Kong),
P00242_EW(OBS),,48.44,,11.4,272.0,533.0,,,,,,,3254.0,,,,,,32340.0,143.8,1008.0,,920.0,P00242,P00242,soil,e_waste,Hong Kong,5,4,True,5 composite samples场地均值(e_waste Hong Kong),
P00242_EW(S),,5.82,,0.08,22.93,11.5,,,,,,,232.0,,,,,,50.5,9.5,107.3,,114.6,P00242,P00242,soil,e_waste,Hong Kong,5,4,True,5 composite samples场地均值(e_waste Hong Kong),
