sample_id,x_measured_As_mgkg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_Pb_mgkg,x_measured_SumDDTs_ngg,x_measured_SumHCHs_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TotalPHC_mgkg,x_measured_Zn_mgkg,source_id,paper_id,site_name,land_use,province,n_hm_obs,n_op_obs,hm_elements,op_families,matrix_flag,evidence_level,readiness,qa_flag,site_type,co_contamination_type
P01244_CV,0.42,0.76,,2.16,1.74,0.37,1.34,,,,1.93,,,1.4,10.1016/j.ecoenv.2024.116927,P01244,CV,industrial,,7,1,"As_mgkg,Cd_mgkg,Cu_mgkg,Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,petrochemical,HM+PCBs
P01482_BSM,,37.3,,125.92,,,,,,,,7.18,,193.44,10.1016/j.jclepro.2022.135417,P01482,BSM,other,,3,1,"Cd_mgkg,Cu_mgkg,Zn_mgkg",PAHs,soil,A_sample_table,training_ready_hm_op,,other,HM+PAHs
P01482_PS,,28.54,,97.13,,,,,,,,7.18,,155.13,10.1016/j.jclepro.2022.135417,P01482,PS,other,,3,1,"Cd_mgkg,Cu_mgkg,Zn_mgkg",PAHs,soil,A_sample_table,training_ready_hm_op,,other,HM+PAHs
P01482_s4_BSM_WTR,,40.46,,133.93,,,,,,,,7.1,,221.59,10.1016/j.jclepro.2022.135417,P01482,BSM+WTR,other,,3,1,"Cd_mgkg,Cu_mgkg,Zn_mgkg",PAHs,soil,A_sample_table,training_ready_hm_op,,other,HM+PAHs
P01492_1,10.21,0.13,,,,,,0.07,0.02,,,,,,10.1016/j.jenvman.2005.02.011,P01492,1,other,,2,2,"As_mgkg,Cd_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01492_2,24.58,,,,,,,107.71,15.0,,,,,,10.1016/j.jenvman.2005.02.011,P01492,2,other,,1,2,As_mgkg,OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01492_3,9.35,0.15,,,,,,0.16,0.018,,,,,,10.1016/j.jenvman.2005.02.011,P01492,3,other,,2,2,"As_mgkg,Cd_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01492_4,9.43,0.1,,,,,,0.02,0.019,,,,,,10.1016/j.jenvman.2005.02.011,P01492,4,other,,2,2,"As_mgkg,Cd_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01492_5,9.28,0.12,,,,,,0.223,0.017,,,,,,10.1016/j.jenvman.2005.02.011,P01492,5,other,,2,2,"As_mgkg,Cd_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01492_6,13.22,0.12,,,,,,0.09,0.021,,,,,,10.1016/j.jenvman.2005.02.011,P01492,6,other,,2,2,"As_mgkg,Cd_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01492_s24_Background,79.58,33.33,,,,,,266.67,23.81,,,,,,10.1016/j.jenvman.2005.02.011,P01492,Background,other,,2,2,"As_mgkg,Cd_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,other,HM+OCPs
P01524_C,,,,,0.2,11.7,173.7,,,,41.9,,,177.7,10.1016/j.jhazmat.2009.08.134,P01524,C,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P01524_D,,,,,0.9,52.6,177.2,,,,94.7,,,399.9,10.1016/j.jhazmat.2009.08.134,P01524,D,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P01524_E,,,,,0.3,66.3,81.3,,,,33.2,,,660.8,10.1016/j.jhazmat.2009.08.134,P01524,E,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P01524_F,,,,,0.4,83.8,91.5,,,,7.8,,,283.5,10.1016/j.jhazmat.2009.08.134,P01524,F,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P01524_G,,,,,0.3,66.1,115.2,,,,21.3,,,237.2,10.1016/j.jhazmat.2009.08.134,P01524,G,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P01524_H,,,,,3.2,120.4,184.4,,,,3.6,,,263.0,10.1016/j.jhazmat.2009.08.134,P01524,H,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P01524_L,,,,,9.3,68.6,2374.1,,,,215.1,,,518.7,10.1016/j.jhazmat.2009.08.134,P01524,l,e_waste,浙江,4,1,"Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P02317_U,,0.24,,,,,,,0.06,,,,,,10.1051/radiopro/2015022,P02317,U,agricultural,,1,1,Cd_mgkg,OCPs,soil,A_sample_table,training_ready_hm_op,,agricultural,HM+OCPs
P02317_s7_SV_,,0.2,0.09,35.0,,,35.0,50.0,50.0,,,,,100.0,10.1051/radiopro/2015022,P02317,SV*,agricultural,,5,2,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg",OCPs,soil,A_sample_table,training_ready_hm_op,,agricultural,HM+OCPs
P02376_s14_PCDD_Fs,,,0.541,0.737,,0.728,0.52,,,0.762,,,,,10.1080/02757540.2013.844798,P02376,PCDD/Fs,e_waste,浙江,4,1,"Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg",PBDEs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PBDEs
P04669_s2_wall_1,,,,,,,10.91,,,,14.96,,,,10.3390/toxics13010011,P04669,wall 1,industrial,,1,1,Pb_mgkg,PCBs,soil,A_sample_table,training_ready_hm_op,,industrial,HM+PCBs
P04669_s3_wall_2,,,,,,,11.32,,,,15.63,,,,10.3390/toxics13010011,P04669,wall 2,industrial,,1,1,Pb_mgkg,PCBs,soil,A_sample_table,training_ready_hm_op,,industrial,HM+PCBs
P04669_s4_wall_3,,,,,,,14.14,,,,19.33,,,,10.3390/toxics13010011,P04669,wall 3,industrial,,1,1,Pb_mgkg,PCBs,soil,A_sample_table,training_ready_hm_op,,industrial,HM+PCBs
P04669_s5_wall_4,,,,,,,12.15,,,,16.65,,,,10.3390/toxics13010011,P04669,wall 4,industrial,,1,1,Pb_mgkg,PCBs,soil,A_sample_table,training_ready_hm_op,,industrial,HM+PCBs
P04904_79,,1.0,12.0,16.5,,6.5,1.0,,,,,,10.0,,10.5194/bg-7-3961-2010,P04904,7.9,other,,3,1,"Cr_mgkg,Cu_mgkg,Ni_mgkg",TPH,soil,A_sample_table,training_ready_hm_op,,petrochemical,HM+TPH
P06121_s8_urban_center,0.0,0.076,0.791,,,0.158,0.013,,,,,0.003,,0.034,10.1016/j.envpol.2013.03.042,P06121,urban center,urban_green,,6,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PAHs,soil,A_sample_table,training_ready_hm_op,,urban,HM+PAHs
P06579_04,0.3,1.6,0.6,,,,,,,,0.2,,,,10.1016/j.envpol.2013.11.020,P06579,-0.4,industrial,,3,1,"As_mgkg,Cd_mgkg,Cr_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
