paper_id,level,stem,md_exists,pdf_exists,table_lines,sep_lines,total_lines,n_figures,n_images_files,has_table,table_density
P01294,B,10.1016_j.envpol.2013.03.058,True,True,0,0,267,27,0,False,0.0
P01532,B,2013_Dong Z et al_JHazardMater_10.1016-j.jhazmat.2013.05.003,True,True,0,0,366,60,0,False,0.0
P02272,B,10.1039_c3em00043e,True,True,0,0,229,30,0,False,0.0
P02376,B,2014_Tangetal_ChemEcol_10.1080-02757540.2013.844798,True,True,0,0,138,8,0,False,0.0
P02414,B,2013_Feng S et al_polycyclicaromaticcomp_10.1080-10476544.2013.835555,False,True,0,0,0,0,0,False,0.0
P06121,B,2008_Peng C et al_EnvironPollut_null,True,True,0,0,267,27,0,False,0.0
P06840,B,2013_Peng C et al_EnvironPollut_null,True,True,0,0,267,27,0,False,0.0
P06898,B,2013_Zhong M et al_EnvironPollut_null,True,True,0,0,292,26,0,False,0.0
P10616,B,2013_Dong Z Y et al_JHazardMater_null,True,True,0,0,52,0,0,False,0.0
P00742,B,2012_Wang K et al_JSoilsSediments_10.1007-s11368-012-0471-7,True,True,0,0,259,32,0,False,0.0
P01428,B,2012_Cui C et al_EnvironToxicol_10.1016-j.etap.2012.05.009,True,True,0,0,313,34,0,False,0.0
P02268,B,10_1039_c2em30433c,True,True,0,0,226,38,0,False,0.0
P02368,B,2012_Wang X S et al_IntJEnvironStud_10.1080-00207233.2012.702414,True,True,0,0,204,28,0,False,0.0
P03109,B,2015_叶昊_土壤_10.13421-j.cnki.hjwsxzz.2015.03.025,True,True,0,0,165,4,0,False,0.0
P11676,B,2014_英文并_土壤_null,True,True,0,0,1646,174,0,False,0.0
P02270,B,10.1039_c0em00633e,True,True,0,0,210,22,0,False,0.0
P03287,B,2009_杨传杰_环境科学_10.16507-j.issn.1006-6055.2009.02.042,True,True,0,0,267,4,0,False,0.0
P11191,B,2020_李婷_环境科学_null,True,True,0,0,1346,169,0,False,0.0
P00242,B,2011_Lopez B N et al_ArchEnvironContamToxicol_10.1007-s00244-010-9590-6,True,True,0,0,332,26,0,False,0.0
P01520,B,2009_Xiao Jiajun et al_JHazardMater_10.1016-j.jhazmat.2009.09.123,True,True,0,0,204,22,0,False,0.0
P01524,B,2010_Tangetal_JHazardMater_10.1016-j.jhazmat.2009.08.134,True,True,0,0,262,22,0,False,0.0
P00258,B,2002_Chen G et al_EnvironManage_10.1007-s00267-008-9268-2,True,True,0,0,237,18,0,False,0.0
P06239,B,2009_Nie M et al_SoilBiolBiochem_null,True,True,0,0,35,0,0,False,0.0
P06287,B,2009_Zhang H et al_GlobalNESTJ_null,True,True,0,0,176,25,0,False,0.0
P10441,B,2009_Zhang H. et al_IntJEnvironSciTechnol_null,True,True,0,0,194,20,0,False,0.0
P03281,B,2024_重金属_Science_10.16258-j.cnki.1674-5906.2024.12.011_1,True,True,0,0,406,46,0,False,0.0
P06154,B,2008_Zhang C et al_EnvironPollut_null,True,True,0,0,226,14,0,False,0.0
P10369,B,2008_Khan S et al_JHazardMater_null,True,True,0,0,283,37,0,False,0.0
P00255,B,2008_Cao L et al_EnvironGeol_10.1007-s00254-007-0934-0,True,True,0,0,158,17,0,False,0.0
P00310,B,2006_Xing W_EnvironGeochemHealth_10.1007-s10653-005-9017-x,True,True,0,0,177,23,0,False,0.0
P01083,B,2006_Gao Y et al_Chemosphere_10.1016-j.chemosphere.2006.04.030,True,True,0,0,225,24,0,False,0.0
P01085,B,2006_Song Y et al_Chemosphere_10.1016-j.chemosphere.2006.03.076,True,True,0,0,280,28,0,False,0.0
P03211,B,2012_于红艳_土壤_10.13961-j.cnki.stbctb.2012.05.022,True,True,0,0,152,18,0,False,0.0
P10294,B,2006_Shen G et al_EcotoxicolEnvironSaf_null,True,True,0,0,196,14,0,False,0.0
P01492,B,2005_Shenetal_JEnvironManage_10.1016-j.jenvman.2005.02.011,True,True,0,0,278,13,0,False,0.0
P03322,B,2018_周玉璇_环境科学_10.19741-j.issn.1673-4831.2018.0669,True,True,0,0,374,25,0,False,0.0
P03323,B,2023_周宣辛_环境科学_10.19672-j.cnki.1003-6504.0346.23.338,True,True,0,0,300,28,0,False,0.0
P05700,B,2003_Shen G et al_Water_null,True,True,0,0,278,13,0,False,0.0
P10229,B,2005_Chen Y et al_EnvironInt_null,True,True,0,0,176,14,0,False,0.0
P10247,B,2005_Shen G et al_JEnvironManage_null,True,True,0,0,278,13,0,False,0.0
P01075,B,10_1016_j_chemosphere_2004_08_070,True,True,0,0,211,23,0,False,0.0
P10188,B,2004_Chen Y X et al_PlantSoil_null,True,True,0,0,175,26,0,False,0.0
P05518,B,1998_Ding Aizhong et al_EnvironPollut_10.3184-095422902782775353,True,True,0,0,216,39,0,False,0.0
P00969,B,2026_Jin T et al_JHazardMater_10.1016-18,True,True,0,0,33,2,0,False,0.0
P11637,B,2025_刘君博_Unknown_null,True,True,0,0,2234,198,0,False,0.0
P00116,B,2025_Yan K et al_Unknown_10.1002-ep.70148,True,True,0,0,350,43,0,False,0.0
P03113,B,2020_刘瑞_环境科学_10.13651-j.cnki.fjnykj.2020.11.008,True,True,0,0,165,13,0,False,0.0
P09271,B,2025_Cheng T et al_JWaterProcessEng_null,True,True,0,0,534,33,0,False,0.0
P01241,B,10.1016_j.ecoenv.2023.115052,True,True,0,0,32,0,0,False,0.0
P01167,B,10.1016_j.chemosphere.2021.132259,True,True,0,0,42,2,0,False,0.0
P01583,B,2021_Lin S et al_EnvironPollut_10.1016-j.jhazmat.2021.127792_1,True,True,0,0,452,10,0,False,0.0
P03773,B,2022_Yu H et al_FrontEnvironSci_10.3389-fenvs.2022.855292,True,True,0,0,601,12,0,False,0.0
P03990,B,10_3390_f13030406,True,True,0,0,271,30,0,False,0.0
P04385,B,10_3390_nano12111860,True,True,0,0,377,65,0,False,0.0
P01227,B,10.1016_j.ecoenv.2020.111756,True,True,0,0,486,23,0,False,0.0
P01760,B,2019_Peng F et al_SciTotalEnviron_10.1016-j.scitotenv.2019.136281,True,True,0,0,330,34,0,False,0.0
P04353,B,2020_Medium CL_Science_10.3390-microorganisms8060946,True,True,0,0,318,48,0,False,0.0
P02933,B,2018_Wang H et al_Science_10.1155-2018-9264259,True,True,0,0,315,39,0,False,0.0
P10991,B,2018_Liu J et al_EnvironPollut_null,True,True,0,0,252,24,0,False,0.0
P00112,B,10.1002_eap.1494,True,True,0,0,260,37,0,False,0.0
P00270,B,2017_Qin W et al_BioprocessBiosystEng_10.1007-s00449-017-1836-5,True,True,0,0,276,32,0,False,0.0
P08697,B,2022_Lin S et al_JHazardMater_null,True,True,0,0,452,10,0,False,0.0
P01098,B,2016_Zeng J et al_Chemosphere_10.1016-j.chemosphere.2016.01.019,True,True,0,0,244,40,0,False,0.0
P01696,B,10.1016_j.scitotenv.2016.01.164,True,True,0,0,286,42,0,False,0.0
P04610,B,2016_Duan W et al_Sustainability_10.3390-su8020133,True,True,0,0,283,69,0,False,0.0
P00640,B,2013_Chen Chen et al_Water_10.1007-s11356-015-5926-0,True,True,0,0,314,60,0,False,0.0
P09621,B,2015_Wang J等_soilandsedimentcontam_10.1080-15320386.2014.965555,False,True,0,0,0,0,0,False,0.0
P11290,B,2021_刘瑞_Unknown_null,True,True,0,0,1111,103,0,False,0.0
P06953,B,2014_Fu J et al_JHazardMater_10.1016-j.jhazmat.2014.01.044,True,True,0,0,48,0,0,False,0.0
P10679,B,2014_Fu J_JHazardMater_null,True,True,0,0,296,24,0,False,0.0
P00252,B,10.1007_s00248-013-0313-1,True,True,0,0,318,47,0,False,0.0
P01292,B,2013_Sneath HE et al_EnvironPollut_10.1016-j.envpol.2013.03.009,True,True,0,0,191,22,0,False,0.0
P02893,B,2013_Zhu X M et al_BiomedResInt_10.1155-2013-192986,True,True,0,0,142,15,0,False,0.0
P00118,B,2010_Qin X et al_EnvironToxicolChem_10.1002-etc.154,True,True,0,0,289,43,0,False,0.0
P01072,B,2003_Saison C et al_Chemosphere_10.1016-j.chemosphere.2003.10.059,True,True,0,0,219,24,0,False,0.0
P01256,B,2026_Wang M et al_Water_10.1016-j.eehl.2026.100230,True,True,0,0,417,77,0,False,0.0
P03788,B,2024_Su Y et al_FrontMarSci_10.3389-fmars.2024.1450208,True,True,0,0,393,55,0,False,0.0
P09538,B,2026_Wang M et al_Water_null,True,True,0,0,417,77,0,False,0.0
P04194,B,2021_Wang F et al_IntJEnvironResPublicHealth_10.3390-ijerph18147690,True,True,0,0,354,58,0,False,0.0
P03003,B,2020_Li L et al_BMCBiotechnol_10.1186-s12896-020-00613-2,True,True,0,0,352,37,0,False,0.0
P04895,B,2020_Elzein A et al_AtmosChemPhys_10.5194-acp-20-14303-2020,True,True,0,0,414,29,0,False,0.0
P11171,B,2020_Wu Q et al_EnvironRes_null_1,True,True,0,0,200,23,0,False,0.0
P11172,B,2020_Wu Q et al_EnvironRes_null,True,True,0,0,200,23,0,False,0.0
P01318,B,2019_Zheng X et al_EnvironPollut_10.1016-j.envpol.2018.12.055,True,True,0,0,423,21,0,False,0.0
P01706,B,2018_Xu H et al_SciTotalEnviron_10.1016-j.scitotenv.2017.08.101,True,True,0,0,387,34,0,False,0.0
P03288,B,2013_ZHANG H et al_Science_10.1631-jzus.B1700123,True,True,0,0,260,28,0,False,0.0
P04081,B,2018_Occurrence_EnvironRes_10.3390-ijerph15071422,True,True,0,0,277,27,0,False,0.0
P08559,B,2021_Sun Y et al_EnvironInt_null,True,True,0,0,340,48,0,False,0.0
P00611,B,2014_Deng G et al_EnvironSciPollutRes_10.1007-s11356-014-2995-4,True,True,0,0,191,21,0,False,0.0
P03154,B,2014_Lu X et al_PLoSONE_10.1371-journal.pone.0111664,True,True,0,0,455,77,0,False,0.0
P06863,B,2013_Sneath HE et al_EnvironPollut_null,True,True,0,0,31,0,0,False,0.0
P06351,B,2010_Ji L et al_Water_10.1002-etc.350,True,True,0,0,190,32,0,False,0.0
P10444,B,2009_Zhao C et al_JChromatogrSci_null,True,True,0,0,201,9,0,False,0.0
P01362,B,10.1016_j.envpol.2020.116162,True,True,0,0,37,1,0,False,0.0
P03329,B,2021_张友峰等_中国油脂_10.19902-j.cnki.zgyz.1003-7969.2021.07.015,True,True,0,0,202,9,0,False,0.0
P04902,B,2021_Sun Y et al_AtmosChemPhys_10.5194-acp-21-6365-2021,True,True,0,0,542,72,0,False,0.0
P02906,B,2014_Ding S et al_JNanomater_10.1155-2014-678489_1,True,True,0,0,171,25,0,False,0.0
P00971,B,2026_Zhang K et al_EnvironPollut_10.1016-16,True,True,0,0,32,1,0,False,0.0
P09509,B,2026_Jin T et al_JHazardMater_null,True,True,0,0,462,66,0,False,0.0
P11653,B,2026_Ren Y et al_JHazardMater_null,True,True,0,0,529,86,0,False,0.0
P01644,B,10.1016_j.jhazmat.2025.140371,True,True,0,0,42,2,0,False,0.0
P02313,B,2025_Yijing Du_Unknown_10.1051-e3sconf-202562801015,True,True,0,0,283,29,0,False,0.0
P05436,B,10_3390_su11030556,True,True,0,0,386,1,0,False,0.0
P09050,B,2024_Li D et al_EnvironGeochemHealth_null,True,True,0,0,386,1,0,False,0.0
P11485,B,2024_Li S et al_EnvironRes_null_1,True,True,0,0,24,0,0,False,0.0
P00830,B,2023_Exposure H_ExposHealth_10.1007-s12403-022-00520-3,True,True,0,0,612,5,0,False,0.0
P05053,B,10.61173_vcvnzr96_OpenAlexOA,True,True,0,0,161,0,0,False,0.0
P09184,B,2024_Xie X et al_EcotoxicolEnvironSaf_null_1,True,True,0,0,323,31,0,False,0.0
P09185,B,2024_Xie X et al_EcotoxicolEnvironSaf_null_2,True,True,0,0,323,31,0,False,0.0
P11405,B,2023_Lu X et al_EcotoxicolEnvironSaf_null_1,True,True,0,0,414,84,0,False,0.0
P03075,B,2016_熊惠磊等_环境工程_10.13205-j.hjgc.201607037,True,True,0,0,264,19,0,False,0.0
P03078,B,2021_吴志远_土壤_10.13227-j.hjkx.201910152,True,True,0,0,21,0,0,False,0.0
P03244,B,2023_Tan T et al_PolJEnvironStud_10.15244-pjoes-155966,True,True,0,0,338,40,0,False,0.0
P08682,B,2022_Jiao A et al_Chemosphere_null,True,True,0,0,36,2,0,False,0.0
P05091,B,10_1002_(SICI,True,True,0,0,427,4,0,False,0.0
P08445,B,2021_Kalkhajeh YK et al_AgricEcosystEnviron_null,True,True,0,0,476,45,0,False,0.0
P08462,B,2021_Li G et al_EnvironTechnolInnov_null_1,True,True,0,0,266,30,0,False,0.0
P00073,B,0000_Yang M et al_ApplSoilEcol_null,True,True,0,0,159,27,0,False,0.0
P08168,B,2020_Huo Z et al_Sustainability_null,True,True,0,0,312,27,0,False,0.0
P08510,B,2021_PAHs et al_EnvironPollut_null,True,True,0,0,376,29,0,False,0.0
P08704,B,2022_Liu Q et al_EnvironPollut_null,True,True,0,0,373,46,0,False,0.0
P08109,B,2020_Chen H et al_JEnvironManage_null,True,True,0,0,286,35,0,False,0.0
P09747,B,0000_Golicz K et al_SciRep_null,True,True,0,0,192,26,0,False,0.0
P09845,B,0000_Unknown_Unknown_null_11,True,True,0,0,993,58,0,False,0.0
P10996,B,2018_Ma Y et al_ChemEngJ_null,True,True,0,0,42,1,0,False,0.0
P07606,B,2017_Shen ZJ et al_EcotoxicolEnvironSaf_null,True,True,0,0,304,30,0,False,0.0
P07770,B,2018_Liu H et al_EcotoxicolEnvironSaf_null,True,True,0,0,260,24,0,False,0.0
P10347,B,2007_Unknown_Nature_null,True,True,0,0,477,55,0,False,0.0
P07473,B,2016_Zhiqun Chen_EnvironSciPollutRes_null,True,True,0,0,373,6,0,False,0.0
P00633,B,2013_Zhang Q et al_EnvironSciPollutRes_10.1007-s11356-015-5319-0,True,True,0,0,283,6,0,False,0.0
P07111,B,2015_Chen C et al_EnvironSciPollutRes_null,True,True,0,0,383,6,0,False,0.0
P07154,B,2015_Jiang J et al_EcotoxicolEnvironSaf_null,True,True,0,0,303,23,0,False,0.0
P07224,B,2015_Teng Y et al_EcotoxicolEnvironSaf_null,True,True,0,0,35,1,0,False,0.0
P11356,B,2022_刘霖_Unknown_null,True,True,0,0,1336,166,0,False,0.0
P08442,B,2021_Kalkhajeh Y et al_AgricEcosystEnviron_null,True,True,0,0,478,45,0,False,0.0
P08447,B,2021_Kalkhajeh YK et al_AgricEcosystEnviron_null_1,True,True,0,0,30,3,0,False,0.0
P09817,B,0000_Ren J et al_null,True,True,0,0,195,12,0,False,0.0
P10531,B,2011_Peng C et al_null_null,True,True,0,0,62,4,0,False,0.0
P03108,B,10.13421_j．cnki．hjwsxzz,True,True,0,0,165,4,0,False,0.0
P05069,B,2021_孔颖_环境科学_10.7524-j.issn.0254-6108.2020050603,True,True,0,0,357,9,0,False,0.0
P10518,B,2011_Fu J. et al_Chemosphere_null,True,True,0,0,202,17,0,False,0.0
P10228,B,2005_Chen Y_EnvironInt_null,True,True,0,0,176,14,0,False,0.0
P09516,B,2026_Microplastics M et al_Science_10.3390-toxics14050406Toxics,True,True,0,0,527,29,0,False,0.0
P11622,B,2025_Unknown_Unknown_null_4,True,True,0,0,57,0,0,False,0.0
P11582,B,2025_Jin W et al_MarPollutBull_null,True,True,0,0,426,68,0,False,0.0
P11628,B,2025_Wu J et al_EnvironPollut_null,True,True,0,0,279,42,0,False,0.0
P01482,B,2022_Zhang Z et al_JCleanProd_10.1016-j.jclepro.2022.135417,True,True,0,0,343,42,0,False,0.0
P09298,B,2025_Fan QX et al_EnvironPollut_null,True,True,0,0,31,1,0,False,0.0
P03118,B,2008_孙峰_环境科学_10.13671-j.hjkxxb.2008.12.004,True,True,0,0,234,17,0,False,0.0
P07566,B,2017_Liu X et al_SciRep_null,True,True,0,0,346,68,0,False,0.0
P07445,B,2016_Wang H et al_PolJEnvironStud_10.15244-pjoes-62904,True,True,0,0,244,26,0,False,0.0
P11184,B,2020_宋梓菡_Unknown_null,True,True,0,0,1202,159,0,False,0.0
P09972,B,1991_Ma J. et al_Water_null,True,True,0,0,194,19,0,False,0.0
P05660,B,2002_Zhang G et al_EnvironSciTechnol_null,True,True,0,0,212,46,0,False,0.0
P11449,B,2023_资产信息网_Unknown_null,True,True,0,0,374,17,0,False,0.0
P01585,B,10.1016_j.jhazmat.2022.129175,True,True,0,0,49,2,0,False,0.0
P08108,B,2020_Chen J et al_SciRep_null,True,True,0,0,232,16,0,False,0.0
P08053,B,2019_Wang Q et al_EnvironSciPollutRes_10.1007-s11356-019-05355-z,True,True,0,0,325,35,0,False,0.0
P07668,B,2017_Zhou Y et al_SciRep_null,True,True,0,0,289,39,0,False,0.0
P02760,B,2015_Li Y et al_EnvironEngSci_10.1089-ees.2014.0489,True,True,0,0,315,40,0,False,0.0
P07554,B,2017_Li Q et al_SciTotalEnviron_null,True,True,0,0,551,69,0,False,0.0
