paper_id,stem,candidate_tables,max_rows,op_groups,title
P11184,2020_宋梓菡_Unknown_null,13,22,PAHs,Spatial Distribution and Environmental Effects of Polycyclic Aromatic Hydrocarbons and Heavy Metals in Snowpack in Harbin
P08445,2021_Kalkhajeh YK et al_AgricEcosystEnviron_null,5,23,"Pesticides,Antibiotics,PAEs",Environmental soil quality and vegetable safety under current greenhouse vegetable production management in China
P08442,2021_Kalkhajeh Y et al_AgricEcosystEnviron_null,5,23,"Pesticides,Antibiotics,PAEs",Environmental soil quality and vegetable safety under current greenhouse vegetable production management in China
P04324,10_3390_land13111798,5,19,PAHs,"Integrated Assessment and Agricultural Planning in Selenium-Rich Hilly Soils: A Case Study on Land Use, Heavy Metal Contamination, and Nutrient Element Distribution"
P01428,2012_Cui C et al_EnvironToxicol_10.1016-j.etap.2012.05.009,4,31,PBDEs,The combined effect of decabromodiphenyl ether (BDE-209) and copper (Cu) on soil enzyme activities and microbial community structure
P00643,10.1007_s11356-016-6462-2,4,21,PAEs,"Nutrients, heavy metals and phthalate acid esters in solar greenhouse soils in Round-Bohai Bay-Region, China: impacts of cultivation year and biogeography"
P04678,10_3390_toxics14050406Toxics,4,20,POPs_general,"From Legacy Contamination to Green Infrastructure: Heavy Metal, Microplastics and Nutrient Pollution Management in the Yangtze River Basin"
P09516,2026_Microplastics M et al_Science_10.3390-toxics14050406Toxics,4,20,POPs_general,"From Legacy Contamination to Green Infrastructure: Heavy Metal, Microplastics and Nutrient Pollution Management in the Yangtze River Basin"
P02733,2019_Liao Q et al_Agriculture_10.1080-26395940.2019.1620132,4,15,Antibiotics,Responses difference analysis of soil potential nitrification rates to Cu and sulfadiazine
P01919,2017_Zhu Y et al_Pedosphere_10.1016-S1002-0160(17)60306-0,4,14,Pesticides,"Accumulation and Potential Sources of Heavy Metals in the Soils of the Hetao Irrigation District, Inner Mongolia, China"
P03773,2022_Yu H et al_FrontEnvironSci_10.3389-fenvs.2022.855292,3,62,POPs_general,Microplastics as an Emerging Environmental Pollutant in Agricultural Soils: Effects on Ecosystems and Human Health
P06949,2014_Ethers_EnvironHealth_10.1371-journal.pone.0113699,3,44,PBDEs,"Elevated Serum Polybrominated Diphenyl Ethers and Alteration of Thyroid Hormones in Children from Guiyu, China"
P00395,2014_Ostermannetal_EnvironMonitAssess_10.1007-s10661-014-3960-x,3,33,"Petroleum_TPH,Antibiotics",Identification of soil contamination hotspots with veterinary antibiotics using heavy metal concentrations and leaching data—a field study in China
P00706,2020_Zhang M et al_EnvironSciPollutRes_10.1007-s11356-020-10234-z,3,24,Pesticides,Quantitative source identification and apportionment of heavy metals under two different land use types: comparison of two receptor models APCS-MLR and PMF
P08598,2021_Xie T et al_SciTotalEnviron_null,3,19,PAHs,"The application of urban anthropogenic background to pollution evaluation and source identification of soil contaminants in Macau, China"
P00611,2014_Deng G et al_EnvironSciPollutRes_10.1007-s11356-014-2995-4,3,19,PAHs,"Heavy metals and polycyclic aromatic hydrocarbons in sediments from the Shenzhen River, South China"
P04815,2023_Hou D et al_JGeosciEnvironProt_10.4236-gep.2023.115017,3,14,"OCPs,Pesticides","Status, Distribution and Ecological Risk Assessment of Persistent Toxic Substances in Suburban Agricultural Soils in Hohhot City, North China"
P01294,10.1016_j.envpol.2013.03.058,3,13,PAHs,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators
P06121,2008_Peng C et al_EnvironPollut_null,3,13,PAHs,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators
P06840,2013_Peng C et al_EnvironPollut_null,3,13,PAHs,Assessing the combined risks of PAHs and metals in urban soils by urbanization indicators
