paper_id,level,stem,tbl_idx,n_rows,n_cols,title,category,has_unit,is_conc_titled,has_hm,has_op,is_hm_op
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,0,13,13,表 1 秦皇岛市农用地土壤环境质量监测结果,other,False,False,True,False,False
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,1,12,12,表 2 秦皇岛市农用地土壤重金属与苯并 a 芘 有机质及 $\mathbf { p H }$ 值的相关性岬角即山海关区东部 为工业聚集地 有多家炼焦化工企业 北戴河与抚宁交界 昌黎,other,False,False,True,False,False
P03103,A,2025_狄楠楠_环境科学_10.13358-j.issn.2096-9309.2025.0120.02,2,4,10,表 3 土壤重金属及苯并 a 芘单因子污染指数计算结果,other,False,False,True,False,False
P00137,A,2019_Wang C et al_LandDegradDev_10.1002-ldr.3456_3,0,24,11,TABLE 1 Comparison of polycyclic aromatic hydrocarbons and heavy metals concentrations in ,other,False,True,True,True,True
P00245,A,10_1007_s00244_019_00675_0,0,10,7,Table 1 Statistical summary of OPFRs concentrations in soil (ng/g) from Zhejiang Province,other,False,True,False,True,False
P00245,A,10_1007_s00244_019_00675_0,1,14,6,Table 2 Summary of OPFR concentrations in soils around the world,summary_conc,True,True,True,True,True
P00408,A,10.1007_s10661-019-7476-2,0,11,10,Table 1 Distribution characteristics of heavy metals in Shanghai park green space and road,conc_like,True,False,True,False,False
P00408,A,10.1007_s10661-019-7476-2,1,6,8,Table 2 Noncarcinogenic risk assessment for soil As at individual sampling sites in Shangh,risk_or_source,False,False,True,False,False
P00408,A,10.1007_s10661-019-7476-2,2,5,5,Table 3 Carcinogenic risk assessment for soil As at individual sampling sites in Shanghai ,risk_or_source,False,False,True,False,False
P00408,A,10.1007_s10661-019-7476-2,3,16,6,Table 4 PAH carcinogenic risk assessment for four types of PAHs at individual sampling sit,risk_or_source,False,False,True,True,True
P00408,A,10.1007_s10661-019-7476-2,4,11,10,Table 5 Carcinogenic risk assessment for BaA and BaP at individual sampling sites in road ,risk_or_source,True,False,True,True,True
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,0,17,7,Table 1 Concentrations of individual and total PAEs in Guiyu soil (ng $\mathrm { g } ^ { -,other,False,True,True,True,True
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,1,18,10,Table 2 Comparison of concentrations of soil PAEs in different sampling areas $\begin{arra,other,False,True,True,True,True
P00694,A,2019_Zhang S H_EnvironSciPollutRes_10.1007-s11356-019-04669-2,2,16,16,Table 3 Correlation coefficient matrix for PAEs and pH concentrations in Guiyu soil (n = 4,other,False,True,False,True,False
P11023,A,2018_任毅_土壤_null,0,11,6,表1 土壤中污染物污染情况,other,False,False,True,True,True
P11023,A,2018_任毅_土壤_null,1,13,4,表2 土壤修复污染因子目标值,risk_or_source,False,False,True,True,True
P11023,A,2018_任毅_土壤_null,2,18,14,表3 水泥窑协同处置重金属最大允许投加量限值,summary_conc,True,False,True,False,False
P11023,A,2018_任毅_土壤_null,3,5,3,表4 硫、氟、氯投加量控制值,conc_like,True,False,False,False,False
P11023,A,2018_任毅_土壤_null,4,7,5,表 5 实验室小试试验内容和配方,other,False,False,False,False,False
P11023,A,2018_任毅_土壤_null,5,9,6,表 6 实验室小试试验检测结果,other,False,False,True,False,False
P11023,A,2018_任毅_土壤_null,6,6,5,表7 有机污染土壤异位氧化处置中试药剂配置表,other,False,False,False,False,False
P11023,A,2018_任毅_土壤_null,7,7,10,表8 有机污染土壤异位氧化处置中试检测结果,other,False,False,True,True,True
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,0,35,12,Table 1,risk_or_source,False,False,True,True,True
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,1,35,9,Table 2,risk_or_source,False,False,True,True,True
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,2,5,6,"ed was also explored, with four classifications considered: same source–same sink, same so",other,False,False,True,True,True
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,3,7,9,"properties, incompatible (antagonistic) effects may result in HL or LH clustering. If the ",other,False,False,True,False,False
P01630,A,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500,4,10,17,"utants in soil, thereby exacerbating health risk. Relationships between pollutant concentr",risk_or_source,False,True,False,False,False
P03291,A,2023_俞明等_现代化工_10.16606-j.cnki.issn0253-4320.2023.07.043,0,6,4,表 1 本项目土壤修复目标值,risk_or_source,False,False,False,False,False
P03291,A,2023_俞明等_现代化工_10.16606-j.cnki.issn0253-4320.2023.07.043,1,6,3,表 2 干基固体废物有害组分控制限值及检测周期表,other,False,False,True,False,False
P03823,A,2025_Song Q et al_FrontMicrobiol_10.3389-fmicb.2025.1544233,0,6,8,TABLE 1 Alpha diversity index of microorganisms in different groundwater samples.,other,False,False,True,False,False
P03823,A,2025_Song Q et al_FrontMicrobiol_10.3389-fmicb.2025.1544233,1,5,6,TABLE 2 Amplicon sequence variant (ASV) species classification statistics of microorganism,other,False,False,True,False,False
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,0,55,7,The source composition and contribution rates are detailed in | Enhancement and refinement,risk_or_source,False,False,True,True,True
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,1,8,4,{ H g } }$ (Table S9). The non-carcinogenic risk indices (HI) for adults and children are ,risk_or_source,False,False,True,False,False
P01245,A,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965,2,8,6,", Hg (Mercury), As (Arsenic), Cu (Copper), Nap (Naphthalene), Phe (Phenanthrene), Fla (Flu",risk_or_source,False,False,True,True,True
P03838,A,2024_Wang Y et al_FrontPlantSci_10.3389-fpls.2024.1505670,0,10,6,TABLE 1 Tested groups and contaminated levels in soils.,other,False,False,True,False,False
P03838,A,2024_Wang Y et al_FrontPlantSci_10.3389-fpls.2024.1505670,1,14,6,TABLE 2 The ratio of inhibition of joint contamination on maize growth.,risk_or_source,False,False,True,False,False
P04669,A,2024_Lu Y et al_Unknown_null,0,7,14,Table 1. Basic information on soil hydrogeological condition.,summary_conc,True,False,True,False,False
