sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DiBP_ngg,x_measured_ENRO_ngg,x_measured_Endosulfan_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P00395_Plot21_120-160cm,,,,,,,,,,,,,,,,,0.7,3.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_160-200cm,,,,,,,,,,,,,,,,,,2.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot21_20-60cm,,,,,,,,,,,,,,,,,1.4,38.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_60-90cm,,,,,,,,,,,,,,,,,0.6,8.3,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot21_90-120cm,,,,,,,,,,,,,,,,,0.6,5.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot22_0-20cm,,,,,,,,,,,62.0,,,,,,,28.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot22_120-160cm,,,,,,,,,,,,,,,,,,0.4,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot22_160-200cm,,,,,,,,,,,,,,,,,,0.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot22_20-60cm,,,,,,,,,,,,,,,,,0.8,3.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot22_90-120cm,,,,,,,,,,,,,,,,,,1.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_0-20cm,,,23.0,,,,,,,,,,,,,,,79.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot23_120-160cm,,,,,,,,,,,,,,,,,,2.6,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_160-200cm,,,,,,,,,,,,,,,,,,1.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_20-60cm,,,,,,,,,,,,,,,,,,8.2,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_60-90cm,,,,,,,,,,,,,,,,,,1.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot23_90-120cm,,,,,,,,,,,,,,,,,,0.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_0-20cm,,,,,,,,,,,28.0,,,,,,,25.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot24_120-160cm,,,,,,,,,,,,,,,,,,1.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_160-200cm,,,,,,,,,,,,,,,,,,1.1,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_20-60cm,,,,,,,,,,,,,,,,,0.7,1.8,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,2,False,,
P00395_Plot24_60-90cm,,,,,,,,,,,,,,,,,,0.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot24_90-120cm,,,,,,,,,,,,,,,,,,2.0,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot2_0-20cm,,,,,,,,,,,,,,,,,,7.5,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot2_20-60cm,,,,,,,,,,,,,,,,,,0.9,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Plot7_0-20cm,,,,,,,,,,,22.0,,,,,,,,,,,,,,,P00395,P00395,soil,agricultural,Beijing,0,1,False,,
P00395_Riverbed_130-170cm,,,,,,,,,,,,,,,,,,14.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_170-210cm,,,,,,,,,,,,,,,,,,21.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_20-50cm,,,,,,,,,,,1.0,,,,,,,36.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,2,False,,
P00395_Riverbed_210-250cm,,,,,,,,,,,,,,,,,,26.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_250-290cm,,,,,,,,,,,,,,,,,,25.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_290-340cm,,,,,,,,,,,,,,,,,,25.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_340-370cm,,,,,,,,,,,,,,,,,,3.5,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_370-400cm,,,,,,,,,,,,,,,,,,10.0,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_50-90cm,,,,,,,,,,,,,,,,,,7.6,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00395_Riverbed_90-130cm,,,,,,,,,,,,,,,,,,2.8,,,,,,,,P00395,P00395,soil,other,Beijing,0,1,False,,
P00643_Beijing-Daxing,,,,,,,165.0,46.0,1.0,141.0,,,,,,,,,,,353.0,,,,,P00643,P00643,soil,agricultural,Beijing,0,5,False,,
P00671_L1,,,,,,,,,,,,,,,,,,,,,,0.63,0.019,,,P00671,P00671,sediment,lake,Jiangsu,0,2,False,,
P00671_L2,,,,,,,,,,,,,,,,,,,,,,6.8,0.11,,,P00671,P00671,sediment,lake,Zhejiang,0,2,False,,
P00671_L3,,,,,,,,,,,,,,,,,,,,,,9.6,0.43,,,P00671,P00671,sediment,lake,Jiangsu,0,2,False,,
P00671_L4,,,,,,,,,,,,,,,,,,,,,,67.0,0.82,,,P00671,P00671,sediment,lake,Jiangsu,0,2,False,,
P00671_L5,,,,,,,,,,,,,,,,,,,,,,6.5,0.25,,,P00671,P00671,sediment,lake,Jiangsu,0,2,False,,
P00671_L6,,,,,,,,,,,,,,,,,,,,,,6.3,0.15,,,P00671,P00671,sediment,lake,Jiangsu,0,2,False,,
P00671_L7,,,,,,,,,,,,,,,,,,,,,,7.7,0.018,,,P00671,P00671,sediment,lake,Shanghai,0,2,False,,
P01177_S13,,,,,,,,,,,,,,,,,,,,,,,,342.99,,P01177,P01177,peat,wetland,湖北,0,3,False,,
P01244_S13,,,,,,10228.0,,,,,,,,,,,,,,,,,,,,P01244,P01244,soil,industrial,广东,1,0,False,,
P01244_S16,,,,,,7357.0,,,,,,,,,,,,,,,,,,,,P01244,P01244,soil,industrial,广东,1,0,False,,
P01244_S20,,,,,,,,,,,,,,,,,,,,,,,,,2591.0,P01244,P01244,soil,industrial,广东,1,0,False,,
P01244_S25,,,,,,,,,,,,,,,,859.0,,,,,,,,,,P01244,P01244,soil,industrial,广东,1,0,False,,
P01524_B,,5.1,,,,,,,,,,,,,,,,,,,,,77.4,715.5,,P01524,P01524,soil,e_waste,Zhejiang,0,3,False,,
P01524_K1,,,,,,,,,,,,,,,,,,,,,,,7914.1,,,P01524,P01524,soil,e_waste,Zhejiang,0,1,False,,
P01524_K2,,,,,,,,,,,,,,,,,,,,,,,1664.4,,,P01524,P01524,soil,e_waste,Zhejiang,0,1,False,,
P01524_K3,,,,,,,,,,,,,,,,,,,,,,,6042.3,,,P01524,P01524,soil,e_waste,Zhejiang,0,1,False,,
P01524_K4,,,,,,,,,,,,,,,,,,,,,,,7537.1,,,P01524,P01524,soil,e_waste,Zhejiang,0,1,False,,
P01524_K5,,,,,,,,,,,,,,,,,,,,,,,484500.0,,,P01524,P01524,soil,e_waste,Zhejiang,0,1,False,,
P01674_S1-2,7.4,,,0.06,,,,,,,,,,,,18.0,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S1-4,4.4,,,0.03,,,,,,,,,,,,19.7,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S1-6,6.4,,,0.01,,,,,,,,,,,,19.4,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S2-2,1230.0,,,3.45,,,,,,,,,,,,212.0,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S2-4,1270.0,,,8.67,,,,,,,,,,,,647.0,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S2-6,71.3,,,0.27,,,,,,,,,,,,44.6,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S3-2,17.1,,,0.08,,,,,,,,,,,,24.4,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S3-4,5.1,,,0.04,,,,,,,,,,,,25.2,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01674_S3-6,4.4,,,0.03,,,,,,,,,,,,20.4,,,,,,,,,,P01674,P01674,soil,industrial,Zhejiang,3,0,False,,
P01718_S10,,2.32,,,,,,,,,,,,,,,,,,,,,,772.94,,P01718,P01718,soil,agricultural,Tianjin,0,2,False,,
P01718_S11,,2.12,,,,,,,,,,,,,,,,,,,,,,259.93,,P01718,P01718,soil,agricultural,Tianjin,0,2,False,,
P01718_S2,,6.06,,,,,,,,,,,,,,,,,,,,,,435.06,,P01718,P01718,soil,other,Tianjin,0,2,False,,
P01718_S3,,1.96,,,,,,,,,,,,,,,,,,,,,,289.12,,P01718,P01718,soil,other,Tianjin,0,2,False,,
P01718_S4,,4.06,,,,,,,,,,,,,,,,,,,,,,473.98,,P01718,P01718,soil,industrial,Tianjin,0,2,False,,
P01718_S5,,1.51,,,,,,,,,,,,,,,,,,,,,,387.62,,P01718,P01718,soil,industrial,Tianjin,0,2,False,,
P01718_S6,,4.71,,,,,,,,,,,,,,,,,,,,,,175.74,,P01718,P01718,soil,agricultural,Tianjin,0,2,False,,
P01718_S7,,16.71,,,,,,,,,,,,,,,,,,,,,,296.09,,P01718,P01718,soil,agricultural,Tianjin,0,2,False,,
P01718_S8,,7.67,,,,,,,,,,,,,,,,,,,,,,229.25,,P01718,P01718,soil,agricultural,Tianjin,0,2,False,,
