sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DiBP_ngg,x_measured_ENRO_ngg,x_measured_Endosulfan_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P02957_S4,26.03,,,1.21,2600.0,4800.0,,,,,,,0.21,480.0,,150.0,,,,,,,,,330.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S5,52.1,,,10.02,320.0,12700.0,,,,,,,0.19,1100.0,,480.0,,,,,,,,,3500.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S6,23.09,,,1.6,48.0,140.0,,,,,,,0.27,30.0,,62.0,,,,,,,,,130.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S7,5.02,,,0.16,42.0,27.0,,,,,,,0.12,25.0,,54.0,,,,,,,,,96.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S8,60.03,,,6.01,7.2,82.0,,,,,,,0.26,21.0,,56.0,,,,,,,,,770.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S9,22.06,,,0.1,45.0,66.0,,,,,,,0.27,20.0,,32.0,,,,,,,,,230.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P03275_S11,,,,,,,,,,,,,,,,,,,,,,,,2830.0,,P03275,P03275,soil,agricultural,Shanxi,0,1,False,,
P03275_S13,,,,,,,,,,,,,,,,,,,,,,,,14390.0,,P03275,P03275,soil,agricultural,Shanxi,0,1,False,,
P03275_S14,,,,,,,,,,,,,,,,,,,,,,,,21640.0,,P03275,P03275,soil,agricultural,Shanxi,0,1,False,,
P04017_P3,,,,2.56,74.18,78.26,,,,,,,,35.58,,107.1,,,,,,,,,134.5,P04017,P04017,soil,e_waste,Zhejiang,6,0,False,,
P04017_P4,,,,2.57,69.04,71.36,,,,,,,,35.37,,99.54,,,,,,,,,129.0,P04017,P04017,soil,e_waste,Zhejiang,6,0,False,,
P04017_P5,,,,1.71,71.11,68.59,,,,,,,,34.89,,92.22,,,,,,,,,131.34,P04017,P04017,soil,e_waste,Zhejiang,6,0,False,,
P04017_P6,,,,2.23,73.53,78.94,,,,,,,,38.93,,103.98,,,,,,,,,142.0,P04017,P04017,soil,e_waste,Zhejiang,6,0,False,,
P06697_Agri-Collection,33.11,,,10.45,3353.6,968.82,,,,,,,12.19,1556.8,,459.94,,,,,,,,,2407.1,P06697,P06697,soil,agricultural,Liaoning,8,0,False,,
P06697_Agri-Tailing,5.45,,,4.49,528.14,198.21,,,,,,,7.77,227.87,,81.6,,,,,,,,,481.8,P06697,P06697,soil,agricultural,Liaoning,8,0,False,,
P06697_Agri-Transportation,6.14,,,4.2,329.37,379.28,,,,,,,14.11,121.85,,78.89,,,,,,,,,217.1,P06697,P06697,soil,agricultural,Liaoning,8,0,False,,
P06697_Mining-Collection,167.65,,,83.09,201.98,131.68,,,,,,,4.78,67.52,,398.29,,,,,,,,,278.94,P06697,P06697,soil,mining,Liaoning,8,0,False,,
P06697_Mining-Tailing,121.98,,,59.46,154.85,129.92,,,,,,,2.86,42.42,,298.67,,,,,,,,,205.85,P06697,P06697,soil,mining,Liaoning,8,0,False,,
P06697_Mining-Transportation,153.9,,,73.04,166.43,122.16,,,,,,,2.62,42.49,,334.22,,,,,,,,,253.55,P06697,P06697,soil,mining,Liaoning,8,0,False,,
P06725_01,,,,,,,,,,,,0.93,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_02,,,,,,,,,,,,1.26,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_03,,,,,,,,,,,,0.86,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_04,,,,,,,,,,,,0.46,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_05,,,,,,,,,,,,0.31,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_06,,,,,,,,,,,,0.28,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_07,,,,,,,,,,,,0.38,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_08,,,,,,,,,,,,0.7,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_09,,,,,,,,,,,,0.82,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_10,,,,,,,,,,,,1.68,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_11,,,,,,,,,,,,1.79,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_12,,,,,,,,,,,,2.52,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_13,,,,,,,,,,,,4.14,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_14,,,,,,,,,,,,0.55,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_15,,,,,,,,,,,,0.63,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_16,,,,,,,,,,,,0.88,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_17,,,,,,,,,,,,2.27,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_18,,,,,,,,,,,,0.54,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_19,,,,,,,,,,,,0.85,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_20,,,,,,,,,,,,44.81,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P06725_21,,,,,,,,,,,,1.58,,,,,,,,,,,,,,P06725,P06725,soil,industrial,Jiangsu,0,1,False,,
P10228_R0,,2.89,,,,,,,,,,,,,,,,,7.51,3.49,,,,14.82,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_R1,,13.14,,,,,,,,,,,,,,,,,25.83,1.56,,,,19.19,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_R2,,4.01,,,,,,,,,,,,,,,,,,,,,,23.35,,P10228,P10228,soil,agricultural,Beijing,0,2,False,,
P10228_S1,,45.63,,,,,,,,,,,,,,,,,5.15,6.9,,,,297.02,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S2,,20.79,,,,,,,,,,,,,,,,,5.8,2.93,,,,156.5,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S3,,12.47,,,,,,,,,,,,,,,,,3.64,2.36,,,,61.01,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S4,,37.65,,,,,,,,,,,,,,,,,19.82,3.62,,,,80.72,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S5,,7.79,,,,,,,,,,,,,,,,,2.4,3.18,,,,39.95,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S6,,8.19,,,,,,,,,,,,,,,,,5.96,1.33,,,,44.24,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S7,,15.77,,,,,,,,,,,,,,,,,2.62,4.89,,,,57.89,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S8,,7.37,,,,,,,,,,,,,,,,,9.19,0.76,,,,36.09,,P10228,P10228,soil,agricultural,Beijing,0,4,False,,
P10228_S9,,,,,,,,,,,,,,,,,,,4.54,0.94,,,,5.14,,P10228,P10228,soil,agricultural,Beijing,0,3,False,,
P11353_D1,,,,,,,,,,,,,,,,,,,,,,,,409.82,,P11353,P11353,soil,mining,Shanxi,0,1,False,,
P11353_D6,,,,,,,,,,,,,,,,,,,,,,,,623.85,,P11353,P11353,soil,mining,Shanxi,0,1,False,,
P11353_H1,,,,,,,,,,,,,,,,,,,,,,,,35.77,,P11353,P11353,soil,mining,Shanxi,0,1,False,,
P11353_H5,,,,,,,,,,,,,,,,,,,,,,,,108.81,,P11353,P11353,soil,mining,Shanxi,0,1,False,,
