paper_id,level,stem,tbl_idx,n_rows,n_cols,title,category,has_unit,is_conc_titled,has_hm,has_op,is_hm_op,extract_status,extract_note
P00245,A,10_1007_s00244_019_00675_0,1,14,6,Table 2 Summary of OPFR concentrations in soils around the world,summary_conc,True,True,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P00408,A,10.1007_s10661-019-7476-2,0,11,10,Table 1 Distribution characteristics of heavy metals in Shanghai park green space and road,conc_like,True,False,True,False,False,no_pollutant_columns,无列可解析为污染物
P11023,A,2018_任毅_土壤_null,2,18,14,表3 水泥窑协同处置重金属最大允许投加量限值,summary_conc,True,False,True,False,False,no_data_rows,type=sample samples=0
P11023,A,2018_任毅_土壤_null,3,5,3,表4 硫、氟、氯投加量控制值,conc_like,True,False,False,False,False,no_header,未找到含污染物信号的表头行
P04669,A,2024_Lu Y et al_Unknown_null,0,7,14,Table 1. Basic information on soil hydrogeological condition.,summary_conc,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P01182,A,2023_Zhang D et al_Chemosphere_10.1016-j.chemosphere.2023.140288,0,26,6,Table 1,conc_like,True,False,True,True,True,no_data_rows,type=sample samples=0
P01595,A,2023_Hou Y et al_JHazardMater_10.1016-j.jhazmat.2023.130934,0,11,11,Table 1,summary_conc,True,False,True,True,True,no_data_rows,type=sample samples=0
P11424,A,2023_Wu J et al_SciTotalEnviron_null,0,30,13,Table 1,summary_conc,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P11439,A,2023_刘泽浩_土壤_null,1,2,8,表 2.1供试土壤基本理化性质,conc_like,True,False,True,False,False,skip_too_small,2x8
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,0,17,21,"dle and lower Yangtze River (Li et al., 2020) and the Yellow Sea in South Korea (Tian et a",summary_conc,True,False,True,False,False,ok_samples,"sample 1点, 2条, type=HM"
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,1,15,18,Note: N.D. stands for not detected or below the detection limit; SD is standard deviation;,conc_like,True,False,True,False,False,ok_samples,"sample 13点, 26条, type=HM"
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,2,31,14,Table 3,summary_conc,True,False,False,True,False,no_header,未找到含污染物信号的表头行
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,3,9,6,表4 清挖后的基坑监测结果,conc_like,True,False,False,True,False,no_pollutant_columns,无列可解析为污染物
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,3,7,7,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.,conc_like,True,False,False,True,False,ok_samples,"sample 5点, 5条, type=OP"
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,4,27,5,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a",sample_conc,True,True,False,True,False,ok_transposed,转置表 2污染物 × 4采样点 = 6条 family={'PAHs'}
P11365,A,2022_陈驰_Unknown_null,1,3,2,表1.2 有机污染场地修复实例,conc_like,True,False,False,True,False,no_data_rows,type=unknown samples=0
P11365,A,2022_陈驰_Unknown_null,4,7,2,Table1.4 Examples of remediation of common types of heavy metal contaminated sites,conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P11365,A,2022_陈驰_Unknown_null,6,2,6,Table2.1 Soil pollutants contents、physical and chemical properties,conc_like,True,False,True,False,False,skip_too_small,2x6
P11365,A,2022_陈驰_Unknown_null,14,3,6,Table5.1 Morphological composition of Cd-contaminated soil,conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P11365,A,2022_陈驰_Unknown_null,16,2,6,Table5.3 Bap critical concentration corresponding to thermal desorptionat different temper,sample_conc,True,True,True,False,False,skip_too_small,2x6
