paper_id,level,stem,tbl_idx,n_rows,n_cols,title,category,has_unit,is_conc_titled,has_hm,has_op,is_hm_op,extract_status,extract_note
P11254,A,2021_PAHs et al_EnvironPollut_null_from_sub,2,42,10,"s mainly originate from man-made sources (Da et al., 2013; Nozar et al., 2014; Chai et al.",summary_conc,True,False,True,True,True,no_data_rows,type=sample samples=0
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,4,7,7,Table 5. Leaching of toxic contaminants and the unconfined compressive strength (UCS) and ,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01301,A,10.1016_j.envpol.2017.08.003,0,9,11,Fig. 2. Unweighted Pair Group Method with Arithmetic mean (UPGMA) clustering based on phyl,conc_like,True,False,True,False,False,ok_samples,"sample 8点, 8条, type=HM"
P00630,A,10.1007_s11356-015-5249-1,1,10,8,Table 2 Descriptive statistical summary of heavy metals in soils from storage area,summary_conc,True,False,True,False,False,ok_summary,"summary Mean, 7条, type=HM"
P00753,A,2015_Chen R et al_JSoilsSediments_10.1007-s11368-015-1093-7,1,13,5,"Table 2 Mushroom yield (dry weight), total Cd accumulation, and the calculated BCFs in the",sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P06607,A,2012_Cao L et al_Science_null,3,6,9,Table 4,summary_conc,True,False,True,False,False,ok_summary,"summary Mean, 6条, type=HM"
P06607,A,2012_Cao L et al_Science_null,4,5,10,hancement is evident in the southeastern area near a big industrial site with a power plan,summary_conc,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P03082,A,2022_李怡佳_环境科学_10.13227-j.hjkx.202112006,3,10,5,2 2 8 9 \pm 0 . 0 1 4 9 \mathrm { a }$ </td><td> $1 . 7 8 1 0 \pm 0 . 0 2 7 1 \mathrm { a ,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00737,A,2010_Tang X et al_JSoilsSediments_10.1007-s11368-010-0252-0,3,22,7,Table 4 Means ± standard deviations of PCBs (μg/kg) and comparisons with those in referenc,summary_conc,True,True,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P00289,A,2006_Leung A et al_JMaterCyclesWasteManag_10.1007-s10163-005-0141-6,0,9,4,Table 1. Description of sampling sites,summary_conc,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P06949,A,2014_Ethers_EnvironHealth_10.1371-journal.pone.0113699,0,26,5,Table 1. Study Subjects Characteristics.,conc_like,True,False,True,True,True,ok_transposed,转置表 10污染物 × 4采样点 = 9条 family={'PBDEs'}
P06288,A,2009_Zhang H et al_IntJEnvironSciTechnol_null,0,14,6,Table 1: Pyrene contents in the roots and shoots of maize,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P06288,A,2009_Zhang H et al_IntJEnvironSciTechnol_null,1,14,8,Table 2: Cd concentration and accumulation in maize after 60 days culture,sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11024,B,2018_任毅等_土壤_null,2,18,14,表3 水泥窑协同处置重金属最大允许投加量限值,summary_conc,True,False,True,False,False,no_data_rows,type=sample samples=0
P11024,B,2018_任毅等_土壤_null,3,5,3,表4 硫、氟、氯投加量控制值,conc_like,True,False,False,False,False,no_header,未找到含污染物信号的表头行
P11353,B,2022_作者姓名_土壤_null,2,5,8,表 2.3重金属土壤环境参考值,conc_like,True,False,True,False,False,ok_samples,"sample 4点, 24条, type=HM"
P11353,B,2022_作者姓名_土壤_null,3,10,10,表2.4多环芳烃土壤环境参考值,conc_like,True,False,False,True,False,transposed_no_pollutant,转置表无可识别污染物行
P11448,B,2023_谢臣臣_Unknown_null,7,2,5,表3.6£16PAHs含量分级,sample_conc,True,True,False,True,False,skip_too_small,2x5
P03100,B,2023_李景铭_土壤_10.13292-j.1000-4890.202312.010_1,0,12,4,Table 1 Bacteria or fungi for bioremediation of PAHs and heavy metals co⁃contamination,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04324,B,10_3390_land13111798,2,9,12,"Table 2. Analysis methods (AM) and detection limits (DL) for PAHs, heavy metals, pH, N, Se",conc_like,True,False,True,True,True,transposed_no_pollutant,转置表无可识别污染物行
P04324,B,10_3390_land13111798,4,6,14,Table 3. Cont.,conc_like,True,False,True,False,False,ok_samples,"sample 3点, 15条, type=HM"
P09090,B,2024_Nie J et al_JEnvironChemEng_null,0,21,5,Table 1,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P09913,B,10_13292_j_1000_4890_202312_010,0,12,4,Table 1 Bacteria or fungi for bioremediation of PAHs and heavy metals co⁃contamination,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11450,B,2023_王晴_土壤_null,0,8,7,表1-1PAHs和HMs复合污染土壤研究现状,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11450,B,2023_王晴_土壤_null,6,9,5,表 2-3功能基因所用的引物和PCR条件,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11450,B,2023_王晴_土壤_null,11,5,3,表 5-1热强化作用下的实验方案,conc_like,True,False,False,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00829,B,2023_Apportionment IIS_Geomorphology_10.1007-s12403-023-00534-3,1,22,11,Table 2 PAHs and HMs in park soils worldwide,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04627,B,2023_Su Q_Toxics_10.3390-toxics11020143,0,7,2,Table 1. Basic soil physicochemical properties.,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P04815,B,2023_Hou D et al_JGeosciEnvironProt_10.4236-gep.2023.115017,2,6,9,Table 3. The statistical features of concentrations of heavy metals on suburban farmland i,summary_conc,True,True,True,False,False,no_pollutant_columns,无列可解析为污染物
P11368,B,2022_高康宁_Unknown_null,8,4,3,Table2-7 Concentration table of fluorene and pyrene in soil extracted by different extract,sample_conc,True,True,False,False,False,no_pollutant_columns,无列可解析为污染物
P11368,B,2022_高康宁_Unknown_null,14,4,7,Table3-3 Table of fiting parameters for adsorption kinetics of heavy metals in soil soluti,conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P11543,B,2024_于颖_Unknown_null,4,8,9,表2HMs 和PAHs 的毒性参数推荐值,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P03102,B,2024_廉梅花_土壤_10.13292-j.1000-4890.202409.030_1,0,11,10,Table 1 Contamination of heavy metals and PAHs in soil samples collected from different si,summary_conc,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11359,B,2022_易盛炜_Unknown_null,3,4,10,Table 4-1 Soil for the experiment.,conc_like,True,False,True,False,False,ok_samples,"sample 2点, 2条, type=HM"
P11362,B,2022_赵燊炜_Unknown_null,3,14,3,Table 2.4 Effects Range-Low and Effects Range-Median Values for Polycyclic Aromatic Hydroc,conc_like,True,False,False,True,False,no_data_rows,type=sample samples=0
P11362,B,2022_赵燊炜_Unknown_null,9,7,7,"Table 3.3 Dry weight of plant roots, leaves in different groups after phytoremediation",sample_conc,True,True,False,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11362,B,2022_赵燊炜_Unknown_null,21,4,4,"Table 5.1 Dry weight of plant roots, leaves in different groups",sample_conc,True,True,False,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11362,B,2022_赵燊炜_Unknown_null,22,4,7,Table 5.2 Cr and As concentrations in plants,sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11362,B,2022_赵燊炜_Unknown_null,26,4,5,Table 5.6 Fresh and dry weight of plants and concentration of Cr and As in plants,sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01360,B,10.1016_j.envpol.2020.116038,2,42,10,"s mainly originate from man-made sources (Da et al., 2013; Nozar et al., 2014; Chai et al.",summary_conc,True,False,True,True,True,no_data_rows,type=sample samples=0
P01795,B,10.1016_j.scitotenv.2021.146282,0,13,11,"RDA was performed to quantify the influence of environmental variables, including soil phy",conc_like,True,False,True,True,True,no_pollutant_columns,无列可解析为污染物
P01795,B,10.1016_j.scitotenv.2021.146282,1,53,4,"odules II and III may be associated with the degradation of PAHs and PBDEs. Similarly, mod",conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P02763,B,2021_Zhao S et al_EnvironEngSci_10.1089-ees.2020.0416,0,14,4,Table 1. Effects Range-Low and Effects Range-Median Values for Polycyclic Aromatic Hydroca,conc_like,True,False,False,True,False,ok_transposed,转置表 1污染物 × 2采样点 = 2条 family={'PAHs'}
P02763,B,2021_Zhao S et al_EnvironEngSci_10.1089-ees.2020.0416,1,21,4,Table 2. Total Concentration of Polycyclic Aromatic Hydrocarbon in Soil Samples,sample_conc,True,True,False,True,False,ok_samples,"sample 20点, 20条, type=OP"
P03279,B,2013_赵颖_环境科学_10.16258-j.cnki.1674-5906.2013.07.022,3,12,5,Table 4 The content of available As and total As in soil,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P08598,B,2021_Xie T et al_SciTotalEnviron_null,2,9,16,"samples were situated between the warning limit boundaries for single pollution indexes, w",summary_conc,True,False,True,False,False,ok_summary,"summary Mean, 0条, type=HM"
P11294,B,2021_李敏_Unknown_null,5,14,6,Table 4-2 Design of remediation treatments for contaminated soil,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11447,B,2023_毛_Unknown_null,6,16,4,Table 3-1 Soil Sample Analysis and Testing Methods,conc_like,True,False,False,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11447,B,2023_毛_Unknown_null,7,10,8,Table 3-2 Statistical Table of Soil Samples Exceeding the Standard in the Detailed Investi,summary_conc,True,False,True,True,True,no_pollutant_columns,无列可解析为污染物
P11447,B,2023_毛_Unknown_null,8,5,8,续表3-2 地块详细调查阶段土壤样品超标统计表 | Continued Table 3-2 Statistical Table of Soil Samples Exceeding ,summary_conc,True,False,True,False,False,no_pollutant_columns,无列可解析为污染物
P11447,B,2023_毛_Unknown_null,17,6,5,Table 4-9 Statistics of concentration of soil pollutants of concern,summary_conc,True,True,True,False,False,no_header,未找到含污染物信号的表头行
P11447,B,2023_毛_Unknown_null,18,2,5,Table 4-9 Statistics of concentration of soil pollutants of concern,summary_conc,True,True,False,False,False,skip_too_small,2x5
P00707,B,2020_Liu X et al_EnvironSciPollutRes_10.1007-s11356-020-09934-3,0,14,4,Table 1 Physicochemical properties of rhizosphere soil,conc_like,True,False,False,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01223,B,2020_Lietal_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2020.111083,0,21,5,"hrm { C r } ^ { 6 + } \mathrm { Z n } ,$ , Cu, Pb, Ni, Mo and TPH; water-soluble contents ",conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P00217,B,2013_Contamination BE_BullEnvironContamToxicol_10.1007-s00128-018-2330-8,0,12,8,"Table 1 The concentrations of heavy metal, radionuclide and OCS of analyzed soil samples (",sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01127,B,2018_Wangetal_Chemosphere_10.1016-j.chemosphere.2018.06.177,0,19,8,"Table 1 PAH concentrations in fly ash, HW, SS, and $\mathsf { P M } _ { 2 }$ 5",sample_conc,True,True,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01127,B,2018_Wangetal_Chemosphere_10.1016-j.chemosphere.2018.06.177,1,14,8,Table 2 Heavy metal concentrations in sampling soils,summary_conc,True,True,True,False,False,no_pollutant_columns,无列可解析为污染物
P04074,B,2018_Lv D et al_EnvironRes_10.3390-ijerph15040698,0,29,4,Table 1. Polycyclic aromatic hydrocarbons and heavy metals concentrations in raw materials,sample_conc,True,True,True,False,False,ok_transposed,转置表 9污染物 × 3采样点 = 27条 family={'HM'}
P11136,B,2020_Li Q et al_EcotoxicolEnvironSaf_null,0,21,5,"hrm { C r } ^ { 6 + } \mathrm { Z n } ,$ , Cu, Pb, Ni, Mo and TPH; water-soluble contents ",conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P11293,B,2021_土壤中_土壤_null,0,14,8,Table 2.1 Current situation of PAHs-heavy metal co-contaminated soils,conc_like,True,False,True,True,True,no_pollutant_columns,无列可解析为污染物
P11293,B,2021_土壤中_土壤_null,8,5,5,Table 3.5Recovery of PAHs by soxhlet extraction and ultrasonic extraction,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P00764,B,2017_Wang Y et al_JSoilsSediments_10.1007-s11368-017-1762-9,2,6,2,Table 2 Basic properties of the untreated soil used for pot experiment before planting mus,conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P01102,B,10.1016_j.chemosphere.2016.12.047,0,17,7,"Table 1. Nitrogen, Phosphorous and salt concentrations in greenhouse vegetable soils (GS),",sample_conc,True,True,True,False,False,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01102,B,10.1016_j.chemosphere.2016.12.047,1,3,5,50</td><td>1750</td><td></td><td></td></tr><tr><td>OFWS NS</td><td>147</td><td>1280</td><t,conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P00643,B,10.1007_s11356-016-6462-2,0,7,7,"## Quality control and quality assurance | Replicates, reagent blanks, and a standard refe",conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P00643,B,10.1007_s11356-016-6462-2,2,20,11,} K }$ contents in solar greenhouses were relative high and all above the vegetable soil n,summary_conc,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00643,B,10.1007_s11356-016-6462-2,4,21,18,"The concentration of Pb was not very high than other heavy metals, suggesting a slight con",summary_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00650,B,2016_Hu S et al_EnvironSciPollutRes_10.1007-s11356-016-6701-6,0,4,5,Table 1 Experimental design testing combined chromium(VI) and phenanthrene pollution,conc_like,True,False,False,False,False,transposed_no_pollutant,转置表无可识别污染物行
P01993,B,2015_Liu J et al_EnvironSciTechnol_10.1021-es5049804,0,14,14,Table 1 Physiochemical characteristics and total PCB s and PBDEs contents of the e-waste c,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P03165,B,2015_Wan J et al_Land_10.1371-journal.pone.0129978,0,13,3,Table 1. Physiochemical properties of the tested soil.,conc_like,True,False,True,False,False,no_header,未找到含污染物信号的表头行
P03328,B,2024_顾赟之_皮革制作与环保科技_10.20025-j.cnki.CN10-1679.2024-22-42,0,5,4,表1　检测方法,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P03328,B,2024_顾赟之_皮革制作与环保科技_10.20025-j.cnki.CN10-1679.2024-22-42,1,5,5,表2　土壤污染监测指标超标情况,summary_conc,True,False,False,True,False,no_pollutant_columns,无列可解析为污染物
P03328,B,2024_顾赟之_皮革制作与环保科技_10.20025-j.cnki.CN10-1679.2024-22-42,4,5,5,表5　土壤生物修复后结果,summary_conc,True,False,False,True,False,no_pollutant_columns,无列可解析为污染物
P11554,B,2024_梁文煦_Unknown_null,4,9,2,表 2.3 降解中间体的毒理学数据,conc_like,True,False,False,False,False,no_header,未找到含污染物信号的表头行
P01532,B,2013_Dong Z et al_JHazardMater_10.1016-j.jhazmat.2013.05.003,0,24,2,## Table 1 | Characteristics of the soil used for the experiments.,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P06121,B,2008_Peng C et al_EnvironPollut_null,0,7,15,"## Table 1 | Statistical description of PAHs, heavy metals, and soil properties.",summary_conc,True,False,True,True,True,ok_summary,"summary Mean, 7条, type=HM_OP"
P06840,B,2013_Peng C et al_EnvironPollut_null,0,7,15,"## Table 1 | Statistical description of PAHs, heavy metals, and soil properties.",summary_conc,True,False,True,True,True,ok_summary,"summary Mean, 7条, type=HM_OP"
P06898,B,2013_Zhong M et al_EnvironPollut_null,2,40,9,Table 3.Statistic variants of the analytical results.,conc_like,True,False,False,False,False,no_pollutant_columns,无列可解析为污染物
P00742,B,2012_Wang K et al_JSoilsSediments_10.1007-s11368-012-0471-7,0,20,2,Table 1 Selected physicochemical properties of the soil in this study,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P01428,B,2012_Cui C et al_EnvironToxicol_10.1016-j.etap.2012.05.009,0,9,11,1 TAE running buffer and visualized under UV in a Gel Doc 2000 (Bio-Rad). | DGGE bands wer,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P02268,B,10_1039_c2em30433c,1,12,6,Table 2 PAH concentration in soils compared to other studies in the world,summary_conc,True,True,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11676,B,2014_英文并_土壤_null,0,12,6,表2-1部分地区PAHs污染情况,summary_conc,True,False,False,True,False,no_data_rows,type=sample samples=0
P11676,B,2014_英文并_土壤_null,5,30,5,Table 4-2 Dry weight of the root、stem and leaf of sorghum×sudan grass,sample_conc,True,True,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,10,32,5,表4-7玉米根茎叶干重,sample_conc,True,True,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,15,31,4,表 4-12 黑麦草根及茎叶干重,sample_conc,True,True,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,20,4,4,Table4-17 Effects of diferent pollution treatment on the leaf pigments of sorghum×sudan gr,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,22,29,5,Table 4-18 Effects of different pollution treatment on the leaf pigments of Zea mays.L,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,23,29,5,Table 4-19 Effects of different pollution treatment on the leaf pigments of Ryegrass,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,24,18,5,Table5-1 Cu contents in sorghum×sudan grass under diferent treatments （mg·kg-）,sample_conc,True,True,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,25,19,5,Table5-2 Cu contents in Zea mays.L under different treatments (mg·kg-'),sample_conc,True,True,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,26,5,3,Table5-3 Cu contents in Ryegrass under different treatments (mg·kg-1),sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,28,19,5,Table5-4 Cd contents in sorghum×sudan grass under different treatments,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,29,6,4,Table5-5 Cd contents in Zea mays.L under different treatments (mg·kg-'）,sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11676,B,2014_英文并_土壤_null,31,19,4,Table5-6 Cd contents in Ryegras under different treatments (mg:kg-'）,conc_like,True,False,True,True,True,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11191,B,2020_李婷_环境科学_null,21,6,2,Table 3-16 Classification of PAH pollution levels,conc_like,True,False,True,True,True,ok_samples,"sample 4点, 2条, type=OP"
P00242,B,2011_Lopez B N et al_ArchEnvironContamToxicol_10.1007-s00244-010-9590-6,4,12,6,Table 5 Total heavy metal concentrations and quality guidelines for agricultural soil (mg/,sample_conc,True,True,True,False,False,ok_samples,"sample 11点, 30条, type=HM"
P00242,B,2011_Lopez B N et al_ArchEnvironContamToxicol_10.1007-s00244-010-9590-6,6,11,8,Table 7 Comparison of total heavy metal concentrations between this study and other studie,summary_conc,True,True,True,False,False,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01524,B,2010_Tangetal_JHazardMater_10.1016-j.jhazmat.2009.08.134,1,20,9,"s metal pollutant in Wenling area, with the Hg contents exceeding the Grade II value (0.3 ",summary_conc,True,True,True,False,False,ok_samples,"sample 18点, 67条, type=HM"
P10441,B,2009_Zhang H. et al_IntJEnvironSciTechnol_null,0,14,6,Table 1: Pyrene contents in the roots and shoots of maize,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P10441,B,2009_Zhang H. et al_IntJEnvironSciTechnol_null,1,14,8,Table 2: Cd concentration and accumulation in maize after 60 days culture,sample_conc,True,True,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P03281,B,2024_重金属_Science_10.16258-j.cnki.1674-5906.2024.12.011_1,0,21,2,Table 1 Basic physicochemical properties of the tested soil,conc_like,True,False,True,True,True,no_header,未找到含污染物信号的表头行
P10369,B,2008_Khan S et al_JHazardMater_null,0,34,6,"ast 12 h, respectively, and then kept in a desiccator. Ten grams of freezedried soil and p",conc_like,True,False,True,True,True,ok_transposed,"转置表 7污染物 × 5采样点 = 25条 family={'PAHs', 'HM'}"
P01083,B,2006_Gao Y et al_Chemosphere_10.1016-j.chemosphere.2006.04.030,0,13,5,which may be analogous to rubbery and glassy states of polymers. Rubbery states of humic s,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P10229,B,2005_Chen Y et al_EnvironInt_null,0,17,8,of suspended matter containing PAHs and adsorption of dissolved PAHs. Main components of P,conc_like,True,False,True,True,True,ok_samples,"sample 16点, 12条, type=OP"
P10229,B,2005_Chen Y et al_EnvironInt_null,1,2,11,Table 2,conc_like,True,False,False,True,False,skip_too_small,2x11
P10229,B,2005_Chen Y et al_EnvironInt_null,3,15,6,Table 4,conc_like,True,False,False,True,False,ok_samples,"sample 14点, 22条, type=OP"
P01075,B,10_1016_j_chemosphere_2004_08_070,4,8,8,Table 5,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P10188,B,2004_Chen Y X et al_PlantSoil_null,0,3,8,Table 1. Selected soil characteristics,conc_like,True,False,True,False,False,ok_samples,"sample 2点, 4条, type=HM"
P10188,B,2004_Chen Y X et al_PlantSoil_null,2,5,7,Table 3. Growth and heavy metal accumulation of ryegrass seedling in the presence and abse,conc_like,True,False,True,False,False,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P09271,B,2025_Cheng T et al_JWaterProcessEng_null,0,8,5,"nts in China reached 5858.34 ng/g, which is 40 times greater than the concentration of 147",sample_conc,True,True,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P09271,B,2025_Cheng T et al_JWaterProcessEng_null,1,5,5,## Table 2 | Immobilized biochar materials.,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P09271,B,2025_Cheng T et al_JWaterProcessEng_null,4,50,8,Table 5,conc_like,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01583,B,2021_Lin S et al_EnvironPollut_10.1016-j.jhazmat.2021.127792_1,0,63,6,Table 1,summary_conc,True,False,True,True,True,reject_reference_compilation,"有 References 列, 二手文献对比表"
