paper_id,level,stem,md_exists,n_html_tables,n_tr_rows,has_html_table,n_images,si_dir_exists,n_si_pdfs,total_md_lines,extract_strategy
P11528,B,2024_Unknown_土壤_null,True,20,200,True,3,False,0,1183,html_table
P00829,B,2023_Apportionment IIS_Geomorphology_10.1007-s12403-023-00534-3,True,2,51,True,40,False,0,565,html_table
P01484,B,10.1016_j.jclepro.2022.135380,True,1,8,True,15,True,0,274,html_table
P01826,B,10.1016_j.scitotenv.2022.160637,True,2,56,True,12,True,0,397,html_table
P03062,B,2023_史鹏飞_环境科学_10.12153-j.issn.1674-991X.20220841,True,0,0,False,5,False,0,238,figure_only
P03123,B,2021_王汉宇_环境科学_10.13671-j.hjkxxb.2021.0531,True,0,0,False,25,False,0,307,figure_only
P04627,B,2023_Su Q_Toxics_10.3390-toxics11020143,True,4,37,True,25,False,0,297,html_table
P04815,B,2023_Hou D et al_JGeosciEnvironProt_10.4236-gep.2023.115017,True,6,48,True,21,False,0,296,html_table
P08800,B,2023_Cui X et al_SciTotalEnviron_null_1,True,0,0,False,2,False,0,36,figure_only
P09183,B,2024_Xie X et al_EcotoxicolEnvironSaf_null,True,3,71,True,20,False,0,323,html_table
P11185,B,2020_孙超男_Unknown_null,True,17,133,True,141,False,0,1386,html_table
P11360,B,2022_李程_Unknown_null,True,12,198,True,84,False,0,1434,html_table
P11368,B,2022_高康宁_Unknown_null,True,19,123,True,99,False,0,1555,html_table
P11421,B,2023_Unknown_SciTotalEnviron_null,True,2,56,True,14,False,0,397,html_table
P11543,B,2024_于颖_Unknown_null,True,17,268,True,72,False,0,1056,html_table
P00353,B,10_1007_s10653_022_01306_9,True,1,15,True,26,False,0,360,html_table
P00418,B,2023_Lu Y et al_EnvironMonitAssess_10.1007-s10661-022-10747-9,True,2,21,True,27,True,0,295,html_table
P01174,B,10.1016_j.chemosphere.2022.136084,True,0,0,False,7,True,0,39,figure_only
P01384,B,10.1016_j.envpol.2022.118925,True,0,0,False,37,True,0,373,figure_only
P01584,B,2022_Wang P et al_JHazardMater_10.1016-j.jhazmat.2022.128301,True,0,0,False,2,False,0,44,figure_only
P01589,B,10.1016_j.jhazmat.2022.129338,True,0,0,False,23,True,0,47,figure_only
P01880,B,2022_Jiang L et al_EnvironPollut_10.1016-j.soilbio.2022.108726_1,True,0,0,False,1,False,0,35,figure_only
P02156,B,10_1038_s41598_022_07577_7,True,8,64,True,38,False,0,411,html_table
P03102,B,2024_廉梅花_土壤_10.13292-j.1000-4890.202409.030_1,True,3,37,True,3,False,0,289,html_table
P03104,B,2025_摘要_土壤_10.13338-j.issn.1674-649x.2025.03.012,True,4,32,True,25,False,0,394,html_table
P03345,B,2022_Lu Y et al_Unknown_10.21203-rs.3.rs-1769519-v1,True,2,24,True,6,False,0,285,html_table
P05165,B,2022_Gao AJ et al_Environments_10.1016-j.chemosphere.2022.133654_2,True,2,12,True,12,True,0,319,html_table
P08696,B,2022_Liang T et al_SciTotalEnviron_null_1,True,0,0,False,2,False,0,52,figure_only
P08774,B,2022_Yi S et al_JHazardMater_null,True,1,9,True,27,False,0,330,html_table
P11319,B,2022_Jiao A et al_Chemosphere_null_1,True,2,12,True,12,False,0,319,html_table
P11359,B,2022_易盛炜_Unknown_null,True,4,39,True,89,False,0,980,html_table
P11362,B,2022_赵燊炜_Unknown_null,True,27,305,True,106,False,0,1861,html_table
P00303,B,2021_Zhang T et al_Ecotoxicology_10.1007-s10646-020-02320-2,True,3,65,True,17,False,0,347,html_table
P00720,B,2018_Tian W et al_Nature_10.1007-s11356-021-15781-7,True,6,44,True,32,False,0,388,html_table
P01360,B,10.1016_j.envpol.2020.116038,True,3,56,True,20,True,0,376,html_table
P01364,B,10.1016_j.envpol.2021.116518,True,1,9,True,31,True,0,444,html_table
P01370,B,2021_Liu Q et al_EnvironPollut_10.1016-j.envpol.2021.117191,True,0,0,False,21,False,0,303,figure_only
P01793,B,2021_Xie T et al_SciTotalEnviron_10.1016-j.scitotenv.2021.146263,True,0,0,False,2,False,0,46,figure_only
P01795,B,10.1016_j.scitotenv.2021.146282,True,2,66,True,12,True,0,339,html_table
P02402,B,2021_Wang D et al_EnvironTechnol_10.1080-09593330.2021.1946163,True,2,28,True,21,False,0,326,html_table
P02763,B,2021_Zhao S et al_EnvironEngSci_10.1089-ees.2020.0416,True,3,60,True,10,False,0,269,html_table
P03279,B,2013_赵颖_环境科学_10.16258-j.cnki.1674-5906.2013.07.022,True,4,47,True,7,False,0,192,html_table
P03319,B,2021_车凯_环境科学_10.19672-j.cnki.1003-6504.2021.S1.019_1,True,4,39,True,13,False,0,184,html_table
P04359,B,2021_Wang X et al_Science_10.3390-microorganisms9071417,True,0,0,False,16,False,0,282,figure_only
