n_tables,max_rows,sample_tables,best_sample_signals,paper_id,stem
4,23,0,0,P01404,10.1016_j.envpol.2025.126365
20,25,0,0,P01422,10.1016_j.envres.2025.122748
8,18,0,0,P01630,2024_Chen L et al_JHazardMater_10.1016-j.jhazmat.2024.136500
0,0,0,0,P01641,10.1016_j.jhazmat.2025.139303
1,16,0,0,P01868,10.1016_j.scitotenv.2025.178384
5,18,0,0,P01244,10.1016_j.ecoenv.2024.116927
10,35,0,0,P01245,2024_Xie X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2024.116965
2,17,0,0,P01420,10.1016_j.envres.2024.118642
18,247,0,0,P01619,10.1016_j.jhazmat.2024.135547
1,17,0,0,P01624,10.1016_j.jhazmat.2024.136315
4,385,0,0,P01625,10.1016_j.jhazmat.2024.136372
3,45,1,43,P01670,10.1016_j.pedsph.2023.01.012
3,37,0,0,P01674,10.1016_j.pedsph.2023.06.001
4,37,0,0,P01414,10.1016_j.envres.2023.115616
5,28,0,0,P01484,10.1016_j.jclepro.2022.135380
5,26,0,0,P01595,2023_Hou Y et al_JHazardMater_10.1016-j.jhazmat.2023.130934
3,37,0,0,P01603,10.1016_j.jhazmat.2023.132408
18,67,2,17,P01836,10.1016_j.scitotenv.2023.167337
2,18,0,0,P01382,10.1016_j.envpol.2022.118813
13,23,0,0,P01383,10.1016_j.envpol.2022.118816
10,31,0,0,P01384,10.1016_j.envpol.2022.118925
2,26,0,0,P01587,2022_Wang X et al_EnvironPollut_10.1016-j.jhazmat.2022.129727
0,0,0,0,P01589,10.1016_j.jhazmat.2022.129338
1,6,0,0,P05165,2022_Gao AJ et al_Environments_10.1016-j.chemosphere.2022.133654_2
1,2,0,0,P01360,10.1016_j.envpol.2020.116038
4,21,0,0,P01364,10.1016_j.envpol.2021.116518
6,66,0,0,P01795,10.1016_j.scitotenv.2021.146282
3,10,1,9,P01797,10.1016_j.scitotenv.2021.146502
4,33,0,0,P03756,10.3389_fchem.2021.691565
2,8,0,0,P00710,10.1007_s11356-020-11229-6
8,23,0,0,P01219,10.1016_j.ecoenv.2020.110651
4,40,0,0,P01338,10.1016_j.envpol.2020.114075
2,16,0,0,P01559,10.1016_j.jhazmat.2020.122425
2,15,0,0,P00408,10.1007_s10661-019-7476-2
6,26,0,0,P01547,2018_Wuetal_JHazardMater_10.1016-j.jhazmat.2018.09.094
12,28,0,0,P01119,2018_Wu J et al_Chemosphere_10.1016-j.chemosphere.2018.02.039
2,38,0,0,P01542,10.1016_j.jhazmat.2018.07.075
8,14,0,0,P01301,10.1016_j.envpol.2017.08.003
5,33,0,0,P00643,10.1007_s11356-016-6462-2
2,10,0,0,P00761,10.1007_s11368-015-1341-x
0,0,0,0,P01241,10.1016_j.ecoenv.2023.115052
0,0,0,0,P01167,10.1016_j.chemosphere.2021.132259
2,40,0,0,P01227,10.1016_j.ecoenv.2020.111756
0,0,0,0,P01551,10.1016_j.jhazmat.2019.121763
6,43,0,0,P00671,10.1007_s11356-017-8467-x
9,21,0,0,P01256,2026_Wang M et al_Water_10.1016-j.eehl.2026.100230
4,27,0,0,P01268,10.1016_j.envint.2020.106162
4,32,0,0,P01248,10.1016_j.ecoenv.2026.119865
13,20,0,0,P01644,10.1016_j.jhazmat.2025.140371
6,15,0,0,P01855,10.1016_j.scitotenv.2024.173385
7,31,1,10,P01267,2014_Lu Yonglong et al_EnvironInt_10.1016-j.envint.2014.12.010
7,130,0,0,P01249,10.1016_j.ecoenv.2025.118925
2,25,0,0,P01482,2022_Zhang Z et al_JCleanProd_10.1016-j.jclepro.2022.135417
3,6,0,0,P02963,10.1186_1471-2431-14-82
