paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P06587,R1-E9,Sum_PAH_ngg,2024.48,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R1-E9,BaP_ngg,116.58,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R1-E10,Sum_PAH_ngg,594.35,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R1-E10,BaP_ngg,21.89,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R2-E6,Sum_PAH_ngg,2258.59,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R2-E6,BaP_ngg,89.63,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R2-E7,Sum_PAH_ngg,654.5,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R2-E7,BaP_ngg,16.11,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R2-E8,Sum_PAH_ngg,67.16,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R2-E8,BaP_ngg,1.59,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R3-E1,Sum_PAH_ngg,4766.33,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R3-E1,BaP_ngg,231.09,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R3-E2,Sum_PAH_ngg,364.25,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R3-E2,BaP_ngg,10.67,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R3-E3,Sum_PAH_ngg,183.77,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R3-E3,BaP_ngg,4.154,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R3-E4,Sum_PAH_ngg,134.76,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R3-E4,BaP_ngg,3.28,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,R3-E5,Sum_PAH_ngg,105.37,ng/g,Table 1,sediment,e_waste,Guangdong,16 EPA PAH单体求和(Nap+Acy+Ace+Flu+Ph+An+Flt+Pyr+BaA+Chyr+BbF+BkF+BaP+DiahA+BghiP+InP);均值(SD前值)
P06587,R3-E5,BaP_ngg,1.74,ng/g,Table 1,sediment,e_waste,Guangdong,Table1 BaP列直接读取;均值取SD前值
P06587,S1,Sum_PAH_ngg,5962.55,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);e-waste storage
P06587,S1,BaP_ngg,182.6,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);e-waste storage
P06587,S2,Sum_PAH_ngg,327.16,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);e-waste storage only for plastics
P06587,S2,BaP_ngg,4.3,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);e-waste storage only for plastics
P06587,S3,Sum_PAH_ngg,924.57,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);storage for copiers and printer axles
P06587,S3,BaP_ngg,76.8,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);storage for copiers and printer axles
P06587,S4,Sum_PAH_ngg,739.58,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);plastic shredding workshop
P06587,S4,BaP_ngg,6.22,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);plastic shredding workshop
P06587,S5,Sum_PAH_ngg,10083.86,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);residues after open burning
P06587,S5,BaP_ngg,732.24,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);residues after open burning
P06587,S6,Sum_PAH_ngg,294.9,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);rice fields near open burning site
P06587,S6,BaP_ngg,2.11,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);rice fields near open burning site
P06587,S7,Sum_PAH_ngg,425.45,ng/g,Table 2,soil,e_waste,Guangdong,Table2 Σ16PAHs行直接读取(均值取SD前值);soil site S7 (unexplained in Methods sampling section)
P06587,S7,BaP_ngg,6.72,ng/g,Table 2,soil,e_waste,Guangdong,Table2 BaP行直接读取(均值取SD前值);soil site S7 (unexplained in Methods sampling section)
