group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
GEE_gee_elevation_m,9.6e-05,9.595909408700763e-05,1,['x_proxy_gee_gee_elevation_m'],positive,0.00031,proxy_signal
GEE_gee_temp_mean_c,9.1e-05,8.559300004912685e-05,1,['x_proxy_gee_gee_temp_mean_c'],positive,0.000292,proxy_signal
GEE_gee_aspect_deg,7.1e-05,7.049805088906449e-05,1,['x_proxy_gee_gee_aspect_deg'],positive,0.00023,proxy_signal
GEE_gee_slope_deg,6.5e-05,5.976531784558419e-05,1,['x_proxy_gee_gee_slope_deg'],positive,0.00021,proxy_signal
GEE_gee_silt_pct,3.5e-05,3.4682189670365444e-05,1,['x_proxy_gee_gee_silt_pct'],positive,0.000113,proxy_signal
GEE_gee_ndvi,3.5e-05,8.655027150742649e-06,1,['x_proxy_gee_gee_ndvi'],positive,0.000112,proxy_signal
GEE_gee_precip_annual_mm,2.7e-05,2.7376354039129563e-05,1,['x_proxy_gee_gee_precip_annual_mm'],positive,8.8e-05,proxy_signal
GEE_gee_bulk_density_g_cm3,1.9e-05,6.166363008561668e-06,1,['x_proxy_gee_gee_bulk_density_g_cm3'],positive,6.1e-05,proxy_signal
GEE_gee_cec_cmol_kg,1.9e-05,1.8028058207438978e-05,1,['x_proxy_gee_gee_cec_cmol_kg'],positive,6e-05,proxy_signal
GEE_gee_clay_pct,1.8e-05,1.835050710891626e-05,1,['x_proxy_gee_gee_clay_pct'],positive,5.9e-05,proxy_signal
GEE_gee_sand_pct,1.7e-05,1.659881781922424e-05,1,['x_proxy_gee_gee_sand_pct'],positive,5.4e-05,proxy_signal
GEE_gee_nitrogen_g_kg,1.4e-05,1.6903361214907054e-06,1,['x_proxy_gee_gee_nitrogen_g_kg'],positive,4.5e-05,proxy_signal
GEE_gee_soil_pH,1.3e-05,1.0947174082162135e-05,1,['x_proxy_gee_gee_soil_pH'],positive,4.1e-05,proxy_signal
GEE_gee_soc_g_kg,1.2e-05,1.2270613478787814e-05,1,['x_proxy_gee_gee_soc_g_kg'],positive,4e-05,proxy_signal
