group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
GEE_gee_soc_g_kg,0.000872,0.0008716634133642971,1,['x_proxy_gee_gee_soc_g_kg'],positive,0.002713,proxy_signal
GEE_gee_elevation_m,2.1e-05,2.0602193272881315e-05,1,['x_proxy_gee_gee_elevation_m'],positive,6.5e-05,proxy_signal
GEE_gee_temp_mean_c,1.9e-05,9.818270632180984e-06,1,['x_proxy_gee_gee_temp_mean_c'],positive,6e-05,proxy_signal
GEE_gee_aspect_deg,1.1e-05,-8.033058420715188e-06,1,['x_proxy_gee_gee_aspect_deg'],negative,3.3e-05,proxy_signal
GEE_gee_soil_pH,4e-06,3.285645022270787e-06,1,['x_proxy_gee_gee_soil_pH'],positive,1.3e-05,proxy_signal
GEE_gee_precip_annual_mm,4e-06,3.72199720755734e-06,1,['x_proxy_gee_gee_precip_annual_mm'],positive,1.2e-05,proxy_signal
GEE_gee_slope_deg,2e-06,3.63933926070635e-07,1,['x_proxy_gee_gee_slope_deg'],positive,7e-06,proxy_signal
GEE_gee_ndvi,2e-06,7.009642224611624e-07,1,['x_proxy_gee_gee_ndvi'],positive,5e-06,proxy_signal
GEE_gee_sand_pct,0.0,0.0,1,['x_proxy_gee_gee_sand_pct'],positive,0.0,proxy_signal
GEE_gee_silt_pct,0.0,0.0,1,['x_proxy_gee_gee_silt_pct'],positive,0.0,proxy_signal
GEE_gee_cec_cmol_kg,0.0,0.0,1,['x_proxy_gee_gee_cec_cmol_kg'],positive,0.0,proxy_signal
GEE_gee_bulk_density_g_cm3,0.0,0.0,1,['x_proxy_gee_gee_bulk_density_g_cm3'],positive,0.0,proxy_signal
GEE_gee_clay_pct,0.0,0.0,1,['x_proxy_gee_gee_clay_pct'],positive,0.0,proxy_signal
GEE_gee_nitrogen_g_kg,0.0,0.0,1,['x_proxy_gee_gee_nitrogen_g_kg'],positive,0.0,proxy_signal
