group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
PAHs_total(族群),1e-06,-3.467165199616052e-07,1,['x_family_PAHs_total'],negative,2e-06,family_contribution
PCBs_total(族群),0.0,1.7597355574340684e-07,1,['x_family_PCBs_total'],positive,1e-06,family_contribution
PAEs_total(族群),0.0,0.0,1,['x_family_PAEs_total'],positive,0.0,family_contribution
PBDEs_total(族群),0.0,0.0,1,['x_family_PBDEs_total'],positive,0.0,family_contribution
PFAS_total(族群),0.0,0.0,1,['x_family_PFAS_total'],positive,0.0,family_contribution
