group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
PAHs_total(族群),2e-06,4.3246731252660266e-07,1,['x_family_PAHs_total'],positive,7e-06,family_contribution
PBDEs_total(族群),1e-06,-6.835969366123233e-07,1,['x_family_PBDEs_total'],negative,3e-06,family_contribution
PCBs_total(族群),0.0,-1.732558192784958e-07,1,['x_family_PCBs_total'],negative,1e-06,family_contribution
PAEs_total(族群),0.0,0.0,1,['x_family_PAEs_total'],positive,0.0,family_contribution
PFAS_total(族群),0.0,0.0,1,['x_family_PFAS_total'],positive,0.0,family_contribution
