factor_id,factor_name_norm,production_applicable,ecology_applicable,production_formal_diagnosis,ecology_formal_diagnosis,production_supplementary_screening,ecology_supplementary_screening,production_recommend_supplementary_test,ecology_recommend_supplementary_test,basis,notes
1,SoilBD_gcm3,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
,1112-四氯乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,112-三氯乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,1122-四氯乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,12-二氯丙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,12-二氯乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,123-三氯丙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,12-二溴乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,111-三氯乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,12-二氯苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
68,钴,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
70,钒,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
44,Cr6_mgkg,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
42,Cr_mgkg,1,1,True,True,0,0,0,0,土壤环境质量农用土壤污染风险管控标准GB15618-2018,
66,铍,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,11-二氯乙烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,11-二氯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
64,锑,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,14-二氯苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
92,二氯甲烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
120,乙苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
106,三氯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
196,七氯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
152,一溴二氯甲烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
156,二溴氯甲烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
160,六氯环戊二烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
170,五氯酚,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,二苯并[ah]蒽,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,33'445-五氯联苯(PCB126),1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,24-二硝基酚,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,24-二硝基甲苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,24-二氯酚,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
134,2-氯酚,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,246-三氯酚,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,33'44'55-六氯联苯(PCB169),1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,33'-二氯联苯胺,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
52,Pb_mgkg,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
36,As_mgkg,1,1,True,True,0,0,0,0,土壤环境质量农用土壤污染风险管控标准GB15618-2018,
40,Cd_mgkg,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
72,甲基汞,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
56,Hg_mgkg,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
60,Ni_mgkg,1,1,True,True,0,0,0,0,土壤环境质量农用土壤污染风险管控标准GB15618-2018,
62,Zn_mgkg,1,1,True,True,0,0,0,0,土壤环境质量农用土壤污染风险管控标准GB15618-2018,
48,Cu_mgkg,1,1,True,True,0,0,0,0,土壤环境质量农用土壤污染风险管控标准GB15618-2018,
28,有效铜,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
29,有效锌,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
204,六氯苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
21,OC_pct,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
31,有效镁,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
30,有效锰,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
27,有效铁,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
26,有效钼,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
25,有效钙,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
,有效耕作层厚度,1,1,True,True,0,0,0,0,高标准农田建设通则GB/T30600—2022,
24,有效磷,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
,TN_gkg,1,1,True,True,0,0,0,0,基于主成分-聚类分析的植烟土壤障碍因子诊断-周旭东,
74,氰化物,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
190,敌敌畏,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
214,二噁英类(总毒性当量),1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
192,乐果,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
181,SumHCHs_ngg,1,1,True,True,0,0,0,0,土壤环境质量农用土壤污染风险管控标准GB15618-2018,
23,有效硫,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
188,SumDDTs_ngg,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
180,阿特拉津,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
194,硫丹,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
206,灭蚁灵,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",发芽指数,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
32,速效钾,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
22,水解性氮,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
