factor_id,factor_name_norm,production_applicable,ecology_applicable,production_formal_diagnosis,ecology_formal_diagnosis,production_supplementary_screening,ecology_supplementary_screening,production_recommend_supplementary_test,ecology_recommend_supplementary_test,basis,notes
144,䓛,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
218,TPH_ngg,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
124,甲苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
154,溴仿,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
114,氯苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
80,氯甲烷,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
130,硝基苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
138,BaP_ngg,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
122,苯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
112,苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
78,氯仿,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
208,多氯联苯(总量),1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
76,四氯化碳,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
100,四氯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,反-12-二氯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
216,多溴联苯(总量),1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
110,氯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
182,氯丹,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
136,苯并[a]蒽,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,pp'-滴滴伊,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,顺-12-二氯乙烯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,pp'-滴滴滴,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
126,间-二甲苯+对-二甲苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
176,邻苯二甲酸二正辛酯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
172,邻苯二甲酸二(2-乙基己基)酯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
132,苯胺,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
142,苯并[k]荧蒽,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
,茚并[123-cd]芘,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
140,苯并[b]荧蒽,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
174,邻苯二甲酸丁基苄酯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
128,邻-二甲苯,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
150,萘,1,1,True,True,0,0,0,0,质量建设用地土壤污染风险管控标准GB36600-2018,
6,坡度,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
4,有效土层,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
32,土壤质地,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
11,pH,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
13,EC_mScm,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
17,可溶性硼,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
16,可溶性氯,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
14,交换性钠,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
18,钠吸附比,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
19,CEC_cmolkg,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
79,砾石含量,1,1,True,True,0,0,0,0,土壤复垦质量控制标准TD/T1036-2013,
10,最大湿密度,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
7,密度,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
9,孔隙度,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
2,土壤粒径,1,1,True,True,0,0,0,0,园林绿化工程施工及验收规范CJ/J82-2012,
5,土壤入渗率,1,1,True,True,0,0,0,0,绿化种植土壤CJ/T340-2016,
146,"二苯并[a,h]蒽",0,1,0,False,0,0,0,0,,
148,"茚并[1,2,3-cd]芘",0,1,0,False,0,0,0,0,,
158,"1,2-二溴乙烷",0,1,0,False,0,0,0,0,,
162,"2,4-二硝基甲苯",0,1,0,False,0,0,0,0,,
164,"2,4-二氯酚",0,1,0,False,0,0,0,0,,
168,"2,4-二硝基酚",0,1,0,False,0,0,0,0,,
178,"3,3'-二氯联苯胺",0,1,0,False,0,0,0,0,,
118,"1,4-二氯苯",0,1,0,False,0,0,0,0,,
166,"2,4,6-三氯酚",0,1,0,False,0,0,0,0,,
116,"1,2-二氯苯",0,1,0,False,0,0,0,0,,
88,"顺-1,2-二氯乙烯",0,1,0,False,0,0,0,0,,
104,"1,1,2-三氯乙烷",0,1,0,False,0,0,0,0,,
102,"1,1,1-三氯乙烷",0,1,0,False,0,0,0,0,,
98,"1,1,2,2-四氯乙烷",0,1,0,False,0,0,0,0,,
96,"1,1,1,2-四氯乙烷",0,1,0,False,0,0,0,0,,
94,"1,2-二氯丙烷",0,1,0,False,0,0,0,0,,
90,"反-1,2-二氯乙烯",0,1,0,False,0,0,0,0,,
86,"1,1-二氯乙烯",0,1,0,False,0,0,0,0,,
84,"1,2-二氯乙烷",0,1,0,False,0,0,0,0,,
82,"1,1-二氯乙烷",0,1,0,False,0,0,0,0,,
,nan,0,1,0,False,0,0,0,0,,
210,"3,3'4,4',5-五氯联苯(PCB126)",0,1,0,False,0,0,0,0,,
108,"1,2,3-三氯丙烷",0,1,0,False,0,0,0,0,,
212,"3,3'4,4'5,5'-六氯联苯(PCB169)",0,1,0,False,0,0,0,0,,
