source_file,source_version,source_row_id,track_raw,track_normalized,factor_name_raw,level1_category,scenario,land_use_target,threshold_text,unit,standard_source,standard_level,risk_level,notes,factor_name_norm,factor_id,production_applicable,ecology_applicable,factor_name_cn,factor_name_en,factor_type,evidence_level,default_unit
20251015_V1.6合并版,V1.6,1,人工牧草地,both,土壤容重,,北方草原区,生产,≤1.4g/cm³,g/cm³,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,土地复垦要求,SoilBD_gcm3,1,1,1,土壤容重,SoilBD_gcm3,,B,g/cm³
20251015_V1.6合并版,V1.6,759,风险值,both,1112-四氯乙烷,,第二类用地,生产,10mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,1112-四氯乙烷,,1,1,1112-四氯乙烷,1112-四氯乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,763,风险值,both,112-三氯乙烷,,第二类用地,生产,2.8mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,112-三氯乙烷,,1,1,112-三氯乙烷,112-三氯乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,767,管制值,both,1122-四氯乙烷,,第一类用地,生产,14mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,1122-四氯乙烷,,1,1,1122-四氯乙烷,1122-四氯乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,771,风险值,both,12-二氯丙烷,,第一类用地,生产,1mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,12-二氯丙烷,,1,1,12-二氯丙烷,12-二氯丙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,775,风险值,both,12-二氯乙烷,,第二类用地,生产,5mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,12-二氯乙烷,,1,1,12-二氯乙烷,12-二氯乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,789,管制值,both,123-三氯丙烷,,第一类用地,生产,0.5mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,123-三氯丙烷,,1,1,123-三氯丙烷,123-三氯丙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,786,管制值,both,12-二溴乙烷,,第一类用地,生产,0.7mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,12-二溴乙烷,,1,1,12-二溴乙烷,12-二溴乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,758,风险值,both,111-三氯乙烷,,第二类用地,生产,840mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,111-三氯乙烷,,1,1,111-三氯乙烷,111-三氯乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,781,管制值,both,12-二氯苯,,第一类用地,生产,560mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,12-二氯苯,,1,1,12-二氯苯,12-二氯苯,,A,mg/kg
20251015_V1.6合并版,V1.6,736,管制值,both,钴,,第二类用地,生产,350mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,钴,68,1,1,钴,钴,,A,mg/kg
20251015_V1.6合并版,V1.6,734,管制值,both,钒,,第二类用地,生产,1500mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,钒,70,1,1,钒,钒,,A,mg/kg
20251015_V1.6合并版,V1.6,730,管制值,both,铬(六价),,第二类用地,生产,78mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,高风险,农产品安全关键指标,Cr6_mgkg,44,1,1,铬(六价),Cr6_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,726,风险值,both,铬,,pH>7.5,生产,250mg/kg,mg/kg,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,高风险,农产品安全关键指标,Cr_mgkg,42,1,1,铬,Cr_mgkg,,A,mg/kg
