DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Cd_mgkg,Pb_mgkg,As_mgkg,Cr_mgkg,Hg_mgkg,Cu_mgkg,Zn_mgkg,Ni_mgkg,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,id_DOI,id_Source,split_source,is_synthetic
10.1089/ees.2020.0416,The Pollution Characteristics and Full-Scale Risk Assessment of Coking Plant Soil Co-Contaminated with Polycyclic Aromatic Hydrocarbons and Heavy Metals,,,,HM+OP,,,,,,,,,,,,247520.0,,,,,,,,,,,,1,10.1089/ees.2020.0416,The Pollution Characteristics and Full-Scale Risk Assessment of Coking Plant Soil Co-Contaminated with Polycyclic Aromatic Hydrocarbons and Heavy Metals,real_model_ready,False
10.1016/j.envpol.2021.117191,A novel method to analyze the spatial distribution and potential sources of pollutant combinations in the soil of Beijing urban parks,40.5,116.55,北京,HM+OP,8.4,,,0.37,29.1,,104.8,,34.8,122.2,,471.9,,,,,,,,,,,,1,10.1016/j.envpol.2021.117191,A novel method to analyze the spatial distribution and potential sources of pollutant combinations in the soil of Beijing urban parks,real_model_ready,False
10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",,,辽宁,HM+OP,,,,,31.39,8.39,104.57,,45.51,110.23,37.01,3906680.0,,,,,,,,,,,,1,10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",real_model_ready,False
10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",,,辽宁,HM+OP,,,,,24.98,9.76,79.25,,19.44,85.26,37.53,726940.0,,,,,,,,,,,,1,10.21203/rs.3.rs-1769519/v1,"Combined Pollution of Heavy Metals and Polycyclic Aromatic Hydrocarbons in the soil in Shenfu Region, China - A Case of Three Different Cities",real_model_ready,False
10.1007/s11356-015-5249-1,"Temporal trends and risk assessment of polychlorinated biphenyls and heavy metals in a solid waste site in Taizhou, China",29.10527778,121.5286111,Zhejiang,HM+OP,,,,1.1,132.46,,408.28,1.45,300.3,59.46,36.24,,,,,6902.9,,,,,,,,1,10.1007/s11356-015-5249-1,"Temporal trends and risk assessment of polychlorinated biphenyls and heavy metals in a solid waste site in Taizhou, China",real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,21,,39.0,3,4.5,46,12,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,24,,193.0,3.5,58,56,23,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,20,,177.0,4,27,52,6,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,19,,164.0,2.5,38,202,69,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,26,,139.0,2.5,5.5,48,24,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,18,,142.0,3,18,98,30,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,5.5,,98.0,3,34,46,54,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,11,,107.0,3.5,22,85,36,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,14,,135.0,3,41,81,78,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,37,,114.0,3.5,39,55,23,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,,,Jiangsu,HM+OP,,,,,28,,80.0,4,34,48,6,,,,,,,,,,,,,1,10.14088/j.cnki.issn0439-8114.2017.21.009,phase6_某农药厂场地土壤污染调查与生态健康风险研究-陈冬,real_model_ready,False
10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,,,,HM+OP,8.69,,,0.31,118,16.1,,0.15,1357,483,18,,,,,14.0,,,,,,,,1,10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,real_model_ready,False
10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,,,,HM+OP,7.92,,,0.39,150,17.9,,0.74,707,304,18.1,,,,,9.83,,,,,,,,1,10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,real_model_ready,False
10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,,,,HM+OP,6.9,,,0.57,76,15.8,,0.28,212,329,19.9,,,,,82.0,,,,,,,,1,10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,real_model_ready,False
10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,,,,HM+OP,6.7,,,0.48,48.8,13.1,,0.14,326,154,18.7,,,,,25.6,,,,,,,,1,10.1016/j.ecoenv.2024.116927/178,SI_new_phase7_10.1016_j.ecoenv.2024.116927_178,real_model_ready,False
10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,,,,HM+OP,8.69,,,0.31,118,16.1,,0.15,1357,483,18,,,,,14.0,,,,,,,,1,10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,real_model_ready,False
10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,,,,HM+OP,7.92,,,0.39,150,17.9,,0.74,707,304,18.1,,,,,9.83,,,,,,,,1,10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,real_model_ready,False
10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,,,,HM+OP,6.9,,,0.57,76,15.8,,0.28,212,329,19.9,,,,,82.0,,,,,,,,1,10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,real_model_ready,False
10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,,,,HM+OP,6.7,,,0.48,48.8,13.1,,0.14,326,154,18.7,,,,,25.6,,,,,,,,1,10.1016/j.ecoenv.2024.116927/383,SI_new_phase7_10.1016_j.ecoenv.2024.116927_383,real_model_ready,False
10.1016/j.jhazmat.2021.127514/339,SI_new_phase7_10.1016_j.jhazmat.2021.127514_339,,,Hunan,HM+OP,7.56,,,1.17,22.16,,,0.58,31.07,464.81,80.22,,,,,,,,,,,,,1,10.1016/j.jhazmat.2021.127514/339,SI_new_phase7_10.1016_j.jhazmat.2021.127514_339,real_model_ready,False
10.1016/j.jhazmat.2021.127514/339,SI_new_phase7_10.1016_j.jhazmat.2021.127514_339,,,Hunan,HM+OP,6.61,,,0.2,9.91,,,0.32,30.03,155.49,13.98,,,,,,,,,,,,,0,10.1016/j.jhazmat.2021.127514/339,SI_new_phase7_10.1016_j.jhazmat.2021.127514_339,real_model_ready,False
