paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Nap_ngg,2.0,Unknown,table_p4_ri2_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Nap_ngg,0.001,Unknown,table_p4_ri2_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Nap_ngg,0.38,Unknown,table_p4_ri2_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Nap_ngg,0.07,Unknown,table_p4_ri2_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Nap_ngg,167.21,Unknown,table_p4_ri2_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Nap_ngg,59.26,Unknown,table_p4_ri2_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Acy_ngg,3.0,Unknown,table_p4_ri3_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Acy_ngg,0.001,Unknown,table_p4_ri3_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Acy_ngg,0.24,Unknown,table_p4_ri3_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Acy_ngg,0.06,Unknown,table_p4_ri3_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Acy_ngg,209.07,Unknown,table_p4_ri3_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Acy_ngg,27.78,Unknown,table_p4_ri3_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Ace_ngg,3.0,Unknown,table_p4_ri4_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Ace_ngg,0.001,Unknown,table_p4_ri4_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
