paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70602_c2em30856h,70602_c2em30856h_Rings,Acy_ngg,2.0,Unknown,table_p2_ri1_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Ace_ngg,2.0,Unknown,table_p2_ri2_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Flu_ngg,2.0,Unknown,table_p2_ri3_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Phe_ngg,3.0,Unknown,table_p2_ri4_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Ant_ngg,3.0,Unknown,table_p2_ri5_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Flt_ngg,3.0,Unknown,table_p2_ri6_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Pyr_ngg,4.0,Unknown,table_p2_ri7_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Ant_ngg,4.0,Unknown,table_p2_ri8_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Chr_ngg,4.0,Unknown,table_p2_ri9_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Flt_ngg,4.0,Unknown,table_p2_ri10_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Flt_ngg,4.0,Unknown,table_p2_ri11_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Pyr_ngg,5.0,Unknown,table_p2_ri12_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Pyr_ngg,5.0,Unknown,table_p2_ri13_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Cd_mgkg,5.0,Unknown,table_p2_ri13_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70602_c2em30856h,70602_c2em30856h_Rings,Ant_ngg,5.0,Unknown,table_p2_ri14_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
