paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Nap_ngg,11.15,Unknown,table_p6_ri1_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Nap_ngg,20.02,Unknown,table_p6_ri1_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Nap_ngg,23.76,Unknown,table_p6_ri1_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Acy_ngg,12.71,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Acy_ngg,7.67,Unknown,table_p6_ri2_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Acy_ngg,3.94,Unknown,table_p6_ri2_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Acy_ngg,3.54,Unknown,table_p6_ri2_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Acy_ngg,2.44,Unknown,table_p6_ri2_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Acy_ngg,3.21,Unknown,table_p6_ri2_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Acy_ngg,3.25,Unknown,table_p6_ri2_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Acy_ngg,2.98,Unknown,table_p6_ri2_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Acy_ngg,3.37,Unknown,table_p6_ri2_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Acy_ngg,9.3,Unknown,table_p6_ri2_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Acy_ngg,6.84,Unknown,table_p6_ri2_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Ace_ngg,30.05,Unknown,table_p6_ri3_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
