paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Nap_ngg,2.95,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Nap_ngg,76.2,Unknown,table_p3_ri1_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Nap_ngg,19.7,Unknown,table_p3_ri1_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Nap_ngg,15.2,Unknown,table_p3_ri1_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Nap_ngg,14.4,Unknown,table_p3_ri1_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Mn_mgkg,3.01,Unknown,table_p3_ri2_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Mn_mgkg,88.8,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Mn_mgkg,25.5,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Mn_mgkg,18.1,Unknown,table_p3_ri2_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Mn_mgkg,20.0,Unknown,table_p3_ri2_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Mn_mgkg,1.77,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Mn_mgkg,25.8,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Mn_mgkg,8.37,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Mn_mgkg,6.93,Unknown,table_p3_ri3_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Mn_mgkg,5.83,Unknown,table_p3_ri3_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Acy_ngg,0.329,Unknown,table_p3_ri4_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Acy_ngg,50.5,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Acy_ngg,10.0,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Acy_ngg,6.44,Unknown,table_p3_ri4_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Acy_ngg,10.8,Unknown,table_p3_ri4_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Ace_ngg,0.709,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Ace_ngg,61.1,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Ace_ngg,10.5,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Ace_ngg,5.02,Unknown,table_p3_ri5_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Ace_ngg,12.3,Unknown,table_p3_ri5_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Phe_ngg,8.85,Unknown,table_p3_ri7_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
