paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Pyr_ngg,0.55,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Pyr_ngg,80.2,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Pyr_ngg,0.1,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Nap_ngg,25.0,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Nap_ngg,1150.0,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Nap_ngg,0.09,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Ant_ngg,5.5,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Ant_ngg,105.0,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Ant_ngg,0.1,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Flt_ngg,1.5,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Flt_ngg,161.0,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Flt_ngg,0.2,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Ant_ngg,5.5,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Cd_mgkg,5.5,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Ant_ngg,61.5,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Cd_mgkg,61.5,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Ant_ngg,0.1,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Cd_mgkg,0.1,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Pyr_ngg,407.0,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Pyr_ngg,4190.0,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Pyr_ngg,0.09,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),TotalPHC_mgkg,826.0,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),TotalPHC_mgkg,59400.0,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),TotalPHC_mgkg,10.0,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
