paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Chr_ngg,10.0,Unknown,table_p3_ri10_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Flt_ngg,5.0,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Flt_ngg,0.1,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Flt_ngg,1.0,Unknown,table_p3_ri11_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Flt_ngg,5.0,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Flt_ngg,0.1,Unknown,table_p3_ri12_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Flt_ngg,1.0,Unknown,table_p3_ri12_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Pyr_ngg,5.0,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Pyr_ngg,1.0,Unknown,table_p3_ri13_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Pyr_ngg,0.1,Unknown,table_p3_ri13_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Ant_ngg,5.0,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Ant_ngg,1.0,Unknown,table_p3_ri14_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Ant_ngg,0.1,Unknown,table_p3_ri14_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Pyr_ngg,6.0,Unknown,table_p3_ri15_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Rings,Cd_mgkg,6.0,Unknown,table_p3_ri15_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Toxicity_equivalency_factors,Pyr_ngg,0.1,Unknown,table_p3_ri15_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Risk_assessment_standards_(mg/kg),Pyr_ngg,1.0,Unknown,table_p3_ri15_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,Phe_ngg,0.15,Unknown,table_p3_ri4_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,Phe_ngg,0.34,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,Phe_ngg,0.07,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,Phe_ngg,0.03,Unknown,table_p3_ri4_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,Phe_ngg,0.24,Unknown,table_p3_ri4_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,Phe_ngg,0.1,Unknown,table_p3_ri4_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,Phe_ngg,0.13,Unknown,table_p3_ri4_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,Ant_ngg,0.02,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,Ant_ngg,0.07,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,Ant_ngg,0.02,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,Ant_ngg,0.01,Unknown,table_p3_ri5_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,Ant_ngg,0.03,Unknown,table_p3_ri5_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,Ant_ngg,0.02,Unknown,table_p3_ri5_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,Ant_ngg,0.01,Unknown,table_p3_ri5_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,Pyr_ngg,0.15,Unknown,table_p3_ri7_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,Pyr_ngg,0.09,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,Pyr_ngg,0.08,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,Pyr_ngg,0.26,Unknown,table_p3_ri7_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,Pyr_ngg,0.17,Unknown,table_p3_ri7_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,Pyr_ngg,0.12,Unknown,table_p3_ri7_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,Pyr_ngg,0.17,Unknown,table_p3_ri7_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,BaA_ngg,0.1,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
