paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,TotalPHC_mgkg,0.51,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,pH,7.33,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,TotalPHC_mgkg,28.4,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,pH,8.05,Unknown,table_p2_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,TotalPHC_mgkg,3.27,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,pH,7.58,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Standard_deviation,TotalPHC_mgkg,6.38,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,Pb_mgkg,15.9,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,Cd_mgkg,0.08,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,Cr_mgkg,25.9,Unknown,table_p3_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,Ni_mgkg,21.6,Unknown,table_p3_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,V_mgkg,49.1,Unknown,table_p3_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Pb_mgkg,32.3,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Cd_mgkg,0.68,Unknown,table_p3_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Cr_mgkg,71.5,Unknown,table_p3_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Ni_mgkg,40.7,Unknown,table_p3_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,V_mgkg,81.7,Unknown,table_p3_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,Pb_mgkg,20.8,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,Cd_mgkg,0.19,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,Cr_mgkg,56.6,Unknown,table_p3_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,Ni_mgkg,26.3,Unknown,table_p3_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Arithmetic_mean,V_mgkg,62.1,Unknown,table_p3_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
