paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Minimum,TotalPHC_mgkg,0.51,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Standard_deviation,Pb_mgkg,4.0,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Standard_deviation,Cd_mgkg,0.14,Unknown,table_p3_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Standard_deviation,Cr_mgkg,11.2,Unknown,table_p3_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Standard_deviation,Ni_mgkg,4.5,Unknown,table_p3_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Standard_deviation,V_mgkg,7.3,Unknown,table_p3_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Cu_mgkg,1.84,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Zn_mgkg,3.6,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Pb_mgkg,1.27,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Cd_mgkg,8.18,Unknown,table_p4_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Cr_mgkg,1.1,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,Ni_mgkg,2.01,Unknown,table_p4_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1002016014600370,1-s2.0-S1002016014600370_Maximum,V_mgkg,1.03,Unknown,table_p4_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
