paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Cd_mgkg,0.03,Unknown,table_p5_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Cd_mgkg,0.62,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Cd_mgkg,1.07,Unknown,table_p5_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Cd_mgkg,0.955,Unknown,table_p5_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Cd_mgkg,62.665,Unknown,table_p5_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Cu_mgkg,6.54,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Cu_mgkg,60.5,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Cu_mgkg,1.5,Unknown,table_p5_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Cu_mgkg,2.1,Unknown,table_p5_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Cu_mgkg,60.6,Unknown,table_p5_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Cu_mgkg,96.0,Unknown,table_p5_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Hg_mgkg,0.009,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Hg_mgkg,1.74,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Hg_mgkg,2.43,Unknown,table_p5_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Hg_mgkg,5.96,Unknown,table_p5_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Hg_mgkg,148.0,Unknown,table_p5_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Hg_mgkg,36.0,Unknown,table_p5_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Pb_mgkg,21.3,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Pb_mgkg,576.0,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Pb_mgkg,3.99,Unknown,table_p5_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Pb_mgkg,19.5,Unknown,table_p5_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Pb_mgkg,88.6,Unknown,table_p5_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Pb_mgkg,580.0,Unknown,table_p5_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Zn_mgkg,17.0,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Zn_mgkg,318.0,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Zn_mgkg,1.35,Unknown,table_p5_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Zn_mgkg,1.6,Unknown,table_p5_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Zn_mgkg,61.6,Unknown,table_p5_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Zn_mgkg,350.0,Unknown,table_p5_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Flt_ngg,2.62,Unknown,table_p5_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Flt_ngg,198.0,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Flt_ngg,1.81,Unknown,table_p5_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Flt_ngg,2.65,Unknown,table_p5_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Flt_ngg,124.0,Unknown,table_p5_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
