paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Pyr_ngg,17.47,Unknown,table_p2_ri8_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Ant_ngg,4.0,Unknown,table_p2_ri9_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,BaA_ngg,4.0,Unknown,table_p2_ri9_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,152.9,Unknown,table_p2_ri9_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BaA_ngg,152.9,Unknown,table_p2_ri9_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,29.99,Unknown,table_p2_ri9_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BaA_ngg,29.99,Unknown,table_p2_ri9_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Chr_ngg,4.0,Unknown,table_p2_ri10_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Chr_ngg,127.65,Unknown,table_p2_ri10_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Chr_ngg,12.24,Unknown,table_p2_ri10_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Flt_ngg,5.0,Unknown,table_p2_ri11_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,BbF_ngg,5.0,Unknown,table_p2_ri11_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,150.56,Unknown,table_p2_ri11_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
