paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_1,Cd_mgkg,0.13,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_1,As_mgkg,10.21,Unknown,table_p3_ri1_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_1,SumHCH_ngg,0.02,Unknown,table_p3_ri1_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_1,SumDDT_ngg,0.07,Unknown,table_p3_ri1_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S2,Cd_mgkg,2.36,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S2,As_mgkg,12.290000000000001,Unknown,table_p3_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S2,SumHCH_ngg,0.022,Unknown,table_p3_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S2,SumDDT_ngg,0.14,Unknown,table_p3_ri2_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S3,Cd_mgkg,123.08,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S3,As_mgkg,2.51,Unknown,table_p3_ri3_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S3,SumHCH_ngg,0.003,Unknown,table_p3_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S3,SumDDT_ngg,0.075,Unknown,table_p3_ri3_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_2,As_mgkg,24.58,Unknown,table_p3_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_2,SumHCH_ngg,15.0,Unknown,table_p3_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_2,SumDDT_ngg,107.71,Unknown,table_p3_ri4_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S5,Cd_mgkg,0.13,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S5,As_mgkg,8.83,Unknown,table_p3_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S5,SumHCH_ngg,0.017,Unknown,table_p3_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S5,SumDDT_ngg,0.143,Unknown,table_p3_ri5_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S6,Cd_mgkg,0.16999999999999998,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S6,As_mgkg,13.345,Unknown,table_p3_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S6,SumHCH_ngg,0.0245,Unknown,table_p3_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S6,SumDDT_ngg,0.1915,Unknown,table_p3_ri6_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S7,Cd_mgkg,0.03,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S7,As_mgkg,2.67,Unknown,table_p3_ri7_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S7,SumHCH_ngg,0.008,Unknown,table_p3_ri7_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S7,SumDDT_ngg,0.2,Unknown,table_p3_ri7_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S8,Cd_mgkg,23.07,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S8,As_mgkg,30.24,Unknown,table_p3_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S8,SumHCH_ngg,47.06,Unknown,table_p3_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S8,SumDDT_ngg,139.86,Unknown,table_p3_ri8_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_3,Cd_mgkg,0.15,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_3,As_mgkg,9.35,Unknown,table_p3_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_3,SumHCH_ngg,0.018,Unknown,table_p3_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_3,SumDDT_ngg,0.16,Unknown,table_p3_ri9_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S10,Cd_mgkg,0.183,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S10,As_mgkg,8.4,Unknown,table_p3_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S10,SumHCH_ngg,0.019,Unknown,table_p3_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S10,SumDDT_ngg,0.18,Unknown,table_p3_ri10_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S11,Cd_mgkg,0.05,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S11,As_mgkg,2.16,Unknown,table_p3_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S11,SumHCH_ngg,0.003,Unknown,table_p3_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S11,SumDDT_ngg,0.121,Unknown,table_p3_ri11_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S12,Cd_mgkg,33.33,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S12,As_mgkg,23.1,Unknown,table_p3_ri12_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011_S12,SumHCH_ngg,16.67,Unknown,table_p3_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
