paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P01674,S1-2,Pb_mgkg,18.0,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-2=S1 at 2m bgs; 钢厂土壤
P01674,S1-2,Cd_mgkg,0.06,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-2=S1 at 2m bgs; 钢厂土壤
P01674,S1-2,As_mgkg,7.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-2=S1 at 2m bgs; 钢厂土壤
P01674,S1-4,Pb_mgkg,19.7,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-4=S1 at 4m bgs; 钢厂土壤
P01674,S1-4,Cd_mgkg,0.03,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-4=S1 at 4m bgs; 钢厂土壤
P01674,S1-4,As_mgkg,4.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-4=S1 at 4m bgs; 钢厂土壤
P01674,S1-6,Pb_mgkg,19.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-6=S1 at 6m bgs; 钢厂土壤
P01674,S1-6,Cd_mgkg,0.01,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-6=S1 at 6m bgs; 钢厂土壤
P01674,S1-6,As_mgkg,6.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S1-6=S1 at 6m bgs; 钢厂土壤
P01674,S2-2,Pb_mgkg,212.0,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-2=S2 at 2m bgs; 钢厂土壤
P01674,S2-2,Cd_mgkg,3.45,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-2=S2 at 2m bgs; 钢厂土壤
P01674,S2-2,As_mgkg,1230.0,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-2=S2 at 2m bgs; 钢厂土壤
P01674,S2-4,Pb_mgkg,647.0,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-4=S2 at 4m bgs; 钢厂土壤
P01674,S2-4,Cd_mgkg,8.67,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-4=S2 at 4m bgs; 钢厂土壤
P01674,S2-4,As_mgkg,1270.0,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-4=S2 at 4m bgs; 钢厂土壤
P01674,S2-6,Pb_mgkg,44.6,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-6=S2 at 6m bgs; 钢厂土壤
P01674,S2-6,Cd_mgkg,0.27,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-6=S2 at 6m bgs; 钢厂土壤
P01674,S2-6,As_mgkg,71.3,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S2-6=S2 at 6m bgs; 钢厂土壤
P01674,S3-2,Pb_mgkg,24.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-2=S3 at 2m bgs; 钢厂土壤
P01674,S3-2,Cd_mgkg,0.08,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-2=S3 at 2m bgs; 钢厂土壤
P01674,S3-2,As_mgkg,17.1,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-2=S3 at 2m bgs; 钢厂土壤
P01674,S3-4,Pb_mgkg,25.2,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-4=S3 at 4m bgs; 钢厂土壤
P01674,S3-4,Cd_mgkg,0.04,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-4=S3 at 4m bgs; 钢厂土壤
P01674,S3-4,As_mgkg,5.1,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-4=S3 at 4m bgs; 钢厂土壤
P01674,S3-6,Pb_mgkg,20.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-6=S3 at 6m bgs; 钢厂土壤
P01674,S3-6,Cd_mgkg,0.03,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-6=S3 at 6m bgs; 钢厂土壤
P01674,S3-6,As_mgkg,4.4,mg/kg,Table SI (Supplementary),soil,industrial,Zhejiang,直接读取Table SI补充材料; S3-6=S3 at 6m bgs; 钢厂土壤
