paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15320383.2015.958212,15320383.2015.958212_STDEV,Flu_ngg,0.014,Unknown,table_p14_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Phe_ngg,0.007,Unknown,table_p14_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Phe_ngg,1.091,Unknown,table_p14_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Phe_ngg,0.19,Unknown,table_p14_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Ant_ngg,0.107,Unknown,table_p14_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Ant_ngg,0.021,Unknown,table_p14_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Flt_ngg,0.0,Unknown,table_p14_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Flt_ngg,3.278,Unknown,table_p14_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Flt_ngg,0.563,Unknown,table_p14_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Pyr_ngg,0.001,Unknown,table_p14_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Pyr_ngg,1.977,Unknown,table_p14_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Pyr_ngg,0.359,Unknown,table_p14_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Ant_ngg,0.0,Unknown,table_p14_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Ant_ngg,0.841,Unknown,table_p14_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Ant_ngg,0.155,Unknown,table_p14_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Chr_ngg,0.001,Unknown,table_p14_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Chr_ngg,1.21,Unknown,table_p14_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Chr_ngg,0.209,Unknown,table_p14_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Flt_ngg,0.001,Unknown,table_p14_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Flt_ngg,1.362,Unknown,table_p14_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Flt_ngg,0.238,Unknown,table_p14_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Flt_ngg,0.0,Unknown,table_p14_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Flt_ngg,0.549,Unknown,table_p14_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Flt_ngg,0.097,Unknown,table_p14_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Pyr_ngg,0.0,Unknown,table_p14_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Pyr_ngg,1.118,Unknown,table_p14_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Pyr_ngg,0.198,Unknown,table_p14_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Pyr_ngg,0.0,Unknown,table_p14_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Cd_mgkg,0.0,Unknown,table_p14_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Pyr_ngg,0.348,Unknown,table_p14_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
