paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,SumPCB_ngg,0.09,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,SumPCB_ngg,1.1,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Pb_mgkg,0.3,Unknown,table_p2_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Cd_mgkg,1.3,Unknown,table_p2_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Zn_mgkg,0.5,Unknown,table_p2_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Cu_mgkg,0.8,Unknown,table_p2_ri6_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,SumPCB_ngg,0.2,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,SumPCB_ngg,2.1,Unknown,table_p2_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Cd_mgkg,1.6,Unknown,table_p2_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Cr_mgkg,0.6,Unknown,table_p2_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,As_mgkg,0.3,Unknown,table_p2_ri7_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,SumPCB_ngg,0.3,Unknown,table_p2_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,SumPCB_ngg,1.6,Unknown,table_p2_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,SumPCB_ngg,0.4,Unknown,table_p2_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,SumPCB_ngg,1.5,Unknown,table_p2_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Pb_mgkg,1.7,Unknown,table_p2_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Cd_mgkg,2.7,Unknown,table_p2_ri13_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Cr_mgkg,0.8,Unknown,table_p2_ri13_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Zn_mgkg,1.7,Unknown,table_p2_ri13_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,As_mgkg,0.6,Unknown,table_p2_ri13_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,SumPCB_ngg,2.6,Unknown,table_p2_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
