paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-014-3171-6,s11356-014-3171-6_E-waste_processing_centers,Zn_mgkg,402.5,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_E-waste_processing_centers,Cu_mgkg,39.45,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_E-waste_processing_centers,Cd_mgkg,6.55,Unknown,table_p3_ri5_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_E-waste_processing_centers,Pb_mgkg,41.65,Unknown,table_p3_ri5_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_E-waste_processing_centers,Sum_PAH_ngg,186.5,Unknown,table_p3_ri5_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Industry_complex,Zn_mgkg,1136.0,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Industry_complex,Pb_mgkg,2430.0,Unknown,table_p3_ri6_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Industry_complex,Sum_PAH_ngg,61.5,Unknown,table_p3_ri6_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Chemical_and_petrochemical_5.50_industries,Pb_mgkg,36.3,Unknown,table_p3_ri7_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Lignite-fired_power_plants,Zn_mgkg,69.25,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Lignite-fired_power_plants,Cu_mgkg,27.415000000000003,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Lignite-fired_power_plants,Pb_mgkg,29.65,Unknown,table_p3_ri8_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Lignite-fired_power_plants,Sum_PAH_ngg,275.0,Unknown,table_p3_ri8_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Railway_junction,Zn_mgkg,42.5,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Railway_junction,Cu_mgkg,69.5,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Railway_junction,Pb_mgkg,280.5,Unknown,table_p3_ri9_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Railway_junction,Sum_PAH_ngg,743.5,Unknown,table_p3_ri9_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=range_mean,,
s11356-014-3171-6,s11356-014-3171-6_Iron-steel_plant,Zn_mgkg,531.0,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Iron-steel_plant,Cu_mgkg,61.0,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Iron-steel_plant,Cd_mgkg,2.0,Unknown,table_p3_ri10_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Iron-steel_plant,Pb_mgkg,109.0,Unknown,table_p3_ri10_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S4,Sum_PAH_ngg,914.0,Unknown,table_p5_ri4_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S5,Sum_PAH_ngg,16.7,Unknown,table_p5_ri5_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S6,Sum_PAH_ngg,27.1,Unknown,table_p5_ri6_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S7,Sum_PAH_ngg,241.0,Unknown,table_p5_ri7_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S8,Sum_PAH_ngg,16.5,Unknown,table_p5_ri8_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S11,Sum_PAH_ngg,51.2259,Unknown,table_p5_ri11_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S12,Sum_PAH_ngg,125.0,Unknown,table_p5_ri12_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S16,Sum_PAH_ngg,13.8,Unknown,table_p5_ri16_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Stipa_bungeana_Trin.,Sum_PAH_ngg,27.6,Unknown,table_p5_ri19_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_S20,Sum_PAH_ngg,226.0,Unknown,table_p5_ri20_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Miscanthus_floridulu_(Labnll.)_Warb_Taxodiaceae,Sum_PAH_ngg,538.0,Unknown,table_p5_ri21_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s11356-014-3171-6,s11356-014-3171-6_Polygonaceae_Polygonum_pubescens_Blume,Sum_PAH_ngg,221.0,Unknown,table_p5_ri25_ci7,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
