paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
toxics-14-00049,toxics-14-00049_Standard_deviation__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Co_mgkg,2.08,Unknown,table_p7_ri4_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_detection__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Ni_mgkg,5.0,Unknown,table_p7_ri5_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,As_mgkg,60.0,Unknown,table_p7_ri7_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Cd_mgkg,65.0,Unknown,table_p7_ri7_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Cu_mgkg,18000.0,Unknown,table_p7_ri7_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Pb_mgkg,800.0,Unknown,table_p7_ri7_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Ni_mgkg,900.0,Unknown,table_p7_ri7_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mn_mgkg,2000.0,Unknown,table_p7_ri7_ci8,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Co_mgkg,70.0,Unknown,table_p7_ri7_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Be_mgkg,29.0,Unknown,table_p7_ri7_ci11,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,As_mgkg,9.0,Unknown,table_p7_ri8_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Cu_mgkg,33.0,Unknown,table_p7_ri8_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Pb_mgkg,19.7,Unknown,table_p7_ri8_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Ni_mgkg,108.0,Unknown,table_p7_ri8_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mn_mgkg,330.0,Unknown,table_p7_ri8_ci8,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Co_mgkg,14.1,Unknown,table_p7_ri8_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Background_value__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Be_mgkg,1.66,Unknown,table_p7_ri8_ci11,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,As_mgkg,10.0,Unknown,table_p7_ri9_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,Cd_mgkg,30.0,Unknown,table_p7_ri9_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,Cu_mgkg,5.0,Unknown,table_p7_ri9_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,Pb_mgkg,5.0,Unknown,table_p7_ri9_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,Ni_mgkg,5.0,Unknown,table_p7_ri9_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,Co_mgkg,5.0,Unknown,table_p7_ri9_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_TEFs,Be_mgkg,5.0,Unknown,table_p7_ri9_ci11,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Enrichment_factor,As_mgkg,1.23,Unknown,table_p7_ri10_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Enrichment_factor,Mn_mgkg,1.56,Unknown,table_p7_ri10_ci8,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Enrichment_factor,Co_mgkg,1.13,Unknown,table_p7_ri10_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
