paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-021-15781-7,s11356-021-15781-7_detections,Flt_ngg,162.0,Unknown,table_p5_ri2_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum_Maximum_Detection,Flt_ngg,0.016,Unknown,table_p5_ri2_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_rate_%,Flt_ngg,58.27,Unknown,table_p5_ri2_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Over-limit_ratio_%,Flt_ngg,5.4,Unknown,table_p5_ri2_ci6,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum_multiple_of_exceeding_the_standard,Flt_ngg,4.2,Unknown,table_p5_ri2_ci7,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_detections,Pyr_ngg,147.0,Unknown,table_p5_ri3_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum_Maximum_Detection,Pyr_ngg,0.026,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_rate_%,Pyr_ngg,52.88,Unknown,table_p5_ri3_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Over-limit_ratio_%,Pyr_ngg,22.3,Unknown,table_p5_ri3_ci6,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum_multiple_of_exceeding_the_standard,Pyr_ngg,26.5,Unknown,table_p5_ri3_ci7,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_detections,Pyr_ngg,129.0,Unknown,table_p5_ri4_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_detections,Cd_mgkg,129.0,Unknown,table_p5_ri4_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum_Maximum_Detection,Pyr_ngg,0.024,Unknown,table_p5_ri4_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_rate_%,Pyr_ngg,46.4,Unknown,table_p5_ri4_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_rate_%,Cd_mgkg,46.4,Unknown,table_p5_ri4_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Over-limit_ratio_%,Pyr_ngg,0.72,Unknown,table_p5_ri4_ci6,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum_multiple_of_exceeding_the_standard,Pyr_ngg,0.42,Unknown,table_p5_ri4_ci7,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_detections,Ant_ngg,82.0,Unknown,table_p5_ri5_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum_Maximum_Detection,Ant_ngg,0.015,Unknown,table_p5_ri5_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_rate_%,Ant_ngg,29.5,Unknown,table_p5_ri5_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Over-limit_ratio_%,Ant_ngg,6.47,Unknown,table_p5_ri5_ci6,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum_multiple_of_exceeding_the_standard,Ant_ngg,2.18,Unknown,table_p5_ri5_ci7,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum,BaA_ngg,16.8,Unknown,table_p7_ri1_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum,BaA_ngg,0.025,Unknown,table_p7_ri1_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Standard_deviation_(SD),BaA_ngg,0.066,Unknown,table_p7_ri1_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum,BbF_ngg,20.8,Unknown,table_p7_ri2_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
