paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10807039.2015.1104627,10807039.2015.1104627_S1,Ant_ngg,0.5,Unknown,table_p30_ri1_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Pyr_ngg,0.56,Unknown,table_p30_ri1_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Nap_ngg,4.28,Unknown,table_p30_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Ace_ngg,2.08,Unknown,table_p30_ri2_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Acy_ngg,5.17,Unknown,table_p30_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Phe_ngg,7.5,Unknown,table_p30_ri2_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Ant_ngg,1.02,Unknown,table_p30_ri2_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Pyr_ngg,0.44,Unknown,table_p30_ri2_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Nap_ngg,7.16,Unknown,table_p30_ri3_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Ace_ngg,4.48,Unknown,table_p30_ri3_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Acy_ngg,4.38,Unknown,table_p30_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Phe_ngg,4.87,Unknown,table_p30_ri3_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Ant_ngg,2.11,Unknown,table_p30_ri3_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Pyr_ngg,2.22,Unknown,table_p30_ri3_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Nap_ngg,4.54,Unknown,table_p30_ri4_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Ace_ngg,1.92,Unknown,table_p30_ri4_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Acy_ngg,5.56,Unknown,table_p30_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Phe_ngg,5.22,Unknown,table_p30_ri4_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Ant_ngg,1.17,Unknown,table_p30_ri4_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Pyr_ngg,0.59,Unknown,table_p30_ri4_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Nap_ngg,8.45,Unknown,table_p30_ri5_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Ace_ngg,4.56,Unknown,table_p30_ri5_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Acy_ngg,3.0,Unknown,table_p30_ri5_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Phe_ngg,6.34,Unknown,table_p30_ri5_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Ant_ngg,2.45,Unknown,table_p30_ri5_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Pyr_ngg,3.03,Unknown,table_p30_ri5_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Nap_ngg,5.69,Unknown,table_p30_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Ace_ngg,2.96,Unknown,table_p30_ri6_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Acy_ngg,4.77,Unknown,table_p30_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Phe_ngg,9.36,Unknown,table_p30_ri6_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Ant_ngg,1.38,Unknown,table_p30_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Pyr_ngg,1.51,Unknown,table_p30_ri6_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Nap_ngg,7.58,Unknown,table_p30_ri7_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Ace_ngg,3.6,Unknown,table_p30_ri7_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Acy_ngg,4.7,Unknown,table_p30_ri7_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Phe_ngg,8.11,Unknown,table_p30_ri7_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Ant_ngg,1.97,Unknown,table_p30_ri7_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Pyr_ngg,1.28,Unknown,table_p30_ri7_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,DahA_ngg,1.87,Unknown,table_p31_ri1_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S1,Cr_mgkg,1.87,Unknown,table_p31_ri1_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,BkF_ngg,1.0,Unknown,table_p31_ri2_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
