paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
b1240206,b1240206_Solubility_(mg/L),Flt_ngg,0.26,Unknown,table_p39_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Flt_ngg,8.13e-06,Unknown,table_p39_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Ant_ngg,4.0,Unknown,table_p39_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Ant_ngg,228.29,Unknown,table_p39_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Ant_ngg,0.011,Unknown,table_p39_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Ant_ngg,1.54e-07,Unknown,table_p39_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Chr_ngg,4.0,Unknown,table_p39_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Chr_ngg,228.29,Unknown,table_p39_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Chr_ngg,0.0015,Unknown,table_p39_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Chr_ngg,7.8e-09,Unknown,table_p39_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Pyr_ngg,4.0,Unknown,table_p39_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Pyr_ngg,202.26,Unknown,table_p39_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Pyr_ngg,0.132,Unknown,table_p39_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Pyr_ngg,4.25e-06,Unknown,table_p39_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
