paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Ant_ngg,0.1,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Ant_ngg,5.92,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Ant_ngg,4.54,Unknown,table_p4_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Ant_ngg,150.4,Unknown,table_p4_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Ant_ngg,22.1,Unknown,table_p4_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Chr_ngg,0.01,Unknown,table_p4_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Chr_ngg,10.22,Unknown,table_p4_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Chr_ngg,9.5,Unknown,table_p4_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Chr_ngg,185.9,Unknown,table_p4_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Chr_ngg,48.86,Unknown,table_p4_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Flt_ngg,0.1,Unknown,table_p4_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Flt_ngg,17.58,Unknown,table_p4_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Flt_ngg,18.28,Unknown,table_p4_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Flt_ngg,441.2,Unknown,table_p4_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Flt_ngg,83.64,Unknown,table_p4_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Pyr_ngg,1.0,Unknown,table_p4_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Pyr_ngg,7.12,Unknown,table_p4_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Pyr_ngg,5.82,Unknown,table_p4_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Pyr_ngg,202.3,Unknown,table_p4_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Pyr_ngg,48.44,Unknown,table_p4_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Ant_ngg,1.0,Unknown,table_p4_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Ant_ngg,1.14,Unknown,table_p4_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Ant_ngg,0.62,Unknown,table_p4_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
