paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T1,pH,7.83,Unknown,table_p2_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T2,pH,8.28,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T3,pH,8.25,Unknown,table_p2_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T4,pH,7.95,Unknown,table_p2_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T5,pH,8.15,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T1,Cd_mgkg,2.58,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T2,Cd_mgkg,1.24,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T3,Cd_mgkg,1.35,Unknown,table_p2_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T4,Cd_mgkg,1.28,Unknown,table_p2_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T5,Cd_mgkg,0.8,Unknown,table_p2_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.jhazmat.2007.07.014,_dup_j.jhazmat.2007.07.014_T1,Cr_mgkg,77.5,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
