paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
211%252F2017-swr,211%252F2017-swr_Grassland_(n=20),Cu_mgkg,0.0,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Agricultural_land__$(_n_=_3_6_7_)$,Ni_mgkg,7.14,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Arable_land__$\left(_n_=_1_5_9_\right)$,Ni_mgkg,2.0,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Garden__$\left(_n_=_7_7_\right)$,Ni_mgkg,19.4,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Woodland__$\left(_n_=_3_0_\right)$,Ni_mgkg,12.5,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Grassland_(n=20),Ni_mgkg,0.0,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Agricultural_land__$(_n_=_3_6_7_)$,Pb_mgkg,1.4,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Arable_land__$\left(_n_=_1_5_9_\right)$,Pb_mgkg,0.72,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Garden__$\left(_n_=_7_7_\right)$,Pb_mgkg,3.33,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Woodland__$\left(_n_=_3_0_\right)$,Pb_mgkg,3.57,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Grassland_(n=20),Pb_mgkg,0.0,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Agricultural_land__$(_n_=_3_6_7_)$,SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Arable_land__$\left(_n_=_1_5_9_\right)$,SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Garden__$\left(_n_=_7_7_\right)$,SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Woodland__$\left(_n_=_3_0_\right)$,SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Grassland_(n=20),SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Agricultural_land__$(_n_=_3_6_7_)$,SumDDT_ngg,1.54,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Arable_land__$\left(_n_=_1_5_9_\right)$,SumDDT_ngg,9.09,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Garden__$\left(_n_=_7_7_\right)$,SumDDT_ngg,0.0,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Woodland__$\left(_n_=_3_0_\right)$,SumDDT_ngg,0.0,Unknown,table_p4_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Grassland_(n=20),SumDDT_ngg,0.0,Unknown,table_p4_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Cd_mgkg,0.25,Unknown,table_p4_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Cd_mgkg,3.46,Unknown,table_p4_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Cd_mgkg,0.39,Unknown,table_p4_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Cd_mgkg,1.96,Unknown,table_p4_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Cd_mgkg,0.43,Unknown,table_p4_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Cd_mgkg,0.41,Unknown,table_p4_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Cd_mgkg,0.3,Unknown,table_p4_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,As_mgkg,9.59,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,As_mgkg,8.46,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,As_mgkg,14.4,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,As_mgkg,11.2,Unknown,table_p4_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,As_mgkg,18.3,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,As_mgkg,13.6,Unknown,table_p4_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,As_mgkg,30.0,Unknown,table_p4_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Zn_mgkg,78.8,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Zn_mgkg,303.1,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Zn_mgkg,98.6,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Zn_mgkg,218.5,Unknown,table_p4_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Zn_mgkg,119.5,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Zn_mgkg,94.5,Unknown,table_p4_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Zn_mgkg,250.0,Unknown,table_p4_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Cr_mgkg,62.9,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Cr_mgkg,54.8,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Cr_mgkg,56.9,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Cr_mgkg,74.5,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Cr_mgkg,66.4,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Cr_mgkg,64.5,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Cr_mgkg,200.0,Unknown,table_p4_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Hg_mgkg,0.3,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Hg_mgkg,0.15,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Hg_mgkg,0.25,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Hg_mgkg,0.75,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Hg_mgkg,0.16,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Hg_mgkg,0.72,Unknown,table_p4_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Hg_mgkg,0.5,Unknown,table_p4_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Cu_mgkg,26.4,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Cu_mgkg,35.8,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Cu_mgkg,35.9,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Cu_mgkg,33.7,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Cu_mgkg,47.7,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Cu_mgkg,32.1,Unknown,table_p4_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Cu_mgkg,100.0,Unknown,table_p4_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Ni_mgkg,33.2,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
