paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Acy_ngg,27.45,Unknown,table_p5_ri2_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Acy_ngg,72.55,Unknown,table_p5_ri2_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Ace_ngg,16.0,Unknown,table_p5_ri3_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERM,Ace_ngg,500.0,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Ace_ngg,17.65,Unknown,table_p5_ri3_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Ace_ngg,82.35,Unknown,table_p5_ri3_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Flu_ngg,19.0,Unknown,table_p5_ri4_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERM,Flu_ngg,540.0,Unknown,table_p5_ri4_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Flu_ngg,1.96,Unknown,table_p5_ri4_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Flu_ngg,96.08,Unknown,table_p5_ri4_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_\dot_{_C_}___{_P_A_H_}_}_2$_ERM(%),Flu_ngg,1.96,Unknown,table_p5_ri4_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Phe_ngg,240.0,Unknown,table_p5_ri5_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Phe_ngg,50.98,Unknown,table_p5_ri5_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Phe_ngg,49.02,Unknown,table_p5_ri5_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Ant_ngg,85.3,Unknown,table_p5_ri6_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Ant_ngg,29.41,Unknown,table_p5_ri6_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Ant_ngg,70.59,Unknown,table_p5_ri6_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Pyr_ngg,665.0,Unknown,table_p5_ri8_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Pyr_ngg,64.71,Unknown,table_p5_ri8_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Pyr_ngg,35.29,Unknown,table_p5_ri8_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Chr_ngg,384.0,Unknown,table_p5_ri9_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Chr_ngg,31.37,Unknown,table_p5_ri9_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Chr_ngg,49.02,Unknown,table_p5_ri9_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_\dot_{_C_}___{_P_A_H_}_}_2$_ERM(%),Chr_ngg,19.61,Unknown,table_p5_ri9_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,BaA_ngg,261.0,Unknown,table_p5_ri10_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),BaA_ngg,31.37,Unknown,table_p5_ri10_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,BaA_ngg,64.71,Unknown,table_p5_ri10_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
