paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,As_mgkg,3.8,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Hg_mgkg,3.8,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,As_mgkg,7.9,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Hg_mgkg,7.9,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,As_mgkg,16.2,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Hg_mgkg,16.2,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Cu_mgkg,56.9,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Cu_mgkg,160.0,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Cu_mgkg,513.0,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Pb_mgkg,5.0,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Pb_mgkg,8.1,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Pb_mgkg,14.0,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Zn_mgkg,232.0,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Zn_mgkg,465.0,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Zn_mgkg,1197.0,Unknown,table_p3_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Cd_mgkg,0.3,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Cd_mgkg,0.6,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Cd_mgkg,0.9,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Cr_mgkg,12.1,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Cr_mgkg,21.2,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Cr_mgkg,40.5,Unknown,table_p3_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,SMZ_ngg,33.1,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,SMZ_ngg,73.8,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,SMZ_ngg,163.0,Unknown,table_p3_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,SDZ_ngg,32.9,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,SDZ_ngg,32.9,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,SDZ_ngg,32.9,Unknown,table_p3_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,ENRO_ngg,19.0,Unknown,table_p3_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,ENRO_ngg,54.1,Unknown,table_p3_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,ENRO_ngg,231.0,Unknown,table_p3_ri22_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,OTC_ngg,1452.0,Unknown,table_p3_ri26_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,OTC_ngg,3140.0,Unknown,table_p3_ri26_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,OTC_ngg,4834.0,Unknown,table_p3_ri26_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,CTC_ngg,835.0,Unknown,table_p3_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,CTC_ngg,2097.0,Unknown,table_p3_ri27_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,CTC_ngg,4704.0,Unknown,table_p3_ri27_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
