paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Ant_ngg,0.73,Unknown,table_p8_ri1_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Chr_ngg,0.073,Unknown,table_p8_ri2_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Flt_ngg,1.2,Unknown,table_p8_ri3_ci1,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Flt_ngg,0.73,Unknown,table_p8_ri3_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Flt_ngg,1.0,Unknown,table_p8_ri4_ci1,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Flt_ngg,0.73,Unknown,table_p8_ri4_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Pyr_ngg,1.2,Unknown,table_p8_ri5_ci1,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Pyr_ngg,7.3,Unknown,table_p8_ri5_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Pyr_ngg,1.9,Unknown,table_p8_ri7_ci1,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Cd_mgkg,1.9,Unknown,table_p8_ri7_ci1,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Pyr_ngg,0.73,Unknown,table_p8_ri7_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,Cd_mgkg,0.73,Unknown,table_p8_ri7_ci2,water,industrial,,phase14_auto; confidence=high; flag=,,
