paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Ace_ngg,95.0,Unknown,table_p4_ri3_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Flu_ngg,3.0,Unknown,table_p4_ri4_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Flu_ngg,166.0,Unknown,table_p4_ri4_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Flu_ngg,293.6,Unknown,table_p4_ri4_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Flu_ngg,114.77,Unknown,table_p4_ri4_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Phe_ngg,3.0,Unknown,table_p4_ri5_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Phe_ngg,178.2,Unknown,table_p4_ri5_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Phe_ngg,340.0,Unknown,table_p4_ri5_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Phe_ngg,97.101,Unknown,table_p4_ri5_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Flt_ngg,4.0,Unknown,table_p4_ri7_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Flt_ngg,202.25,Unknown,table_p4_ri7_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Flt_ngg,284.0,Unknown,table_p4_ri7_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Flt_ngg,111.0,Unknown,table_p4_ri7_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Pyr_ngg,4.0,Unknown,table_p4_ri8_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Pyr_ngg,202.25,Unknown,table_p4_ri8_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Pyr_ngg,393.5,Unknown,table_p4_ri8_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Pyr_ngg,150.0,Unknown,table_p4_ri8_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Ant_ngg,4.0,Unknown,table_p4_ri9_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Ant_ngg,228.3,Unknown,table_p4_ri9_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Ant_ngg,435.0,Unknown,table_p4_ri9_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Ant_ngg,160.5,Unknown,table_p4_ri9_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Chr_ngg,4.0,Unknown,table_p4_ri10_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Chr_ngg,228.29,Unknown,table_p4_ri10_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Chr_ngg,448.0,Unknown,table_p4_ri10_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Chr_ngg,258.2,Unknown,table_p4_ri10_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Flt_ngg,5.0,Unknown,table_p4_ri11_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Flt_ngg,252.3,Unknown,table_p4_ri11_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Flt_ngg,481.0,Unknown,table_p4_ri11_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Flt_ngg,168.0,Unknown,table_p4_ri11_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Flt_ngg,5.0,Unknown,table_p4_ri12_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Flt_ngg,252.3,Unknown,table_p4_ri12_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Flt_ngg,480.0,Unknown,table_p4_ri12_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Flt_ngg,217.0,Unknown,table_p4_ri12_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Pyr_ngg,5.0,Unknown,table_p4_ri13_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Pyr_ngg,252.3,Unknown,table_p4_ri13_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Pyr_ngg,475.0,Unknown,table_p4_ri13_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Pyr_ngg,179.0,Unknown,table_p4_ri13_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Pyr_ngg,66.0,Unknown,table_p4_ri15_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Rings,Cd_mgkg,66.0,Unknown,table_p4_ri15_ci3,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Pyr_ngg,276.3,Unknown,table_p4_ri15_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Molecular_weight,Cd_mgkg,276.3,Unknown,table_p4_ri15_ci4,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Pyr_ngg,497.1,Unknown,table_p4_ri15_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Boiling_point,Cd_mgkg,497.1,Unknown,table_p4_ri15_ci5,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Pyr_ngg,162.163,Unknown,table_p4_ri15_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969721051329,1-s2.0-S0048969721051329_Fusion_point,Cd_mgkg,162.163,Unknown,table_p4_ri15_ci6,water,industrial,,phase14_auto; confidence=high; flag=,,
