paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumHCH_ngg,1758.0,Unknown,table_p4_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumHCH_ngg,1758.0,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumHCH_ngg,1758.0,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumHCH_ngg,1758.0,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumHCH_ngg,1758.0,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumDDT_ngg,1757.0,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumDDT_ngg,1758.0,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Sum_PAH_ngg,1757.0,Unknown,table_p4_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Sum_PAH_ngg,1757.0,Unknown,table_p4_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Ace_ngg,1758.0,Unknown,table_p4_ri23_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,BbF_ngg,1757.0,Unknown,table_p4_ri30_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,BaP_ngg,1758.0,Unknown,table_p4_ri32_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,DahA_ngg,1758.0,Unknown,table_p4_ri34_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,BghiP_ngg,1758.0,Unknown,table_p4_ri36_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumPCB_ngg,565.0,Unknown,table_p4_ri37_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,As_mgkg,129.0,Unknown,table_p4_ri45_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Cd_mgkg,1748.0,Unknown,table_p4_ri46_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Co_mgkg,1726.0,Unknown,table_p4_ri47_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Cr_mgkg,1741.0,Unknown,table_p4_ri49_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Cu_mgkg,1761.0,Unknown,table_p4_ri50_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
