factor_id,factor_name_norm,factor_name_raw,track,diagnosis_layer,threshold_role,land_use_target,scenario,standard_source,standard_level,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,unit,threshold_version,evidence_level,source_file,source_version,source_row_id,notes
150,萘,萘,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,959,农产品安全关键指标
6,坡度,坡度,production,formal,direct_standard,生产,东北山丘平原区,土壤复垦质量控制标准TD/T1036-2013,行业标准,ordinal,,,,,°,v0.7,B,20251015_V1.6合并版,V1.6,195,土地复垦要求
4,有效土层,有效土层,production,formal,direct_standard,生产,长江中下游平原区,土壤复垦质量控制标准TD/T1036-2013,行业标准,lower,,≥50cm,,,cm,v0.7,B,20251015_V1.6合并版,V1.6,214,土地复垦要求
32,土壤质地,土壤质地,production,formal,direct_standard,生产,西北干旱区,土壤复垦质量控制标准TD/T1036-2013,行业标准,ordinal,,,,,/,v0.7,B,20251015_V1.6合并版,V1.6,159,土地复垦要求
11,pH,pH,production,formal,direct_standard,生产,西南山地丘陵区,土壤复垦质量控制标准TD/T1036-2013,行业标准,interval,,,,,/,v0.7,B,20251015_V1.6合并版,V1.6,483,常规监测因子；土壤基础理化性质
13,EC_mScm,含盐量,production,formal,direct_standard,生态,盐碱地耐盐植物种植,绿化种植土壤CJ/T340-2016,行业标准,upper,≤1.5g/kg,,,,g/kg,v0.7,B,20251015_V1.6合并版,V1.6,555,土壤基础理化性质
17,可溶性硼,可溶性硼,production,formal,direct_standard,生态,硼害,绿化种植土壤CJ/T340-2016,行业标准,upper,<1mg/L,,,,mg/L,v0.7,B,20251015_V1.6合并版,V1.6,551,土壤基础理化性质
16,可溶性氯,可溶性氯,production,formal,direct_standard,生态,盐害,绿化种植土壤CJ/T340-2016,行业标准,upper,<180mg/L,,,,mg/L,v0.7,B,20251015_V1.6合并版,V1.6,550,土壤基础理化性质
14,交换性钠,交换性钠,production,formal,direct_standard,生态,盐害,绿化种植土壤CJ/T340-2016,行业标准,upper,<120mg/kg,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,548,土壤基础理化性质
18,钠吸附比,钠吸附比,production,formal,direct_standard,生态,盐害,绿化种植土壤CJ/T340-2016,行业标准,upper,<3,,,,/,v0.7,B,20251015_V1.6合并版,V1.6,557,土壤基础理化性质
19,CEC_cmolkg,阳离子交换量,production,formal,direct_standard,生态,全区通用,绿化种植土壤CJ/T340-2016,行业标准,lower,,≥10cmol+/kg,,,cmol+/kg,v0.7,B,20251015_V1.6合并版,V1.6,558,土壤基础理化性质
79,砾石含量,砾石含量,production,formal,direct_standard,生产,青藏高原区,土壤复垦质量控制标准TD/T1036-2013,行业标准,upper,≤50%,,,,%,v0.7,B,20251015_V1.6合并版,V1.6,339,土地复垦要求
10,最大湿密度,最大湿密度,production,formal,direct_standard,生态,种植土壤下构筑物,绿化种植土壤CJ/T340-2016,行业标准,upper,≤0.8Mg/m³,,,,Mg/m³,v0.7,B,20251015_V1.6合并版,V1.6,411,土地复垦要求
7,密度,密度,production,formal,direct_standard,生态,种植土壤下构筑物,绿化种植土壤CJ/T340-2016,行业标准,upper,≤0.5Mg/m³,,,,Mg/m³,v0.7,B,20251015_V1.6合并版,V1.6,412,土地复垦要求
9,孔隙度,孔隙度,production,formal,direct_standard,生态,/,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,%,v0.7,B,20251015_V1.6合并版,V1.6,398,土地复垦要求
2,土壤粒径,土壤粒径,production,formal,direct_standard,生态,全区通用,园林绿化工程施工及验收规范CJ/J82-2012,行业标准,upper,≤5cm,,,,cm,v0.7,B,20251015_V1.6合并版,V1.6,396,土地复垦要求
5,土壤入渗率,土壤入渗率,production,formal,direct_standard,生态,用于雨水调蓄或净化,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mm/h,v0.7,B,20251015_V1.6合并版,V1.6,390,土地复垦要求
