factor_id,factor_name_norm,factor_name_raw,track,diagnosis_layer,threshold_role,land_use_target,scenario,standard_source,standard_level,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,unit,threshold_version,evidence_level,source_file,source_version,source_row_id,notes
,11-二氯乙烯,11-二氯乙烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,750,农产品安全关键指标
64,锑,锑,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,746,农产品安全关键指标
,14-二氯苯,14-二氯苯,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,791,农产品安全关键指标
92,二氯甲烷,二氯甲烷,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,843,农产品安全关键指标
120,乙苯,乙苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,842,农产品安全关键指标
106,三氯乙烯,三氯乙烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,838,农产品安全关键指标
196,七氯,七氯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,834,农产品安全关键指标
152,一溴二氯甲烷,一溴二氯甲烷,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,830,农产品安全关键指标
156,二溴氯甲烷,二溴氯甲烷,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,847,农产品安全关键指标
160,六氯环戊二烯,六氯环戊二烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,861,农产品安全关键指标
170,五氯酚,五氯酚,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,858,农产品安全关键指标
,二苯并[ah]蒽,二苯并[ah]蒽,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,853,农产品安全关键指标
,33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,826,农产品安全关键指标
,24-二硝基酚,24-二硝基酚,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,807,农产品安全关键指标
,24-二硝基甲苯,24-二硝基甲苯,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,806,农产品安全关键指标
,24-二氯酚,24-二氯酚,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,802,农产品安全关键指标
134,2-氯酚,2-氯酚,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,798,农产品安全关键指标
,246-三氯酚,246-三氯酚,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,811,农产品安全关键指标
,33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,822,农产品安全关键指标
,33'-二氯联苯胺,33'-二氯联苯胺,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,817,农产品安全关键指标
52,Pb_mgkg,铅,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,628,重点监测因子；农产品安全关键指标
36,As_mgkg,砷,production,formal,direct_standard,生产,6.5<pH≤7.5,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,646,重点监测因子；农产品安全关键指标
40,Cd_mgkg,镉,production,formal,direct_standard,生态,pH>6.5,绿化种植土壤CJ/T340-2016,行业标准,upper,≤1.2mg/kg,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,592,重点监测因子；生态安全关键指标
72,甲基汞,甲基汞,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,586,重点监测因子；农产品安全关键指标
56,Hg_mgkg,汞,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,582,重点监测因子；农产品安全关键指标
60,Ni_mgkg,镍,production,formal,direct_standard,生产,pH>7.5,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,700,农产品安全关键指标
