paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72220_acs.est.0c07983.s001,72220_acs.est.0c07983.s001_PX,Sum_PAH_ngg,65.0,Unknown,table_p8_ri21_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72220_acs.est.0c07983.s001,72220_acs.est.0c07983.s001_BPIP,Sum_PAH_ngg,5.3,Unknown,table_p8_ri21_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72220_acs.est.0c07983.s001,72220_acs.est.0c07983.s001_PP,Sum_PAH_ngg,2.0,Unknown,table_p8_ri21_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
