paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Luyao Wang 等 - 2023 - Soil organic pollution and e,Luyao Wang 等 - 2023 - Soil organic pollution and e_Maximum_concentration(mg/kg),Nap_ngg,821.0,Unknown,table_p5_ri8_ci1,soil,,,phase14_batch2; matrix=score=156:high; conf=medium; flag=,,
Luyao Wang 等 - 2023 - Soil organic pollution and e,Luyao Wang 等 - 2023 - Soil organic pollution and e_Maximum_single_factorpollution_index,Nap_ngg,32.8,Unknown,table_p5_ri8_ci2,soil,,,phase14_batch2; matrix=score=156:high; conf=medium; flag=,,
Luyao Wang 等 - 2023 - Soil organic pollution and e,Luyao Wang 等 - 2023 - Soil organic pollution and e_Excessrate_(%),Nap_ngg,26.7,Unknown,table_p5_ri8_ci3,soil,,,phase14_batch2; matrix=score=156:high; conf=medium; flag=,,
