paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_6,Sum_PAH_ngg,42.3,Unknown,table_p1_ri14_ci6,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_1,Ant_ngg,6130.68,Unknown,table_p1_ri17_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_4,Ant_ngg,2755.0,Unknown,table_p1_ri17_ci4,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_5,Ant_ngg,11.0,Unknown,table_p1_ri17_ci5,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_6,Ant_ngg,221.0,Unknown,table_p1_ri17_ci6,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_3,Pyr_ngg,0.4,Unknown,table_p1_ri19_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_4,Pyr_ngg,0.51,Unknown,table_p1_ri19_ci4,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_5,Pyr_ngg,0.05,Unknown,table_p1_ri19_ci5,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_6,Pyr_ngg,0.45,Unknown,table_p1_ri19_ci6,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_1,OC_pct,12.49,Unknown,table_p1_ri20_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_2,OC_pct,10.13,Unknown,table_p1_ri20_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_3,OC_pct,17.04,Unknown,table_p1_ri20_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_4,OC_pct,11.41,Unknown,table_p1_ri20_ci4,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_5,OC_pct,10.08,Unknown,table_p1_ri20_ci5,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_6,OC_pct,14.7,Unknown,table_p1_ri20_ci6,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,Nap_ngg,34.6,Unknown,table_p2_ri1_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,Nap_ngg,391.0,Unknown,table_p2_ri1_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,Acy_ngg,0.0,Unknown,table_p2_ri2_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,Acy_ngg,5.87,Unknown,table_p2_ri2_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,Acy_ngg,128.0,Unknown,table_p2_ri2_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,Ace_ngg,1.82,Unknown,table_p2_ri3_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,Ace_ngg,6.71,Unknown,table_p2_ri3_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,Ace_ngg,88.9,Unknown,table_p2_ri3_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,Ant_ngg,46.95,Unknown,table_p2_ri6_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,Ant_ngg,46.9,Unknown,table_p2_ri6_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,Ant_ngg,245.0,Unknown,table_p2_ri6_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,BbF_ngg,143.9,Unknown,table_p2_ri11_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,BbF_ngg,1.0,Unknown,table_p2_ri11_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,BbF_ngg,1.0,Unknown,table_p2_ri11_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,BkF_ngg,15.86,Unknown,table_p2_ri12_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,BaP_ngg,249.3,Unknown,table_p2_ri13_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,BaP_ngg,88.8,Unknown,table_p2_ri13_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,BaP_ngg,763.0,Unknown,table_p2_ri13_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_Mean_of_individual_PAHs_in_this,BghiP_ngg,0.0,Unknown,table_p2_ri15_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_TEL,BghiP_ngg,6.22,Unknown,table_p2_ri15_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_PEL,BghiP_ngg,135.0,Unknown,table_p2_ri15_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
