paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ant,Flu_ngg,0.78,Unknown,table_p6_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Flu,Flu_ngg,0.77,Unknown,table_p6_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,Pyr_ngg,0.54,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,BaA_ngg,0.54,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,Pyr_ngg,0.78,Unknown,table_p6_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,BaA_ngg,0.78,Unknown,table_p6_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,Pyr_ngg,0.76,Unknown,table_p6_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,BaA_ngg,0.76,Unknown,table_p6_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,Pyr_ngg,0.43,Unknown,table_p6_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,BaA_ngg,0.43,Unknown,table_p6_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ant,Pyr_ngg,0.8,Unknown,table_p6_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ant,BaA_ngg,0.8,Unknown,table_p6_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,Chr_ngg,0.47,Unknown,table_p6_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,Chr_ngg,0.72,Unknown,table_p6_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,Chr_ngg,0.71,Unknown,table_p6_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,Chr_ngg,0.42,Unknown,table_p6_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ant,Chr_ngg,0.8,Unknown,table_p6_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Pyr,Chr_ngg,0.92,Unknown,table_p6_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,BbF_ngg,0.78,Unknown,table_p6_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,BbF_ngg,0.69,Unknown,table_p6_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,BbF_ngg,0.46,Unknown,table_p6_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ant,BbF_ngg,0.84,Unknown,table_p6_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Pyr,BbF_ngg,0.95,Unknown,table_p6_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
