paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,SumPCB_ngg,0.685,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,SumPCB_ngg,0.49000000000000005,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,SumPCB_ngg,0.52,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,SumPCB_ngg,0.52,Unknown,table_p4_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,SumPCB_ngg,0.64,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,SumHCH_ngg,1560.1499999999999,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,SumHCH_ngg,2390.7,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,SumHCH_ngg,1446.95,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,SumHCH_ngg,5043.5,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,SumHCH_ngg,4268.5,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,SumDDT_ngg,264.5,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,SumDDT_ngg,794.65,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,SumDDT_ngg,999.45,Unknown,table_p4_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,SumDDT_ngg,1030.55,Unknown,table_p4_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,SumDDT_ngg,264.5,Unknown,table_p4_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MWRBª_area,SumOCP_ngg,14.85,Unknown,table_p4_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_M._mohoity_in_MSRBb_area,SumOCP_ngg,83.8,Unknown,table_p4_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_MSRB_area,SumOCP_ngg,10.65,Unknown,table_p4_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_P._dabryanus_in_LDRB_area,SumOCP_ngg,26.0,Unknown,table_p4_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2016.06.064,_dup_j.envpol.2016.06.064_Total,SumOCP_ngg,82.55,Unknown,table_p4_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
