paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Nap_ngg,2.0,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Nap_ngg,0.14,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Nap_ngg,100.0,Unknown,table_p3_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Nap_ngg,8.5,Unknown,table_p3_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Nap_ngg,9.5,Unknown,table_p3_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Nap_ngg,0.5,Unknown,table_p3_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Nap_ngg,73.1,Unknown,table_p3_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Sum_PAH_ngg,21.2,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Sum_PAH_ngg,20.7,Unknown,table_p3_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Sum_PAH_ngg,2.6,Unknown,table_p3_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Sum_PAH_ngg,467.0,Unknown,table_p3_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Flu_ngg,33.0,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Flu_ngg,0.28,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Flu_ngg,99.2,Unknown,table_p3_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Flu_ngg,2.2,Unknown,table_p3_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Flu_ngg,2.2,Unknown,table_p3_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Flu_ngg,0.2,Unknown,table_p3_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Abbreviation,Phe_ngg,3.0,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,0.07,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Phe_ngg,100.0,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Phe_ngg,20.5,Unknown,table_p3_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Phe_ngg,24.6,Unknown,table_p3_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Phe_ngg,192.6,Unknown,table_p3_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,3.0,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Phe_ngg,0.11,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Phe_ngg,100.0,Unknown,table_p3_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Phe_ngg,1.5,Unknown,table_p3_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Phe_ngg,1.6,Unknown,table_p3_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Phe_ngg,0.1,Unknown,table_p3_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Phe_ngg,16.5,Unknown,table_p3_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Ant_ngg,3.0,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Ant_ngg,0.07,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Ant_ngg,100.0,Unknown,table_p3_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Ant_ngg,2.0,Unknown,table_p3_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Ant_ngg,2.1,Unknown,table_p3_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Ant_ngg,36.6,Unknown,table_p3_ri15_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Abbreviation,Ant_ngg,3.0,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Ant_ngg,0.1,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Ant_ngg,67.1,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Ant_ngg,0.1,Unknown,table_p3_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Ant_ngg,0.2,Unknown,table_p3_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Ant_ngg,3.6,Unknown,table_p3_ri17_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Flt_ngg,21.1,Unknown,table_p3_ri19_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Flt_ngg,22.4,Unknown,table_p3_ri19_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Flt_ngg,1.7,Unknown,table_p3_ri19_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Flt_ngg,218.7,Unknown,table_p3_ri19_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Pyr_ngg,4.0,Unknown,table_p3_ri24_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Pyr_ngg,0.07,Unknown,table_p3_ri24_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Pyr_ngg,100.0,Unknown,table_p3_ri24_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Pyr_ngg,21.3,Unknown,table_p3_ri24_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Pyr_ngg,19.5,Unknown,table_p3_ri24_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Pyr_ngg,1.3,Unknown,table_p3_ri24_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Pyr_ngg,449.0,Unknown,table_p3_ri24_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
