paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
water-15-02002,water-15-02002_Sta,Nap_ngg,25.0,Unknown,table_p5_ri2_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,Acy_ngg,25.0,Unknown,table_p5_ri2_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Nap_ngg,10060.0,Unknown,table_p5_ri2_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Acy_ngg,10060.0,Unknown,table_p5_ri2_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard,Nap_ngg,50.0,Unknown,table_p5_ri2_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard,Acy_ngg,50.0,Unknown,table_p5_ri2_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,Nap_ngg,14.85,Unknown,table_p5_ri2_ci11,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,Acy_ngg,14.85,Unknown,table_p5_ri2_ci11,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Ace_ngg,0.1,Unknown,table_p5_ri3_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Ace_ngg,3.76,Unknown,table_p5_ri3_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Ace_ngg,70.0,Unknown,table_p5_ri3_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Ace_ngg,43.56,Unknown,table_p5_ri3_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Flu_ngg,0.08,Unknown,table_p5_ri4_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
