paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
water-15-02002,water-15-02002_Sta,Nap_ngg,25.0,Unknown,table_p5_ri2_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Flu_ngg,4.36,Unknown,table_p5_ri4_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Flu_ngg,70.0,Unknown,table_p5_ri4_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Flu_ngg,32.67,Unknown,table_p5_ri4_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Phe_ngg,0.1,Unknown,table_p5_ri5_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Phe_ngg,4.47,Unknown,table_p5_ri5_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Phe_ngg,60.0,Unknown,table_p5_ri5_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Phe_ngg,27.72,Unknown,table_p5_ri5_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Ant_ngg,0.1,Unknown,table_p5_ri6_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Ant_ngg,4.38,Unknown,table_p5_ri6_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Ant_ngg,50.0,Unknown,table_p5_ri6_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Ant_ngg,24.75,Unknown,table_p5_ri6_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Pyr_ngg,0.1,Unknown,table_p5_ri8_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Pyr_ngg,4.45,Unknown,table_p5_ri8_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Pyr_ngg,50.0,Unknown,table_p5_ri8_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Pyr_ngg,23.76,Unknown,table_p5_ri8_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BaA_ngg,0.1,Unknown,table_p5_ri9_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,BaA_ngg,4.53,Unknown,table_p5_ri9_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,BaA_ngg,5.5,Unknown,table_p5_ri9_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,BaA_ngg,50.0,Unknown,table_p5_ri9_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard,BaA_ngg,22.64,Unknown,table_p5_ri9_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,BaA_ngg,17.82,Unknown,table_p5_ri9_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,BaA_ngg,3.96,Unknown,table_p5_ri9_ci11,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Chr_ngg,0.1,Unknown,table_p5_ri10_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Chr_ngg,4.63,Unknown,table_p5_ri10_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,Chr_ngg,490.0,Unknown,table_p5_ri10_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Chr_ngg,50.0,Unknown,table_p5_ri10_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Chr_ngg,17.82,Unknown,table_p5_ri10_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BbF_ngg,0.2,Unknown,table_p5_ri11_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,BbF_ngg,4.74,Unknown,table_p5_ri11_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,BbF_ngg,5.5,Unknown,table_p5_ri11_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,BbF_ngg,50.0,Unknown,table_p5_ri11_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard,BbF_ngg,28.3,Unknown,table_p5_ri11_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,BbF_ngg,14.85,Unknown,table_p5_ri11_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,BbF_ngg,3.96,Unknown,table_p5_ri11_ci11,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BkF_ngg,0.1,Unknown,table_p5_ri12_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,BkF_ngg,6.33,Unknown,table_p5_ri12_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,BkF_ngg,55.0,Unknown,table_p5_ri12_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,BkF_ngg,50.0,Unknown,table_p5_ri12_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard,BkF_ngg,1.89,Unknown,table_p5_ri12_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,BkF_ngg,13.86,Unknown,table_p5_ri12_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BaP_ngg,0.1,Unknown,table_p5_ri13_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,BaP_ngg,4.57,Unknown,table_p5_ri13_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,BaP_ngg,0.55,Unknown,table_p5_ri13_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,BaP_ngg,50.0,Unknown,table_p5_ri13_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard,BaP_ngg,64.15,Unknown,table_p5_ri13_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,BaP_ngg,16.83,Unknown,table_p5_ri13_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Samples_Exceeding_Standard_Rate,BaP_ngg,16.83,Unknown,table_p5_ri13_ci11,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Sum_PAH_ngg,4.27,Unknown,table_p5_ri17_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Sum_PAH_ngg,100.0,Unknown,table_p5_ri17_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sample_Detection_Rate,Sum_PAH_ngg,67.33,Unknown,table_p5_ri17_ci10,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Nap_ngg,0.001,Unknown,table_p6_ri1_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Nap_ngg,0.8,Unknown,table_p6_ri1_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,Nap_ngg,0.1,Unknown,table_p6_ri1_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Nap_ngg,76.92,Unknown,table_p6_ri1_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Points_Exceeding_Standard_Rate,Nap_ngg,69.23,Unknown,table_p6_ri1_ci9,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Acy_ngg,0.001,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Acy_ngg,0.65,Unknown,table_p6_ri2_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Acy_ngg,76.92,Unknown,table_p6_ri2_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Ace_ngg,0.001,Unknown,table_p6_ri3_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Ace_ngg,0.77,Unknown,table_p6_ri3_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Ace_ngg,76.92,Unknown,table_p6_ri3_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Flu_ngg,0.001,Unknown,table_p6_ri4_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Flu_ngg,0.78,Unknown,table_p6_ri4_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Flu_ngg,76.92,Unknown,table_p6_ri4_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Phe_ngg,0.001,Unknown,table_p6_ri5_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Variation_Coefficient,Phe_ngg,0.88,Unknown,table_p6_ri5_ci6,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Phe_ngg,76.92,Unknown,table_p6_ri5_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Ant_ngg,0.001,Unknown,table_p6_ri6_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,Ant_ngg,1.8,Unknown,table_p6_ri6_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Pyr_ngg,0.001,Unknown,table_p6_ri8_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BaA_ngg,0.001,Unknown,table_p6_ri9_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,Chr_ngg,0.001,Unknown,table_p6_ri10_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BbF_ngg,0.001,Unknown,table_p6_ri11_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Sta,BbF_ngg,0.004,Unknown,table_p6_ri11_ci7,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BkF_ngg,0.001,Unknown,table_p6_ri12_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Detection_Limit,BaP_ngg,0.001,Unknown,table_p6_ri13_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_Point_Detection_Rate,Sum_PAH_ngg,65.38,Unknown,table_p6_ri17_ci8,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Nap_ngg,4.08,Unknown,table_p14_ri2_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Nap_ngg,0.128,Unknown,table_p14_ri2_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Acy_ngg,0.202,Unknown,table_p14_ri3_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Acy_ngg,0.006,Unknown,table_p14_ri3_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Ace_ngg,0.374,Unknown,table_p14_ri4_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Ace_ngg,0.016,Unknown,table_p14_ri4_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Flu_ngg,0.497,Unknown,table_p14_ri5_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Flu_ngg,0.017,Unknown,table_p14_ri5_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Phe_ngg,0.486,Unknown,table_p14_ri6_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Phe_ngg,0.016,Unknown,table_p14_ri6_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Ant_ngg,0.855,Unknown,table_p14_ri7_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Ant_ngg,0.027,Unknown,table_p14_ri7_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Pyr_ngg,0.091,Unknown,table_p14_ri9_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Pyr_ngg,0.003,Unknown,table_p14_ri9_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),BaA_ngg,2.9,Unknown,table_p14_ri10_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),BaA_ngg,0.087,Unknown,table_p14_ri10_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),Chr_ngg,0.293,Unknown,table_p14_ri11_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),Chr_ngg,0.009,Unknown,table_p14_ri11_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),BbF_ngg,3.39,Unknown,table_p14_ri12_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),BbF_ngg,0.101,Unknown,table_p14_ri12_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),BkF_ngg,3.33,Unknown,table_p14_ri13_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),BkF_ngg,0.055,Unknown,table_p14_ri13_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·TEQ/g),BaP_ngg,20.2,Unknown,table_p14_ri14_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(mg·MEQ/g),BaP_ngg,0.59,Unknown,table_p14_ri14_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_(_\mu_\mathbf_{_g_}_\cdot_T_E_Q_/_\mathbf_{_g_}_)_}_}$,Nap_ngg,17.9,Unknown,table_p14_ri2_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(μg·MEQ/g),Nap_ngg,8.92,Unknown,table_p14_ri2_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_(_\mu_\mathbf_{_g_}_\cdot_T_E_Q_/_\mathbf_{_g_}_)_}_}$,Acy_ngg,0.04,Unknown,table_p14_ri3_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(μg·MEQ/g),Acy_ngg,0.02,Unknown,table_p14_ri3_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_(_\mu_\mathbf_{_g_}_\cdot_T_E_Q_/_\mathbf_{_g_}_)_}_}$,Ace_ngg,0.74,Unknown,table_p14_ri4_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(μg·MEQ/g),Ace_ngg,0.33,Unknown,table_p14_ri4_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_(_\mu_\mathbf_{_g_}_\cdot_T_E_Q_/_\mathbf_{_g_}_)_}_}$,Flu_ngg,0.18,Unknown,table_p14_ri5_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(μg·MEQ/g),Flu_ngg,0.09,Unknown,table_p14_ri5_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_(_\mu_\mathbf_{_g_}_\cdot_T_E_Q_/_\mathbf_{_g_}_)_}_}$,Phe_ngg,0.07,Unknown,table_p14_ri6_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(μg·MEQ/g),Phe_ngg,0.03,Unknown,table_p14_ri6_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_T_E_Q___{_B_a_P_-_\sum_P_A_H_s_(_\mu_\mathbf_{_g_}_\cdot_T_E_Q_/_\mathbf_{_g_}_)_}_}$,Sum_PAH_ngg,18.3,Unknown,table_p14_ri18_ci1,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
water-15-02002,water-15-02002_$\mathbf_{_M_E_Q___{_B_a_P_-_\sum_P_A_H_s_}_}$__(μg·MEQ/g),Sum_PAH_ngg,9.39,Unknown,table_p14_ri18_ci3,soil,,,phase14_batch2; matrix=score=131:high; conf=high; flag=,,
