paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Nap_ngg,33.9,Unknown,table_p2_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Nap_ngg,51.3,Unknown,table_p2_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Nap_ngg,110.0,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Nap_ngg,90.9,Unknown,table_p2_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_荷兰土壤目标值,Nap_ngg,15.0,Unknown,table_p2_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_筛选值,Nap_ngg,400000.0,Unknown,table_p2_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Ace_ngg,20.4,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Ace_ngg,53.4,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Ace_ngg,209.0,Unknown,table_p2_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Ace_ngg,81.8,Unknown,table_p2_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Acy_ngg,7.3,Unknown,table_p2_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
