paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,BaA_ngg,99.91,Unknown,table_p6_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,BaA_ngg,77.04,Unknown,table_p6_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,BaA_ngg,131.03,Unknown,table_p6_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,Chr_ngg,34.81,Unknown,table_p6_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,Chr_ngg,32.98,Unknown,table_p6_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,Chr_ngg,35.82,Unknown,table_p6_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,BbF_ngg,35.84,Unknown,table_p6_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,BkF_ngg,35.84,Unknown,table_p6_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,BbF_ngg,40.1,Unknown,table_p6_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,BkF_ngg,40.1,Unknown,table_p6_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,BbF_ngg,42.1,Unknown,table_p6_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,BkF_ngg,42.1,Unknown,table_p6_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
