paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Sum_PAH_ngg,418.0,Unknown,table_p4_ri6_ci18,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Zhangjiakou,BaA_ngg,37.3,Unknown,table_p4_ri7_ci9,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Zhangjiakou,Chr_ngg,90.1,Unknown,table_p4_ri7_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Zhangjiakou,BbF_ngg,90.1,Unknown,table_p4_ri7_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Zhangjiakou,Ind_ngg,37.1,Unknown,table_p4_ri7_ci13,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Zhangjiakou,BghiP_ngg,38.5,Unknown,table_p4_ri7_ci15,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Zhangjiakou,Sum_PAH_ngg,119.0,Unknown,table_p4_ri7_ci16,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Nap_ngg,58.4,Unknown,table_p4_ri12_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Phe_ngg,65.4,Unknown,table_p4_ri12_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Ant_ngg,74.9,Unknown,table_p4_ri12_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Pyr_ngg,49.4,Unknown,table_p4_ri12_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
