paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72374_b111204j,72374_b111204j_Soil,SumHCH_ngg,0.11,Unknown,table_p2_ri2_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Plant,SumHCH_ngg,92.0,Unknown,table_p2_ri2_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Water,SumHCH_ngg,10.6,Unknown,table_p2_ri2_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Soil,SumHCH_ngg,0.47,Unknown,table_p2_ri3_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Plant,SumHCH_ngg,98.0,Unknown,table_p2_ri3_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Water,SumHCH_ngg,5.9,Unknown,table_p2_ri3_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Soil,SumHCH_ngg,0.19,Unknown,table_p2_ri4_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Plant,SumHCH_ngg,89.0,Unknown,table_p2_ri4_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Water,SumHCH_ngg,16.5,Unknown,table_p2_ri4_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Soil,SumHCH_ngg,0.28,Unknown,table_p2_ri5_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Plant,SumHCH_ngg,82.0,Unknown,table_p2_ri5_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Water,SumHCH_ngg,11.7,Unknown,table_p2_ri5_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Soil,SumDDT_ngg,0.5,Unknown,table_p2_ri17_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Plant,SumDDT_ngg,99.0,Unknown,table_p2_ri17_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Water,SumDDT_ngg,14.3,Unknown,table_p2_ri17_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Water/ng_1⁻1,SumHCH_ngg,11.81,Unknown,table_p4_ri2_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,9.2,Unknown,table_p4_ri2_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,6.77,Unknown,table_p4_ri2_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,SumHCH_ngg,4.845,Unknown,table_p4_ri2_ci4,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Water/ng_1⁻1,SumHCH_ngg,27.085,Unknown,table_p4_ri3_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,21.72,Unknown,table_p4_ri3_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,14.01,Unknown,table_p4_ri3_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,SumHCH_ngg,18.29,Unknown,table_p4_ri3_ci4,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Water/ng_1⁻1,SumHCH_ngg,6.56,Unknown,table_p4_ri4_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,5.38,Unknown,table_p4_ri4_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,4.28,Unknown,table_p4_ri4_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,SumHCH_ngg,2.57,Unknown,table_p4_ri4_ci4,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Water/ng_1⁻1,SumHCH_ngg,17.545,Unknown,table_p4_ri5_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,13.24,Unknown,table_p4_ri5_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumHCH_ngg,9.17,Unknown,table_p4_ri5_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,SumHCH_ngg,6.91,Unknown,table_p4_ri5_ci4,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Water/ng_1⁻1,SumDDT_ngg,33.489999999999995,Unknown,table_p4_ri17_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72374_b111204j,72374_b111204j_Soil/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumDDT_ngg,30.56,Unknown,table_p4_ri17_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_Sediment/ng__$\mathbf_{_g_}_^_{_-_1_}$__dry_weight,SumDDT_ngg,13.86,Unknown,table_p4_ri17_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
72374_b111204j,72374_b111204j_$\mathrm_{_P_l_a_n_t_/_n_g_~_g_^_{_-_1_}_}$__dry_weight,SumDDT_ngg,3.88,Unknown,table_p4_ri17_ci4,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
